indicator_id,file,brief,rank,why
gov.policy--data-governance-policy,2025-10-01-national-cloud-policy-2025.md,baseline,1,National Cloud Policy 2025 is the operative mandatory instrument governing government data classification/sovereignty and supersedes the 2019 cloud policy -- closest thing Nigeria has to a national data governance policy
gov.policy--data-governance-policy,2026-05-07-ndpc-ngf-mou-sub-national-privacy.md,progress,1,NDPC-NGF MoU (7 May 2026) extends federal data governance policy implementation to state level via a formal working group
gov.policy--open-data-policy,2018-07-01-nigeria-open-data-policy.md,baseline,1,"the only national instrument expressly titled Nigeria Open Data Policy (Jul 2018), still the operative framework for data.gov.ng and MDA obligations"
gov.policy--open-data-policy,2025-12-14-power-of-data-nigeria-action-plan-2025-2028.md,progress,1,Power of Data: Nigeria Action Plan 2025-2028 (launched 15 Dec 2025) is the clearest national-level move to govern data production/coordination/availability as a multi-year agenda
gov.legislate--statistics-legislation,2007-06-11-statistics-act-2007-official-gazette.md,baseline,1,"the enacted Statistics Act 2007 establishing the National Statistical System and NBS, still operative pending the Statistics Bill 2025's passage"
gov.legislate--statistics-legislation,2025-12-10-house-passes-statistics-bill-third-reading.md,progress,1,"House of Representatives passed the Statistics Bill 2025 (HB.2491) at Third Reading (10 Dec 2025), the most consequential single-chamber step toward repeal/replacement of the 2007 Act"
gov.legislate--statistics-legislation,2026-06-08-reps-public-hearing-statistics-bill.md,progress,2,public hearing on the Statistics Bill 2025 (8 Jun 2026) with Speaker and Statistician-General testimony -- a distinct later-stage legislative event
gov.legislate--access-to-information-legislation,2011-05-28-freedom-of-information-act-2011.md,baseline,1,"the Freedom of Information Act 2011, Nigeria's founding access-to-information statute, assented 28 May 2011 and still in force"
gov.legislate--access-to-information-legislation,2025-10-13-heda-v-nnpcl-judgment.md,progress,1,Federal High Court judgment (13 Oct 2025) holding NNPCL remains a public institution subject to the FOI Act despite its corporate form -- broadens the Act's reach
gov.legislate--access-to-information-legislation,2026-03-21-foi-act-overrides-other-laws-shippers-council.md,progress,2,Federal High Court ruling (24 Feb 2026) that the FOI Act overrides conflicting disclosure laws -- a distinct precedent strengthening enforceability
finance.mou--strategic-relationships,2026-08-28-international-economic-relations-department.md,baseline,1,no single umbrella instrument exists for this indicator; the Ministry's own IER Department page is the closest institutional description of the function managing Nigeria's strategic bilateral/multilateral relationships
finance.mou--strategic-relationships,2025-12-09-eu-global-gateway-45m-digital-economy.md,progress,1,"EU-Nigeria Digital Open Day (9 Dec 2025), a signed EUR45m programme completing the EU Digital Economy Package -- the largest financial commitment found in the window"
finance.mou--strategic-relationships,2026-03-23-nigeria-finland-mou-digitalisation.md,progress,2,"Nigeria-Finland MoU on Digitalisation and Innovation (23 Mar 2026), a distinct bilateral strategic-relationship instrument covering digital government, DPI and cybersecurity"
infra.connect--international-internet-bandwidth,2020-03-01-nigerian-national-broadband-plan-2020-2025.md,baseline,1,"the operative National Broadband Plan states the last clear official national position on international bandwidth (6 submarine cables in Lagos, over 40Tbps available, under 10% utilised)"
infra.connect--international-internet-bandwidth,2026-02-07-airtel-second-breakout-2africa.md,progress,1,"Airtel announced (7 Feb 2026) a second international breakout point via 2Africa at Kwa Ibo, reducing dependence on Lagos as sole breakout"
infra.connect--international-internet-bandwidth,2026-08-18-wiocc-ring-protected-ip-transit.md,progress,2,WIOCC activated (18 Aug 2026) ring-protected IP transit across 2Africa/Equiano/WACS/EASSy -- a distinct resilience/redundancy movement
infra.energy--grid-reliability,2026-07-01-nerc-q1-2026-quarterly-report.md,baseline,1,"NERC's own Q1 2026 quarterly report is the most recent authoritative dated statement of grid reliability, with KPIs and two Q1 collapse incidents"
infra.energy--grid-reliability,2026-01-01-nerc-q3-2025-quarterly-report.md,progress,1,NERC Q3 2025 report records a total grid collapse (10 Sep 2025) -- a distinct document/event from the baseline's Q1 2026 report
infra.energy--grid-reliability,2026-04-01-nerc-q4-2025-quarterly-report.md,progress,2,NERC Q4 2025 report records a partial grid collapse (29 Dec 2025) -- a second distinct document/event ahead of the baseline's Q1 2026 window
dpi.exchange--interoperability-of-health-systems,2025-11-20-nch-2025-salako-digital-health-remarks.md,baseline,1,"Minister's dated statement of current HIE/NDHI standing with quantified reach (7.2m registered, 200+ hospitals)"
dpi.exchange--interoperability-of-health-systems,2026-06-26-nhtdao-tinubu-approves-national-health-technology-data-analytics-office.md,progress,1,New coordinating office created to operationalise the NDHA
dpi.exchange--interoperability-of-health-systems,2025-11-13-jar-2025-salako-inaugural-address-health-resilience.md,progress,2,"NCH endorsement of nationwide NDHI implementation and NDHA as sector ""rules of the road"""
dpi.exchange--interoperability-of-education-systems,2026-06-29-dnemis-fg-unveils-national-digital-education-platform.md,baseline,1,Official pre-launch announcement of DNEMIS/NEDI flagship platform
dpi.exchange--interoperability-of-education-systems,2026-07-10-fg-extends-trusted-digital-identity-80-million-learners.md,progress,1,LIN-NIN integration extending trusted digital identity to nearly 80 million learners
dpi.exchange--interoperability-of-education-systems,2026-03-06-nerd-fg-deploys-national-education-data-repository.md,progress,2,NERD deployment integrating 250+ tertiary institutions for real-time credential verification
dpi.exchange--interoperability-of-social-protection-systems,2025-03-17-nitda-dpi-technical-standards-draft-v1-3.md,baseline,1,NGDX draft technical standard explicitly including government subsidies/social-benefit payments
dpi.exchange--interoperability-of-social-protection-systems,2026-03-25-ohoprs-fg-flags-off-one-humanitarian-one-poverty-response.md,progress,1,OHOPRS unified national register architecture flag-off
dpi.exchange--interoperability-of-social-protection-systems,2025-12-01-nitda-dpi-framework-public-review-ngdx.md,progress,2,Federal-state public review session moving NGDX toward implementation
dpi.id--digital-id-from-birth,2026-06-26-president-tinubu-assents-nimc-act-2026.md,baseline,1,Founding/enacting act for the current national identity system
dpi.id--digital-id-from-birth,2026-07-24-npc-launches-vitalreg-digital-registration-platform.md,progress,1,Nationwide operational rollout of VitalReg birth-registration platform
dpi.id--digital-id-from-birth,2025-09-11-unicef-npc-digital-birth-registration-gombe.md,progress,2,Field-level pilot integrating electronic birth capture with NIN enrolment
dpi.id--interoperability-of-birth-registration-and-digital-id,2024-08-26-npc-unicef-first-lady-partner-birth-registration.md,baseline,1,NPC's own dated statement of e-CRVS interoperability with NIMC and NIN-at-birth objective
dpi.id--interoperability-of-birth-registration-and-digital-id,2026-07-24-npc-launches-vitalreg-digital-registration-platform.md,progress,1,Nationwide VitalReg rollout also evidencing CRVS-NIN interoperability at scale
dpi.id--interoperability-of-birth-registration-and-digital-id,2026-06-26-president-tinubu-assents-nimc-act-2026.md,progress,2,NIMC Act 2026 strengthens legal basis for CRVS-identity data exchange
dpi.pay--g2p-functionality,2021-10-25-cbn-regulatory-guidelines-on-the-enaira.md,baseline,1,CBN's regulatory instrument explicitly defining P2G/G2P and MDA transaction types
dpi.pay--g2p-functionality,2026-07-29-doro-unified-g2p-digital-payment-workshop.md,progress,1,Business-requirements validation workshop for a unified G2P payment solution
dpi.pay--g2p-functionality,2026-06-04-fg-disburses-hope-ct-imo-beneficiaries.md,progress,2,Concrete NIN-linked state-level G2P disbursement under HoPE-CT
