indicator_id,url,title,publisher,published,brief,why_not,slice
gov.policy--ict-strategy,https://sgg.gouv.bj/doc/decret-2008-111,Adoption de la Politique et stratégie nationale des NTIC (2025),SGG Bénin,2008-03-12,baseline,url-dead (CRAWL_LIVECRAWL_TIMEOUT),gov-policy+legislate
gov.policy--ict-strategy,https://lanation.bj/numerique/infrastructures-publiques-numeriques-au-benin-la-feuille-de-route-lancee,Infrastructures publiques numériques au Bénin: La feuille de route lancée,La Nation,2026-07-17,progress,already-seen (raw/2026/2026-07-17-benin-dpi-roadmap.md),gov-policy+legislate
gov.policy--broadband-strategy,https://numerique.gouv.bj/projets/le-deploiement-de-linternet-haut-et-tres-haut-debit-phase-2,Le déploiement de l'Internet haut et très haut Débit (Phase 2),Portail du Numérique - Bénin,undated,baseline,superseded by dated decree candidate,gov-policy+legislate
gov.policy--data-storage-cloud-strategy,https://www.datacenterdynamics.com/en/news/benin-wants-to-establish-a-secondary-national-data-center/,Benin wants to establish a secondary national data center,DatacenterDynamics,2026-03-27,progress,already-seen (raw/2026/2026-03-27-benin-secondary-national-data-center.md),gov-policy+legislate
gov.policy--data-governance-policy,https://asin.bj/doc/137/download,Bulletin trimestriel - Juin 2026,ASIN,2026-06-01,progress,already-seen (raw/2026/2026-06-01-asin-benin-billet-juridique),gov-policy+legislate
gov.policy--open-data-policy,https://lanation.bj/numerique/le-benin-prepare-son-premier-plan-daction-national-partenariat-pour-un-gouvernement-ouvert,Le Bénin prépare son premier Plan d'action national,La Nation,2026-08-26,progress,already-seen (DUP-SLUG raw/2026/2026-08-26-partenariat-...),gov-policy+legislate
gov.legislate--data-protection-legislation,https://service.apdp.bj,APDP - Bénin (homepage feed),APDP Bénin,n/a,progress,"headline-only-stub (SPA feed, no fetchable article body)",gov-policy+legislate
gov.legislate--digital-payments-legislation,https://www.bceao.int/.../Instruction-No001-01-2024-relative-aux-services-de-paiement.pdf,Instruction n°001-01-2024 relative aux services de paiement,BCEAO,2024-01-23,baseline,already-seen (raw/2024/2024-01-01-bceao-instruction-001-01-2024),gov-policy+legislate
gov.legislate--e-commerce-legislation,https://sgg.gouv.bj/cm/2026-07-01/,"Compte rendu Conseil des Ministres 01/07/2026 (item I-1, electronic judicial payments)",SGG Bénin,2026-07-01,progress,"off-topic (judicial e-payment, not e-commerce)",gov-legislate+protect+regional+standards
gov.legislate--statistics-legislation,https://instad.bj/actualites/778-calendrier-des-publications-de-l-instad-2026,Calendrier des publications de l'INStaD 2026,INStaD,2025-12-19,progress,capped (2 stronger progress items already selected),gov-legislate+protect+regional+standards
gov.legislate--statistics-legislation,https://sgg.gouv.bj/doc/decret-2021-523/,Décret n° 2021-523 (INSAE→INStaD transition),SGG Bénin,2021-10-13,baseline,superseded by Loi n° 2022-07 as baseline,gov-legislate+protect+regional+standards
gov.legislate--access-to-information-legislation,https://www.haac.bj/haac_doc/149,Décision n°26-008/HAAC (site licensing),HAAC,2026-03-11,progress,"capped / less on-topic than the two selected (media licensing, not access-to-information)",gov-legislate+protect+regional+standards
gov.protect--national-data-protection-readiness,https://ipdcp.tg/lipdcp-poursuit-son-ancrage-institutionnel-aupres-des-autorites-soeurs-de-la-sous-region/,APDP-IPDCP (Togo) cooperation convention,IPDCP Togo,2026-08-18,progress,"capped (two stronger, more clearly national items already selected)",gov-legislate+protect+regional+standards
gov.regional--regional-legal-harmonisation,https://au.int/sites/default/files/treaties/29560-sl-AFRICAN_UNION_CONVENTION_ON_CYBER_SECURITY_AND_PERSONAL_DATA_PROTECTION_0.pdf,AU Malabo Convention status list,African Union,2026-02-02,baseline,already-seen (raw/2026/2026-02-02-au-malabo-convention-status-list.md),gov-legislate+protect+regional+standards
gov.regional--regional-legal-harmonisation,https://www.ecowas.int/wp-content/uploads/2026/07/Final-Communique_-ENG.pdf,ECOWAS 69th Ordinary Session Final Communiqué,ECOWAS,2026-07-19,progress,already-seen (raw/2026/2026-07-19-ecowas-69th-ordinary-session-final-communique.md),gov-legislate+protect+regional+standards
gov.standards--adoption-of-international-standards,https://sgg.gouv.bj/doc/decret-2021-550/download,"Décret n° 2021-550 (PSSIE, references ISO/CEI 27001)",SGG Bénin,2021-10-27,baseline,"not a formal national-standard adoption, only references ISO as inspiration",gov-legislate+protect+regional+standards
finance.mou--strategic-relationships,https://www.lanation.bj/numerique/protection-des-donnees-personnelles-le-benin-et-le-senegal-scellent-une-alliance-strategique-a-cotonou,Bénin-Sénégal alliance stratégique protection données,La Nation,2026-04-17,progress,already-seen (DUP-EXACT in OSINT raw/),finance+infra
infra.connect--internet-exchange-points,https://www.internetsociety.org/blog/2026/07/how-local-peering-is-strengthening-africas-internet/,How Local Peering Is Strengthening Africa's Internet,Internet Society,2026-07-13,progress,already-seen (DUP-EXACT in OSINT raw/),finance+infra
infra.store--off-site-backup-capacity,https://www.datacenterdynamics.com/en/news/benin-wants-to-establish-a-secondary-national-data-center/,Benin wants to establish a secondary national data center,Data Center Dynamics,2026-03-27,progress,already-seen (DUP-EXACT in OSINT raw/),finance+infra
infra.store--off-site-backup-capacity,https://www.globaltenders.com/tender-detail/production-of-the-pnipns-backup-site-hosted-8shUbRAMgEwSYA67,PNI/PNS Backup Site tender,GlobalTenders,n/a,progress,inadmissible-origin (globaltenders.com is a DROP domain: subscription-gated tender aggregator),finance+infra
infra.capacity--robustness-of-government-hardware-and-software,https://lanation.bj/numerique/cybersecurite-lasin-renforce-les-capacites-de-25-rssi,ASIN renforce les capacités de 25 RSSI,La Nation,2026-08-04,progress,already-seen (DUP-EXACT in OSINT raw/),finance+infra
