row_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
XEA-gov.protect-surveillance-spyware-pattern,gov.protect,0,0,0,0,0,0,,held,4
XEA-gov.regional-eac-rdi-protocol,gov.regional,0,0,0,0,0,0,,held,13
XEA-gov.regional-igad-cyber-harmonisation,gov.regional,0,0,0,0,0,0,,held,13
XEA-finance.new-data-centre-connectivity-financing,finance.new,0,0,0,0,0,0,,held,3
XEA-infra.store-regional-data-centre-market,infra.store,0,0,0,0,0,0,,held,1
XEA-infra.cybersec-igad-cyber-exercise,infra.cybersec,1,3,1,0,1,0,,nil,1
XEA-dpi.id-mutual-recognition-of-national-ids,dpi.id,0,0,0,0,0,0,,held,3
XEA-dpi.mis-impulse-newborn-data-study,dpi.mis,1,3,2,1,1,0,,staged,1
XEA-dpi.govtech-gtmi-benchmarking,dpi.govtech,1,3,1,1,0,0,,staged,2
XEA-tech.ai-cipit-ai-policy-outlook,tech.ai,1,3,1,1,0,0,,staged,5
XEA-tech.ai-higher-education-quality-under-ai,tech.ai,1,3,1,1,0,0,,staged,5
XEA-include.divides-regional-access-gap,include.divides,1,3,1,1,0,0,,staged,1
XEA-data.statistics-eaco-communications-statistics-report,data.statistics,1,1,1,1,0,0,,staged,3
