file,topics,title,url,publisher,published
baseline/1997-03-10-eritrea-bank-of-eritrea-proclamation-93-1997.md,[dpi.pay],Bank of Eritrea Proclamation No. 93/1997,https://tile.loc.gov/storage-services/service/ll/lleritrea/eritrean-proc-93-1997/eritrean-proc-93-1997.pdf,"Government of Eritrea (Gazette of Eritrean Laws, digitized by the Library of Congress)",1997-03-10
baseline/1997-07-14-imf-eritrea-selected-issues-financial-system.md,[dpi.pay],Eritrea — Selected Issues,https://www.imf.org/external/pubs/ft/scr/1997/cr9788.pdf,International Monetary Fund (IMF Staff Country Report No. 97/88),1997-07-14
baseline/1998-08-17-eritrea-legal-notice-43-1998-telecom-regulations.md,[infra.capacity],Regulations on Telecommunications Networks and Services — Legal Notice No. 43/1998,https://www.itu.int/ITU-D/treg/Legislation/Eritrea/law43.html,Gazette of Eritrean Laws (hosted by ITU),1998-08-17
baseline/2015-05-15-eritrea-civil-code-2015.md,[dpi.registry],Civil Code of the State of Eritrea (2015),https://faolex.fao.org/docs/pdf/eri211041.pdf,"State of Eritrea, Ministry of Justice",2015-05-15
baseline/2017-01-01-iso-member-profile-eritrean-standards-institution.md,[gov.standards],ISO - ESI - Eritrean Standards Institution,https://www.iso.org/member/318778.html,International Organization for Standardization (ISO),2017-01-01
baseline/2020-11-07-shabait-eripromo-eit-graduate-entrepreneur.md,[capacity.training],ERIPROMO: the next big thing on Eritrea's promotion industry,https://shabait.com/2020/11/07/eripromo-the-next-big-thing-on-eritreas-promotion-industry/,Eritrea Ministry of Information (shabait.com),2020-11-07
baseline/2021-01-21-eritrea-focus-identity-civil-status-documents-sem.md,[dpi.registry],Focus Eritrea: Identity and civil status documents,https://www.sem.admin.ch/dam/sem/en/data/internationales/herkunftslaender/afrika/eri/eri-identitaets-und-zivilstandsdokumente.pdf.download.pdf/ERI-identitaets-und-zivilstandsdokumente-e.pdf,"Swiss State Secretariat for Migration (SEM), Country Analysis",2021-01-21
baseline/2022-05-24-data-protection-africa-eritrea-factsheet.md,[gov.protect],Eritrea | Fact Sheet | Data Protection Africa,https://dataprotection.africa/eritrea/,Data Protection Africa,2022-05-24
baseline/2024-02-23-eritrea-upr-national-report-46th-session.md,[dpi.registry],National report submitted pursuant to Human Rights Council resolutions 5/1 and 16/21: Eritrea,https://upr-info.org/sites/default/files/country-document/2026-01/A_HRC_WG.6_46_ERI_1_E.pdf,"UN Human Rights Council, Working Group on the Universal Periodic Review (submitted by the Government of the State of Eritrea)",2024-02-23
baseline/2024-04-06-shabait-rora-digital-library.md,[include.divides],Benefits of Digital Library in Vocational Education,https://shabait.com/2024/04/06/benefits-of-digital-library-in-vocational-education/,Eritrea Ministry of Information (shabait.com),2024-04-06
baseline/2025-02-27-ohchr-enhanced-interactive-dialogue-eritrea.md,[include.access],Enhanced Interactive Dialogue on Human Rights in Eritrea,https://www.ohchr.org/en/statements-and-speeches/2025/02/enhanced-interactive-dialogue-human-rights-eritrea,United Nations Office of the High Commissioner for Human Rights (OHCHR),2025-02-27
baseline/2025-05-07-ifad-eritrea-iadp-mid-term-review.md,[data.satellite],Eritrea: Integrated Agriculture Development Project — Mid-term Review,https://www.ifad.org/documents/48415603/50999916/ERI_2000002081_INTERIM__OP_MID_TERM_REVIEW_CP__REPORT_MAY_2025_0014-1455267456-13631.pdf,International Fund for Agricultural Development (IFAD),2025-05-07
baseline/2025-06-19-shabait-eritrea-monetary-support-families-martyrs.md,[dpi.pay],Monetary Support to Families of Martyrs,https://shabait.com/2025/06/19/monetary-support-to-families-of-martyrs-10/,Eritrea Ministry of Information (shabait.com),2025-06-19
baseline/2025-12-17-world-bank-govtech-maturity-index-2025.md,"[gov.standards, include.access]",GovTech Maturity Index 2025: Tracking Public Sector Digital Transformation Worldwide,https://documents1.worldbank.org/curated/en/099121725193511608/pdf/P502259-9dd7f000-6bd6-4b94-acc7-11d827eefb9d.pdf,World Bank,2025-12-17
baseline/2026-01-01-bti-2026-eritrea-country-report.md,[dpi.pay],BTI 2026 Country Report — Eritrea,https://bti-project.org/fileadmin/api/content/en/downloads/reports/country_report_2026_ERI.pdf,"Bertelsmann Stiftung (Transformation Index, BTI)",2026-01-01
baseline/2026-01-01-eritel-mobile-gsm-services-tariff-schedule.md,[infra.connect],Mobile GSM Services,https://eritel.com.er/contents.php?id=1017,Eritel Telecom Corporation,2026-01-01
baseline/2026-01-28-adaptation-fund-eritrea-anseba-ex-post-evaluation.md,[data.satellite],"Ex Post Evaluation #6, AF Project ERI/MIE/Rural/2010/2 — Climate Change Adaptation Programme in Water and Agriculture in Anseba Region, Eritrea",https://www.adaptation-fund.org/wp-content/uploads/2026/01/Ex-post-evaluation-report-Eritrea.pdf,Adaptation Fund Technical Evaluation Reference Group (AF-TERG),2026-01-28
