indicator_id,file,brief
capacity.literacy--digital-literacy-civil-service,progress/2025-12-06-caf-eeas-euam-rca-customs-digital-training.md,progress
capacity.literacy--digital-literacy-civil-service,progress/2025-12-16-euam-rca-gestion-documentaire-eaux-forets.md,progress
capacity.literacy--digital-literacy-general-population,baseline/2021-01-01-icasees-mics6-rca-tic-competences.md,baseline
capacity.literacy--digital-literacy-general-population,progress/2025-12-31-unesco-mil-digital-skills-project-status.md,progress
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,baseline/2019-01-01-univ-bangui-centre-ressources-multimedia.md,baseline
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,progress/2025-12-16-gitoc-behind-the-blockchain-car.md,progress
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,progress/2026-05-14-iraset-matrix-digital-sovereignty-univ-bangui.md,progress
capacity.training--dt-related-training-in-secondary-education,baseline/2023-05-18-education-profiles-car-technologie.md,baseline
capacity.training--dt-related-training-in-secondary-education,progress/2026-06-18-aip-cote-divoire-rca-accord-education-numerique.md,progress
capacity.training--graduates-entering-dt-ecosystem,baseline/2024-04-05-afdb-centre-formation-digitale-bangui.md,baseline
capacity.training--graduates-entering-dt-ecosystem,progress/2026-03-07-iecd-relieef-bootcamp-university-bangui.md,progress
capacity.training--graduates-entering-dt-ecosystem,progress/2026-05-29-mbetimedia-boot-camp-contenus-numeriques.md,progress
data.open--use-of-open-data,baseline/2025-05-19-imf-car-egdds-implementation.md,baseline
data.open--use-of-open-data,baseline/2026-06-10-caf-icasees-odp-portal-odin-modernisation.md,progress
data.open--use-of-open-data,progress/2026-03-24-icasees-atelier-politique-diffusion-donnees.md,progress
data.satellite--agricultural-use-of-satellite-data,baseline/2023-04-05-fao-bangui-training-space-based-data-hydromet.md,baseline
data.satellite--agricultural-use-of-satellite-data,progress/2025-10-01-akademiya2063-aagwa-cassava-forecast-306.md,progress
data.satellite--agricultural-use-of-satellite-data,progress/2026-06-04-hdx-acf-biomass-west-central-africa.md,progress
data.satellite--meteorological-use-of-satellite-data,baseline/2025-08-07-asecna-eaip-feff-bangui-mpoko-met.md,baseline
data.satellite--meteorological-use-of-satellite-data,progress/2025-11-04-wmo-crews-central-africa-training-hydromet.md,progress
data.satellite--meteorological-use-of-satellite-data,progress/2026-02-12-wmo-strengthening-collaboration-central-africa-early-warnings.md,progress
data.statistics--national-strategy-for-development-of-statistics,baseline/2026-06-08-icasees-plan-renforcement-capacites-snds-ii.md,baseline
data.statistics--national-strategy-for-development-of-statistics,progress/2026-05-18-icasees-diagnostic-conformite-demarche-qualite-cnaq.md,progress
digital.localgov--digitalisation-of-local-government-records,baseline/2026-07-18-dgdec-etat-civil-digitalisation-egmrg.md,baseline
