indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,gov.policy,2,6,4,1,1,0,2,url-dead;already-seen,staged,8
gov.policy--broadband-strategy,gov.policy,2,7,4,1,2,1,0,,staged,8
gov.policy--data-storage-cloud-strategy,gov.policy,2,7,4,1,1,0,2,already-seen,staged,8
gov.policy--data-governance-policy,gov.policy,2,6,4,1,1,0,2,already-seen,staged,8
gov.policy--open-data-policy,gov.policy,2,5,3,1,1,0,1,already-seen,staged,8
gov.legislate--data-protection-legislation,gov.legislate,2,7,4,1,2,1,0,headline-only-stub,staged,6
gov.legislate--cybersecurity-legislation,gov.legislate,2,6,3,1,2,0,0,,staged,6
gov.legislate--digital-payments-legislation,gov.legislate,2,8,4,1,2,0,1,already-seen,staged,6
gov.legislate--e-commerce-legislation,gov.legislate,2,5,2,1,1,1,1,off-topic,staged,6
gov.legislate--statistics-legislation,gov.legislate,2,7,3,1,2,2,1,already-seen,staged,6
gov.legislate--access-to-information-legislation,gov.legislate,2,6,3,1,2,1,0,,staged,6
gov.protect--national-data-protection-readiness,gov.protect,2,6,2,1,2,1,0,,staged,3
gov.regional--regional-legal-harmonisation,gov.regional,2,8,4,1,2,1,2,already-seen;already-seen,staged,9
gov.standards--national-quality-standards,gov.standards,2,7,3,1,2,0,0,,staged,7
gov.standards--adoption-of-international-standards,gov.standards,2,6,2,1,2,0,0,,staged,7
finance.mou--strategic-relationships,finance.mou,2,6,4,1,2,2,1,already-seen,staged,0
finance.new--mobilisation-of-non-state-finance,finance.new,2,6,3,1,2,3,0,,staged,4
infra.connect--internet-usage,infra.connect,2,6,3,1,2,3,0,,staged,2
infra.connect--international-internet-bandwidth,infra.connect,2,5,2,1,1,3,0,,staged,2
infra.connect--internet-exchange-points,infra.connect,2,7,4,1,2,3,1,already-seen,staged,2
infra.connect--satellite-broadband-licensing-and-availability,infra.connect,2,4,1,1,1,2,0,,staged,2
infra.store--local-data-centre-capacity-all-providers,infra.store,2,6,1,1,2,3,0,,staged,3
infra.store--off-site-backup-capacity,infra.store,2,5,2,0,1,2,2,already-seen;inadmissible-origin,staged,3
infra.energy--sufficient-energy-and-water-for-data-centres,infra.energy,2,6,2,1,2,3,0,,staged,0
infra.energy--grid-reliability,infra.energy,2,7,2,1,2,4,0,,staged,0
infra.energy--rural-electrification,infra.energy,2,7,3,1,2,4,0,,staged,0
infra.capacity--robustness-of-government-hardware-and-software,infra.capacity,2,6,2,1,1,2,2,already-seen,staged,0
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,infra.capacity,2,6,3,1,2,2,1,already-seen,staged,0
dpi.exchange--use-of-digital-id-in-other-systems,dpi.exchange,2,12,4,1,2,0,1,already-seen,staged,6
dpi.exchange--interoperability-of-health-systems,dpi.exchange,2,9,4,1,2,0,1,fetch-blocked,staged,6
dpi.exchange--interoperability-of-education-systems,dpi.exchange,2,9,3,1,2,0,0,,staged,6
