fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,proposed,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,2024,line,Projet regional d'integration numerique en Afrique de l'Ouest (WARDIP),35.01.02.08,infra.connect,whole,external-loan,MRU,"ouguiyas (MRU), printed in full units; stored as printed",,266000000,126000000,"Loi de finances de l'année 2024 (Loi n°2024-001), Dépenses d'investissement sur prêts-projets financées sur ressources extérieures, PDF p. 413, titre 35, chapitre 01, sous-chapitre 08, bailleur 09 BM-IDA, nature 3 PRÊT; Loi de finances rectificative pour l'année 2024, same section, PDF p. 670",2024-01-10-mrt-lfi-2024-loi-2024-001-companion,2026-09-24,"World Bank IDA loan. The titre's external total 586,000,000 is this line plus the cable line; the BCI 2024 prints the same 266.00 million beside a domestic 7.51 million, which is the counterpart row in 2024.csv (7,500,000 in the law)."
2024,2024,line,Mise en place d'une seconde connexion par câble sous-marin dans le cadre de la résilience de la Covid-19,35.07.02.02,infra.connect,whole,external-loan,MRU,"ouguiyas (MRU), printed in full units; stored as printed",,320000000,140000000,"Loi de finances de l'année 2024 (Loi n°2024-001), Dépenses d'investissement sur prêts-projets financées sur ressources extérieures, PDF p. 413, titre 35, chapitre 07, sous-chapitre 02, bailleur 34 UE-BEI, nature 3 PRÊT; Loi de finances rectificative pour l'année 2024, same section, PDF p. 670",2024-01-10-mrt-lfi-2024-loi-2024-001-companion,2026-09-24,"European Investment Bank loan. The revised law prints 140,000,000, and 126,000,000 + 140,000,000 is its titre total 266,000,000. The domestic counterpart (5,800,000) is in 2024.csv."
2024,2024,line,Projet d'harmonisation et d'amélioration des statistiques en Afrique de l'Ouest et du Centre,81.41.02.08,data.statistics,whole,external-loan,MRU,"ouguiyas (MRU), printed in full units; stored as printed",,240000000,90000000,"Loi de finances de l'année 2024 (Loi n°2024-001), Dépenses d'investissement sur prêts-projets financées sur ressources extérieures, PDF p. 415, titre 81, chapitre 41, sous-chapitre 08, bailleur 09 BM-IDA, nature 3 PRÊT; Loi de finances rectificative pour l'année 2024, same section, PDF p. 671",2024-01-10-mrt-lfi-2024-loi-2024-001-companion,2026-09-24,World Bank IDA loan to the statistics agency's regional harmonisation project.
2024,2024,line,Projet d'appui à la modernisation de l'infrastructure financière (PAMIF),81.01.02.12,dpi.pay,unclear,external-loan,MRU,"ouguiyas (MRU), printed in full units; stored as printed",,43200000,43200000,"Loi de finances de l'année 2024 (Loi n°2024-001), Dépenses d'investissement sur prêts-projets financées sur ressources extérieures, PDF p. 415, titre 81, chapitre 01, sous-chapitre 12, bailleur 04 BAD-FAD, nature 3 PRÊT; Loi de finances rectificative pour l'année 2024, same section, PDF p. 671",2024-01-10-mrt-lfi-2024-loi-2024-001-companion,2026-09-24,"African Development Fund loan; the BCI 2024 prints 43.20 million for 2024. Held unclear: financial-infrastructure modernisation usually means payment and credit-information systems, but no held document says so."
2025,2025,line,Projet de connectivité nationale (WARCIP Mauritanie),35.01.02.01,infra.connect,whole,external-loan,MRU,"ouguiyas (MRU), printed in full units; stored as printed",,88000000,68000000,"Loi de finances pour l'année 2025 (Loi n°2025-001), Dépenses d'investissement sur prêts-projets financées sur ressources extérieures, PDF p. 446, titre 35, chapitre 01, sous-chapitre 01, bailleur 34 UE-BEI, nature 3 PRÊT; Loi de finances rectificative pour l'année 2025 (Loi n°2025-040), same section, PDF p. 688",2025-01-01-mrt-lfi-2025-companion,2026-09-24,"European Investment Bank loan. The titre's external total 281,000,000 is 88,000,000 + 105,000,000 + 88,000,000, and the revised law's 221,000,000 is 68,000,000 + 75,000,000 + 78,000,000. The domestic counterpart lines are in 2025.csv."
2025,2025,line,Projet regional d'integration numerique en Afrique de l'Ouest (WARDIP),35.01.02.08,infra.connect,whole,external-loan,MRU,"ouguiyas (MRU), printed in full units; stored as printed",,105000000,75000000,"Loi de finances pour l'année 2025 (Loi n°2025-001), Dépenses d'investissement sur prêts-projets financées sur ressources extérieures, PDF p. 446, titre 35, chapitre 01, sous-chapitre 08, bailleur 09 BM-IDA, nature 3 PRÊT; Loi de finances rectificative pour l'année 2025 (Loi n°2025-040), same section, PDF p. 688",2025-01-01-mrt-lfi-2025-companion,2026-09-24,"World Bank IDA loan; the parties 15,200,000 + 49,400,000 + 40,400,000 sum to the line. The BCI 2025 prints 112.50 million with the domestic 7.5 million."
2025,2025,line,Mise en place d'une seconde connexion par câble sous-marin dans le cadre de la résilience de la Covid-19,35.07.02.02,infra.connect,whole,external-loan,MRU,"ouguiyas (MRU), printed in full units; stored as printed",,88000000,78000000,"Loi de finances pour l'année 2025 (Loi n°2025-001), Dépenses d'investissement sur prêts-projets financées sur ressources extérieures, PDF p. 446, titre 35, chapitre 07, sous-chapitre 02, bailleur 34 UE-BEI, nature 3 PRÊT; Loi de finances rectificative pour l'année 2025 (Loi n°2025-040), same section, PDF p. 688",2025-01-01-mrt-lfi-2025-companion,2026-09-24,European Investment Bank loan.
2025,2025,line,Projet d'harmonisation et d'amélioration des statistiques en Afrique de l'Ouest et du Centre,81.41.02.08,data.statistics,whole,external-loan,MRU,"ouguiyas (MRU), printed in full units; stored as printed",,80000000,80000000,"Loi de finances pour l'année 2025 (Loi n°2025-001), Dépenses d'investissement sur prêts-projets financées sur ressources extérieures, PDF p. 448, titre 81, chapitre 41, sous-chapitre 08, bailleur 09 BM-IDA, nature 3 PRÊT; Loi de finances rectificative pour l'année 2025 (Loi n°2025-040), same section, PDF p. 687",2025-01-01-mrt-lfi-2025-companion,2026-09-24,"World Bank IDA loan; the domestic counterpart (4,000,000) is in 2025.csv."
2026,2026,line,Projet de connectivité nationale de WARCIP,35.052.01.01.10,infra.connect,whole,external-loan,MRU,"ouguiyas (MRU), printed in full units; stored as printed",,80000000,40000000,"LFI 2026 par partie (spreadsheet of the enacted 2026 budget), sheet Feuil3, titre 35, programme 052, action 01, chapitre 01, sous-chapitre 10, financing code 3 (Prêts), bailleur 34 UE-BEI, column SommeDemontant_paiement; Loi de finances rectificative pour l'année 2026, PDF p. 228, same line, columns CP - LFI and CP - LFR",2026-02-01-mrt-lfi-2026-par-partie-companion,2026-09-24,"European Investment Bank loan rows of the line; its domestic rows (5,964,938) are in 2026.csv. Spreadsheet and revised law agree on the LFI split."
2026,2026,line,Mise en place d'une seconde connexion par câble sous-marin dans le cadre de la résilience de la Covid-19,35.052.01.07.02,infra.connect,whole,external-loan,MRU,"ouguiyas (MRU), printed in full units; stored as printed",,148560000,148560000,"LFI 2026 par partie (spreadsheet of the enacted 2026 budget), sheet Feuil3, titre 35, programme 052, action 01, chapitre 07, sous-chapitre 02, financing code 3 (Prêts), bailleur 34 UE-BEI, column SommeDemontant_paiement; Loi de finances rectificative pour l'année 2026, PDF p. 229, same line, columns CP - LFI and CP - LFR",2026-02-01-mrt-lfi-2026-par-partie-companion,2026-09-24,"European Investment Bank loan rows; the domestic rows (64,880,750, revised 23,880,750) are in 2026.csv."
