row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
BFA-infra.connect-cross-border-frequency-coordination-protocol,BFA,infra.connect,Infrastructure,instrument,Cross-border frequency coordination protocol,Implemented,2025-11-23,Signed 2025-11-21,,Baseline not held,,"Preferential frequencies for operators, interference-prevention mechanisms and 15 km coordination zones either side of the borders with three neighbours",2025-11-23-burkina-ghana-mali-niger-harmonisent-frequences|2025-08-21-ghana-burkina-interference-frequences-transfrontalieres,,signed alongside a separate free-roaming agreement
BFA-infra.connect-digital-planning-observatory,BFA,infra.connect,Infrastructure,instrument,Digital planning observatory,Implemented,2025-10-26,Platform launched 2025-10-24,,Advanced,"Recommended by a 2019 master plan, with ministry work to make it operational since 2023","A live geospatial platform on eight functional objectives covering network mapping, infrastructure sharing and duplicate-investment reduction, built to international mapping recommendations",2025-10-26-observatoire-amenagement-numerique-lance,,the minister conceded primary-data quality and availability as the standing problem
BFA-infra.connect-domain-name-security-extensions,BFA,infra.connect,Infrastructure,instrument,Domain-name security extensions,Implemented,2025-12-09,Launched 2025-12-05 with international support,,Advanced,Not deployed,Cryptographic signing live on the country-code domain's records,2025-12-09 Burkina Faso Targets Online Trust with New Internet Security Measures (DNSSEC),,
BFA-infra.connect-fibre-and-video-surveillance-project,BFA,infra.connect,Infrastructure,instrument,Fibre and video-surveillance project,Implemented,2020-01-01,Reported complete August 2025,,Closed,Under construction since July 2021 on a 54-month schedule,"650 km of backbone plus 150 km of city links, 900 surveillance cameras and 300 video-surveillance sites, on a Chinese concessional loan of RMB 560m",2020-01-01-eximbank-cn-bfa-001-smart-burkina-project|2020-01-01-eximbank-cn-bfa-002-china-eximbank-provides-rmb-560-million,,the two held records disagree on completion
BFA-infra.connect-interconnection-catalogue-2026-to-2028,BFA,infra.connect,Infrastructure,instrument,Interconnection catalogue 2026 to 2028,Implemented,2026-07-22,"Published March 2026, revising the call-termination tariff framework",,Baseline not held,,"In force, with call-termination tariffs revised",2026-07-22-maroc-telecom-rapport-financier-semestriel-2026,,known only through an operator's half-year filing; the catalogue itself is not held
BFA-infra.connect-internet-exchange-point,BFA,infra.connect,Infrastructure,instrument,Internet exchange point,Implemented,2026-05-25,Peak capacity raised to 6 Gbit/s under peering support,2015-06,No change,"Operating since June 2015 at a 6 Gbit/s peak, keeping local traffic flowing through subsea cuts",Operating at a 6 Gbit/s peak with local latency of 15 to 20 milliseconds against over 300 before peering,2026-05-25 Local Infrastructure Lower Costs How Peering Is Moving the Needle on Internet Affordability|2025-04-11 Local Businesses Benefit from Burkina Faso's Internet Development (BFIX),,no capacity update since May 2026
BFA-infra.connect-national-address-protocol-migration-roadmap,BFA,infra.connect,Infrastructure,instrument,National address-protocol migration roadmap,Not held,2026-07-03,Operators and the regulator again call for a roadmap with a timetable,,Baseline not held,,"No adopted national plan or calendar on file, with individual operators migrating on their own schedules",2026-07-03-abdi-adoption-ipv6-internet-nouvelle-generation,2026-08-05,a regulator or ministry decision adopting a dated migration plan would settle it
BFA-infra.connect-national-fibre-network-deployed-length,BFA,infra.connect,Infrastructure,measure,"National fibre network, deployed length",,2025-12-30,Reported in the ministry's 2026 work-plan presentation,,Baseline not held,,"More than 11,292 km deployed, with 270 km more programmed for 2026",2025-12-30-burkina-faso-earmarks-109-4mln-digital-projects-2026,,"no earlier cumulative figure on file, so the increment is not derivable"
BFA-infra.connect-national-telecommunications-backbone-first-p,BFA,infra.connect,Infrastructure,instrument,"National telecommunications backbone, first phase",Implemented,2019-01-01,First phase inaugurated 2021-10-26,2021-10-26,No change,"307 km in service at 1,600 Gbit/s","307 km in service at 1,600 Gbit/s, the first phase of a stated EUR 175m and 5,740 km programme, with no phase-two status on file",2019-01-01-boc-bfa-001-bank-of-china-provides-7735-million,,financed by a Chinese buyer's credit after a European bank withdrew in 2019
BFA-infra.connect-new-public-administration-network,BFA,infra.connect,Infrastructure,instrument,New public-administration network,In development,2026-07-26,"Architecture finalised, pre-selected suppliers' bids under evaluation",,Advanced,"Network reinforcement and further interconnection named as a priority, with 38 structures interconnected in the first half of 2025","Architecture of the replacement network complete and equipment procurement in evaluation, with the existing network operating since 2007 and 88 to 100 further buildings connected in 2025",2026-07-26-burkina-faso-digital-ministry-mid-year-performance|2026-03-24-transformation-digitale-bilan-2025-85-pourcent|2025-08-18-transition-digitale-4361-taux-performance-semestre,,the 2025 building count is given as 88 in one source and about 100 in two others
BFA-infra.connect-operator-site-build-commitments,BFA,infra.connect,Infrastructure,measure,Operator site-build commitments,,2026-06-21,Ministry follow-up meeting on operator commitments,,Advanced,"800 new sites planned for 2025 across the fund and the acceleration project, tender in progress","2025 commitments delivered in full at 200, 200 and 150 sites across the three operators; for 2026 one operator is at about half of 100 planned and another has five live, twenty installing and 125 in build",2026-06-21-telecommunications-taux-execution-engagements-80-90|2025-06-02-800-nouveaux-sites-telecom-zones-blanches,,the 800 planned and the 550 committed-and-delivered are never reconciled in any held source
BFA-infra.connect-satellite-market-authorisation,BFA,infra.connect,Infrastructure,instrument,Satellite market authorisation,In development,2026-07-26,The minister says she hopes to rule soon on admitting the operator,,Advanced,No authorisation; the regulator declared terminal sales irregular under the 2008 telecommunications law,"Still unlicensed, with ministry negotiations reported advancing and a decision pending",2026-07-26-burkina-faso-zero-data-abroad-120-platforms|2024-03-20-burkina-arcep-communique-commercialisation-irreguliere-starlink,,the operator's own continental map still listed the country as available from 2026 without a licence
BFA-infra.connect-universal-access-and-service-fund,BFA,infra.connect,Infrastructure,instrument,Universal access and service fund,Implemented,2026-07-01,"Role restated at a regulator workshop, 29 June to 2 July 2026",2020,No change,"Financing 500 of the 800 telecom sites planned for 2025, plus 50 more as zones cleared","Co-financing half the state's FCFA 37.5bn white-zone contribution, levied at 2% of operator turnover",2026-07-01-arcep-national-drive-expand-digital-infrastructure|2026-02-18-zero-zone-blanche-12-chantiers-2000-zones-2030|2025-06-02-800-nouveaux-sites-telecom-zones-blanches,,no fund account published for any year from 2024 to 2026
BFA-infra.connect-white-zone-connectivity-programme-first-tran,BFA,infra.connect,Infrastructure,instrument,"White-zone connectivity programme, first tranche",In development,2026-07-13,Service orders signed and equipment ordered 2026-04-04,,Advanced,"Tender dossier for 750 localities finalised, project not yet launched","Most localities identified, service orders signed and equipment on order, with delivery targeted before end-2026",2026-07-13-pactdigital-1000-white-zones-2026|2026-04-06-zero-zone-blanche-750-localites-phase-2-2027|2025-08-18-transition-digitale-4361-taux-performance-semestre,,"officially launched in September 2025, after the window opened"
