row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
GIN-infra.connect-starlink,GIN,infra.connect,Infrastructure,Starlink market authorisation,"An ARPT licensing decision, a published authorisation register, or a ministerial statement on Starlink market entry.",2026-08-09,
GIN-data.satellite-none,GIN,data.satellite,Digital public infrastructure,Earth-observation or satellite data programme,"A national earth-observation or geospatial-data programme document, or an agency mandate covering satellite data.",2026-08-09,
GIN-digital.rural-none,GIN,digital.rural,Digital public infrastructure,Rural digital-services programme,"A rural connectivity or rural digital-services programme document, or the white-zones plan named in the 2026 targets.",2026-08-09,
GIN-gov.discourse-block,GIN,gov.discourse,Governance and regulation,Official explanation of the social-media restriction,"Any published legal basis, ARPT decision or ministerial statement acknowledging the restriction on Facebook, YouTube and TikTok.",2026-08-09,
GIN-data.open-none,GIN,data.open,Governance and regulation,Open government data portal,"A national open-data portal, an open-data policy, or a public-sector information reuse instrument.",2026-08-09,
GIN-tech.ai-strategy,GIN,tech.ai,Artificial intelligence and the technology sector,National AI strategy,"The national AI roadmap document named in open sources, with its validation date and adopting instrument.",2026-08-09,acquisition line raised 2026-08-09
GIN-geopol.china-none,GIN,geopol.china,Artificial intelligence and the technology sector,Chinese digital investment in Guinea,"A Guinea-specific Chinese financing agreement, contract or memorandum covering digital infrastructure.",2026-08-09,
GIN-tech.innovate-none,GIN,tech.innovate,Artificial intelligence and the technology sector,Startup act or innovation-financing instrument,"A startup act, an innovation fund instrument, or a published incubation or venture programme.",2026-08-09,
GIN-geopol.india-none,GIN,geopol.india,Artificial intelligence and the technology sector,Indian digital cooperation with Guinea,"Any India-Guinea digital cooperation agreement, line of credit or programme document.",2026-08-09,
GIN-geopol.gulf-none,GIN,geopol.gulf,Artificial intelligence and the technology sector,Gulf-state digital investment in Guinea,"Any Gulf-state investment, financing or memorandum covering Guinean digital infrastructure.",2026-08-09,
GIN-capacity.research-none,GIN,capacity.research,Inclusion and capacity,Public research programme in digital or data science,"A public research programme, university research centre mandate or published research output in digital or data science.",2026-08-09,
GIN-capacity.literacy-none,GIN,capacity.literacy,Inclusion and capacity,Digital literacy programme or measurement,"A digital-literacy programme document, or a published measurement of digital literacy.",2026-08-09,
GIN-finance.budget-none,GIN,finance.budget,Finance,Domestic budget appropriation for digital transformation,"The Loi de finances or its annexes showing appropriation lines for MCENI, ANDE, ANSSI or the Digital Sovereignty Fund.",2026-08-09,
