row_id,place,subject,section,kind,name,status,as_at,milestone,since,prior_status,prior_as_at,movement,position_start,position_end,sources,probe_at,note
GIN-infra.connect-ace,GIN,infra.connect,Infrastructure,instrument,ACE submarine cable (sole international link),Implemented,2025-07-10,Named saturated after ~13-15 years as the country's only landing,2025-07-10,,,No change,"Sole landing, saturated","Sole landing in service, saturated; two further landings contracted",2025-07-10-mediaguinee-second-submarine-cable-workshop,,
GIN-infra.connect-ftth,GIN,infra.connect,Infrastructure,instrument,FTTH and Wifi-Zone licensing regime,Under review,2026-05-21,"FESATEL strike threat over FTTH restriction and the Wifi-Zone regime, 21 May 2026",2026-03-30,,,Baseline not held,Baseline not held,"FTTH restricted and Wifi-Zone activity barred, contested by the operators' union",2026-05-21-mediaguinee-fesatel-ftth-wifi-zones-starlink|2026-08-10-conversation-starlinkisation-afrique,,"ARPT confiscated unlicensed Wi-Fi-Zone equipment from resellers following its 30 March 2026 communique (reported 2026-08-10), predating the FESATEL dispute on record"
GIN-infra.connect-giga,GIN,infra.connect,Infrastructure,instrument,GIGA school connectivity programme,In development,2025-11-05,"Plan launched 5 November 2025 to connect 2,200 primary schools by end-2026",,,,Advanced,No programme on record,"2,200-school target by end-2026; 585 schools connected (2026-01)","2025-11-07 Guinea Kicks Off Plan to Bring Internet to 2,200 Schools|2026-01-14 Guinea Reviews 2025 Digital Sector Gains, Targets Faster Rollout in 2026",,
GIN-infra.connect-pamelap,GIN,infra.connect,Infrastructure,instrument,Guinea-Sierra Leone backbone interconnection (Pamelap),Implemented,2025-06-23,Capacity raised from 42.5 Gbps to 100 Gbps under the 2024 Digital Pact,2025-06-23,,,No change,42.5 Gbps rising to 100 Gbps,100 Gbps,2025-06-23-sogeb-leonecom-fibre-interconnection,,
GIN-infra.connect-medusa,GIN,infra.connect,Infrastructure,instrument,MEDUSA Africa submarine cable (second landing),In development,2026-05-06,"Construction and maintenance agreement signed, May 2026",,,,Advanced,Did not exist,C&MA signed; GUILAB the landing party,2026-05-06-mediaguinee-medusa-africa-second-submarine-cable-cma,,
GIN-infra.connect-backbone,GIN,infra.connect,Infrastructure,instrument,National fibre backbone,Implemented,2026-01-14,Capacity reported quadrupled to 200 Gbps in the 2025 sector review,,,,Advanced,"50 Gbps, ~12,000 km of fibre","200 Gbps, ~12,000 km reaching all regions (2026-01)","2026-01-14 Guinea Reviews 2025 Digital Sector Gains, Targets Faster Rollout in 2026",,Ministry-reported figures; no independent measurement on file.
GIN-infra.connect-block,GIN,infra.connect,Infrastructure,instrument,"Restriction on Facebook, YouTube and TikTok","Implemented, unacknowledged",2026-07-28,Blocking measured from 28 July 2026; still running 2026-08-07,,,,"Advanced, restriction imposed",Not in force,"In force from 28 July 2026, covering Facebook, YouTube and TikTok; still running 2026-08-07; a consumer-protection union additionally reports WhatsApp restricted and bandwidth broadly reduced for several months, with ISPs and mobile operators stating the decision was not theirs (2026-08-04); no authority has acknowledged it",2026-07-28-guinee-ablogui-blocage-cible-facebook-youtube-tiktok|2026-08-07-guinee-des-reseaux-sociaux-coupes-alors-que-mamadi-doumbouya-est-a-letranger|2026-07-30-guinea-social-media-restrictions-disrupt-businesses|2026-08-04-guinee-bany-sidibe-denonce-restrictions-reseaux-sociaux-degradation-internet,,
GIN-infra.connect-starlink,GIN,infra.connect,Infrastructure,instrument,Starlink market authorisation,Not held,2026-05-21,FESATEL states Starlink is not recognised in Guinea; no licensing decision on file,,,,Baseline not held,Not held,Not held,2026-05-21-mediaguinee-fesatel-ftth-wifi-zones-starlink,2026-08-09,
GIN-infra.connect-mtn,GIN,infra.connect,Infrastructure,instrument,State shareholding in MTN Guinee,Implemented,2024-12-30,Transfer of 87.5% to the state made official 30 December 2024,2024-12-30,,,No change,State holds 87.5%; ~3m subscribers,State holds 87.5%,2025-01-06-connectingafrica-mtn-sells-guinea-conakry-to-state,,
GIN-infra.connect-univconnect,GIN,infra.connect,Infrastructure,instrument,Univ Connect higher-education fibre (ANSUTEN),Implemented,2025-12-26,"17 universities and institutes contracted, 13 connected",,,,Advanced,No programme on record,"17 institutions contracted, 13 connected",2025-12-26-mediaguinee-univ-connect-17-universities,,
