title,publisher,author,published,date_precision,places,topics,entities,ingested,url
EPTC seeks E455m loan for digital transformation,Times of Eswatini,,2026-09-10,day,SWZ,dpi.govtech; infra.connect; finance.new,eptc; world-bank,2026-09-10,https://times.co.sz/43325/news/eptc-seeks-e455m-loan-for-digital-transformation/
"Retail, wholesale sector steps up for e-invoicing pilot",Times of Eswatini,,2026-09-09,day,SWZ,dpi.govtech; gov.policy,eswatini-revenue-service; business-eswatini,2026-09-10,https://times.co.sz/43257/business/retail-wholesale-sector-steps-up-for-e-invoicing-pilot/
Think before you click!,Times of Eswatini,,2026-09-08,day,SWZ,infra.cybersec; dpi.pay; include.divides,esccom,2026-09-08,https://times.co.sz/43207/technology-today/think-before-you-click/
BE backs ERS e-invoicing but demands practical rollout,Independent News Eswatini,,2026-09-07,day,SWZ,dpi.govtech; gov.standards; tech.industry,eswatini-revenue-service; business-eswatini,2026-09-08,https://independentnews.co.sz/48066/business/be-backs-ers-e-invoicing-but-demands-practical-rollout/
Auditors Embrace AI to Protect Public Funds,Eswatini Positive News,,2026-09-07,day,SWZ,tech.ai; dpi.govtech; gov.regional,office-of-the-auditor-general-eswatini; public-accounts-committee-eswatini; parliament-of-eswatini,2026-09-07,https://eswatinipositivenews.online/auditors-embrace-ai-to-protect-public-funds/
Taiwan Opens Global Markets for Eswatini Through Buy Eswatini,Eswatini Positive News,,2026-09-05,day,SWZ,finance.mou; dpi.pay; gov.policy,eswatini-investment-promotion-authority; government-of-taiwan; ministry-of-commerce-industry-and-trade-eswatini,2026-09-07,https://eswatinipositivenews.online/taiwan-opens-global-markets-for-eswatini-through-buy-eswatini/
"Work Smarter: Embrace Technology, Cut Costs, Grow",United Nations Development Programme (UNDP) Eswatini,,2026-09-03,day,SWZ,gov.discourse; include.access,undp; business-federation-eswatini; ministry-of-natural-resources-and-energy-eswatini; ministry-of-commerce-industry-and-trade-eswatini; european-union,2026-09-07,https://www.undp.org/eswatini/news/work-smarter-embrace-technology-cut-costs-grow
Eswatini and DCO explore cooperation to accelerate digital transformation,TechReview Africa,,2026-09-03,day,SWZ,gov.regional; dpi.govtech; infra.connect,digital-cooperation-organization; ministry-of-ict-eswatini,2026-09-07,https://techreviewafrica.com/news/7055/eswatini-and-dco-explore-cooperation-to-accelerate-digital-transformation
DIGITAL SKILLS OPEN NEW OPPORTUNITIES FOR ESWATINI’S FUTURE - Eswatini Positive News,Eswatini Positive News - News Website,,2026-09-02,day,SWZ,capacity.training; gov.policy,eswatini-ministry-of-ict; royal-science-technology-park,2026-09-04,https://eswatinipositivenews.online/digital-skills-open-new-opportunities-for-eswatinis-future/
2 304 Shiselweni residents have difficulty walking,Eswatini Observer,,2026-08-31,day,SWZ,dpi.registry; include.access; data.statistics,eswatini-social-registry-imbeleko; government-of-eswatini,2026-09-01,https://www.eswatiniobserver.com/2-304-shiselweni-residents-have-difficulty-walking/
"Retailers, Wholesalers to Lead Eswatini's New E-Invoicing Tax System Rollout",Eswatini Positive News,,2026-08-29,day,SWZ,dpi.mis,eswatini-revenue-service; ministry-of-finance-eswatini; vat-act-eswatini,2026-08-31,https://eswatinipositivenews.online/retailers-wholesalers-to-lead-eswatinis-new-e-invoicing-tax-system-rollout/
Deeds,"Government of Eswatini, Ministry of Natural Resources and Energy",,2026-08-29,day,SWZ,dpi.registry,eswatini-deeds-registry; ministry-of-natural-resources-and-energy-eswatini; deeds-registry-act-1968-eswatini,2026-08-31,https://gov.sz/index.php/departments-sp-623334762/deeds
Information Technology — SWASA Online Store,Eswatini Standards Authority (SWASA),,2026-08-29,day,SWZ,gov.standards,eswatini-standards-authority,2026-08-31,https://estore.swasa.co.sz/product-category/information-technology/
Registration,Eswatini Revenue Service (ERS),,2026-08-29,day,SWZ,dpi.registry,eswatini-revenue-service; revenue-authority-act-2008-eswatini; vat-act-eswatini,2026-08-31,https://www.ers.org.sz/Registration
Electoral Process,Elections and Boundaries Commission of Eswatini,,2026-08-29,day,SWZ,dpi.registry,elections-and-boundaries-commission-eswatini; ministry-of-tinkhundla-administration-and-development-eswatini; voter-registration-act-2013-eswatini,2026-08-31,https://www.elections.org.sz/2023/electoral-process/
Govt puts cybersecurity at heart of digital services,Eswatini Observer,,2026-08-28,day,SWZ,dpi.govtech; infra.cybersec; gov.policy,ministry-of-ict-eswatini; international-integrated-systems-inc; government-of-taiwan,2026-09-01,https://www.eswatiniobserver.com/govt-puts-cybersecurity-at-heart-of-digital-services/
ESCCOM warns emaSwati: Cyberbullying is a crime,Eswatini Positive News,,2026-08-28,day,SWZ,infra.cybersec; gov.legislate,esccom,2026-09-01,https://eswatinipositivenews.online/esccom-warns-emaswati-cyberbullying-is-a-crime/
E41.7M IMBELEKO ROLLOUT TARGETS VULNERABLE HOUSEHOLDS IN LUBOMBO,Eswatini Positive News,,2026-08-27,day,SWZ,dpi.registry; dpi.exchange; dpi.mis,world-bank; eswatini-deputy-prime-ministers-office; eswatini-social-registry-imbeleko,2026-08-31,https://eswatinipositivenews.online/e41-7m-imbeleko-rollout-targets-vulnerable-households-in-lubombo/
Maziya Opens Research Council Workshop,Swazi24,,2026-08-25,day,SWZ,gov.policy; capacity.research,ministry-of-ict-eswatini,2026-08-27,https://swazi24.com/49836/news/science-technology/maziya-opens-research-council-workshop/
E 42 000 seed capital for Shiselweni youth entrepreneurs,Independent News (Eswatini),,2026-08-25,day,SWZ,tech.innovate,eswatini-national-youth-council; sedco-eswatini; youth-enterprise-fund-eswatini,2026-08-31,https://independentnews.co.sz/47721/news/e-42-000-seed-capital-for-shiselweni-youth-entrepreneurs/
ESWATINI'S CRVS GAINS PUT EVERY CITIZEN ON THE MAP,Eswatini Positive News,,2026-08-25,day,SWZ,dpi.id; data.open,central-statistics-office-eswatini; ministry-of-economic-planning-and-development-eswatini; ministry-of-home-affairs-eswatini; unfpa; uneca,2026-08-31,https://eswatinipositivenews.online/eswatinis-crvs-gains-put-every-citizen-on-the-map/
Empower Youth To Build Eswatini's Digital Future,Eswatini Positive News,,2026-08-24,day,SWZ,tech.ai; capacity.training,rstp; ministry-of-ict-eswatini,2026-08-27,https://eswatinipositivenews.online/empower-youth-to-build-eswatinis-digital-future/
"No Social Media, No Sales?",Eswatini Observer,,2026-08-24,day,SWZ,dpi.pay; tech.industry,eswatini-revenue-service; central-bank-of-eswatini,2026-08-27,https://www.eswatiniobserver.com/no-social-media-no-sales/
Jenny Internet Boosts EITF 2026 with E570 000 WiFi Sponsorship,Eswatini Positive News,,2026-08-24,day,SWZ,finance.new,jenny-internet; eswatini-investment-promotion-authority; eswatini-international-trade-fair,2026-08-31,https://eswatinipositivenews.online/jenny-internet-boosts-eitf-2026-with-e570-000-wifi-sponsorship/
