fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,proposed,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,Exercice 2024,line,"Section 31 investment, Subvention - WURI",31,dpi.id,whole,external-grant,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,5405500000,5405500000,"Loi de finances 2024, volume intégral, section 31, *Prévision des dépenses globales par nature*, row Subvention, column CP 2024",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,"The section's grant capital, 5,405,500 thousand. By the section arithmetic (Etat Seul equals the section's other investment lines) it sits wholly in WURI (unique identification, programme 136). The volume names no funder. LFR 2024 leaves it unchanged."
2024,Exercice 2024,line,"Section 31 investment, Prêt - WURI",31,dpi.id,whole,external-loan,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,8658500000,8658500000,"Loi de finances 2024, volume intégral, section 31, *Prévision des dépenses globales par nature*, row Prêt, column CP 2024",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,"The section's loan capital, 8,658,500 thousand, in WURI (unique identification, programme 136). The volume names no lender. LFR 2024 leaves it unchanged."
2024,Exercice 2024,line,Numériser les registres d'état civil de dix-sept (17) communes,1560104,dpi.registry,whole,external-grant,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,136000000,,"Loi de finances 2024, volume intégral, annexe des comptes d'affectation spéciale du Trésor, compte spécial 156 (PREGOLS), Dépenses, PDF p. 1537, activité 1560104, column CP 2024",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,"Special account 156 (PREGOLS, local governance) prints its receipts as grants from international institutions (Dons des institutions internationales); no funder is named. Digitisation of civil-status registers."
2024,Exercice 2024,line,Réaliser l'interconnexion à RESINA,1560215,infra.connect,whole,external-grant,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,15000000,,"Loi de finances 2024, volume intégral, annexe des comptes d'affectation spéciale du Trésor, compte spécial 156 (PREGOLS), Dépenses, PDF p. 1540, activité 1560215, column CP 2024",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,"Special account 156 (PREGOLS, local governance) prints its receipts as grants from international institutions (Dons des institutions internationales); no funder is named. Connection to the government network."
2024,Exercice 2024,line,Assurer la prise en charge des frais de communication de l'UCP et abonnement internet,1560217,infra.connect,partial,external-grant,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,11904000,,"Loi de finances 2024, volume intégral, annexe des comptes d'affectation spéciale du Trésor, compte spécial 156 (PREGOLS), Dépenses, PDF p. 1541, activité 1560217, column CP 2024",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,"Special account 156 (PREGOLS, local governance) prints its receipts as grants from international institutions (Dons des institutions internationales); no funder is named. Telephone and internet costs in one line."
2024,Exercice 2024,line,Effectuer la mise en jour de logiciel de paie et le contrat d'assistance logiciel TOM2PRO,1560221,dpi.govtech,whole,external-grant,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,2100000,,"Loi de finances 2024, volume intégral, annexe des comptes d'affectation spéciale du Trésor, compte spécial 156 (PREGOLS), Dépenses, PDF p. 1541, activité 1560221, column CP 2024",2023-12-15-bfa-lf-2024-volume-integral-companion,2026-09-25,"Special account 156 (PREGOLS, local governance) prints its receipts as grants from international institutions (Dons des institutions internationales); no funder is named. Payroll and accounting software."
2025,Exercice 2025,line,"Section 31 investment, Subvention - WURI and PACT-Digital",31,dpi.govtech,whole,external-grant,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,6818057000,,"Loi de finances 2025, volume intégral, section 31, *Prévision des dépenses globales par nature*, row Subvention, column CP 2025",2024-12-23-bfa-lf-2025-volume-integral-companion,2026-09-25,"The section's grant capital, 6,818,057 thousand. By the section arithmetic (Etat Seul equals the section's other investment lines) it sits wholly in WURI (programme 136) and PACT-Digital (programme 095). The volume names no funder."
2025,Exercice 2025,line,"Section 31 investment, Prêt - WURI and PACT-Digital",31,dpi.govtech,whole,external-loan,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,8592959000,,"Loi de finances 2025, volume intégral, section 31, *Prévision des dépenses globales par nature*, row Prêt, column CP 2025",2024-12-23-bfa-lf-2025-volume-integral-companion,2026-09-25,"The section's loan capital, 8,592,959 thousand, in WURI (programme 136) and PACT-Digital (programme 095). The volume names no lender."
2026,Exercice 2026,line,"Section 31 investment, Subvention - WURI and PACT-Digital",31,dpi.govtech,whole,external-grant,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,9937214000,,"Loi de finances 2026, volume intégral (JO spécial n°1 du 2 janvier 2026), section 31, *Prévision des dépenses globales par nature*, row Subvention, column CP 2026",2025-12-27-bfa-lf-2026-volume-integral-companion,2026-09-25,"The section's grant capital, 9,937,214 thousand. By the section arithmetic (Etat Seul equals the section's other investment lines) it sits wholly in WURI (programme 136) and PACT-Digital (programme 095). The volume names no funder."
2026,Exercice 2026,line,"Section 31 investment, Prêt - WURI and PACT-Digital",31,dpi.govtech,whole,external-loan,XOF,"milliers de F CFA as printed (en milliers de F CFA); stored normalised to units (x1,000)",,13324156000,,"Loi de finances 2026, volume intégral (JO spécial n°1 du 2 janvier 2026), section 31, *Prévision des dépenses globales par nature*, row Prêt, column CP 2026",2025-12-27-bfa-lf-2026-volume-integral-companion,2026-09-25,"The section's loan capital, 13,324,156 thousand, in WURI (programme 136) and PACT-Digital (programme 095). The volume names no lender."
