indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,3,TZA-tech.industry-digital-economy-strategic-framework,,,,,,,2026-07-31,0,framework 2024-2034 adopted with targets; no progress or M&E report on record,
gov.policy--ict-strategy,3,TZA-gov.policy-national-ict-policy,,,,,,,2026-07-31,0,2016 policy adopted; no implementation plan or reporting against it on record,
gov.policy--broadband-strategy,3,TZA-gov.policy-broadband-strategy,,,,,,,2026-07-31,0,strategy overseen with coverage reported; no funding source cited against it and no primary text,
gov.policy--data-storage-cloud-strategy,3,TZA-gov.policy-data-centre-standard,,,,,,,2026-07-31,0,hosting standard in force; no data classification or published list of approved environments,
gov.policy--data-interoperability-framework-roadmap,3,TZA-gov.standards-data-or-interoperability-standards,,,,,,,2026-07-31,0,framework and standards published; no conformance regime or compliance count on record,
gov.policy--ai-strategy,2,TZA-tech.ai-ai-strategy-or-guidelines,,,,,,,2026-07-31,0,government says complete; independent assessments find no adopted instrument and no text is published,
gov.policy--data-localisation-policies,3,TZA-gov.policy-data-centre-standard|TZA-gov.policy-financial-data-localisation,,,,,,,2026-07-31,0,public-sector and financial categories localised; no application decision or transfer mechanism on record,
gov.policy--data-governance-policy,2,TZA-gov.policy-data-management-framework,,,,,,,2026-07-31,0,framework in development; no completion or publication on record,
gov.policy--open-data-policy,2,TZA-data.open-open-data-policy-or,,,,,,,2026-07-31,0,sectoral release policies and a portal; no general open data policy adopted,
gov.legislate--data-protection-legislation,3,TZA-gov.protect-personal-data-protection-act,,,,,,,2026-07-31,0,law and regulations in force; no enforcement act on this indicator's rows,
gov.legislate--cybersecurity-legislation,3,TZA-gov.legislate-cybercrimes-act,,,,,,,2026-07-31,0,"act in force; no CERT, prosecution or incident-response act on record",
gov.legislate--legislation-covering-digital-id,3,TZA-gov.legislate-registration-of-persons-act,,,,,,,2026-07-31,0,1986 act in force; no provisions on enrolment rights or grievance shown in practice,
gov.legislate--digital-payments-legislation,3,TZA-gov.legislate-payment-systems-act,,,,,,,2026-07-31,0,act and consumer rules in force; non-bank licensing and interoperability rules not on this row,
gov.legislate--legislation-enabling-data-interoperability,3,TZA-gov.legislate-e-government-act,,,,,,,2026-07-31,0,e-government act with standards; no sharing obligation or conformance on record,
gov.legislate--ai-legislation-regulations,3,TZA-tech.ai-online-content-ai-rules,,,,,,,2026-07-31,0,online content rules cover AI-generated material; no enabling AI framework or regulator,
gov.legislate--e-commerce-legislation,3,TZA-gov.legislate-electronic-transactions-act-amendment,,,,,,,2026-07-31,0,act held only through its 2026 amendment; no trust-service regulations or accreditation on record,
gov.legislate--statistics-legislation,3,TZA-gov.legislate-statistics-act|TZA-data.statistics-statistical-system-objects,,,,,,,2026-07-31,0,act establishes an autonomous bureau; confidentiality and funding basis not on record,
gov.legislate--access-to-information-legislation,3,TZA-gov.legislate-access-to-information-act,,,,,,,2026-07-31,0,act in force; no request or appeal statistics published,
gov.protect--data-protection-authority,3,TZA-gov.protect-registration-data-protection-officer|TZA-gov.protect-certified-data-protection-officer,,,,,,,2026-07-31,0,commission registering controllers and certifying officers; no enforcement decision on record,
gov.protect--national-data-protection-readiness,,,,,,,,,2026-07-31,0,only row is SIM-fraud enforcement; the data protection act sits on the legislation indicator's rows,
gov.regional--regional-policy-collaboration,3,TZA-gov.regional-eac-regional-ai-strategy,,,,,,,2026-07-31,0,national consultations held for the EAC regional AI strategy,
gov.regional--regional-legal-harmonisation,,,,,,,,,2026-07-31,0,regional commitment reaffirmed only; no REC instrument referenced or domesticated on these rows,
gov.regional--shared-regional-infrastructure,,,,,,,,,2026-07-31,0,rows are domestic Zanzibar broadband deals; cross-border links sit on backbone and bandwidth rows,
gov.regional--cross-border-data-transfers,,,,,,,,,2026-07-31,0,data protection act in force but its row states no transfer provision,
gov.standards--national-interoperability-standards,3,TZA-gov.standards-data-or-interoperability-standards|TZA-dpi.exchange-government-enterprise-service-bus,,,,,,,2026-07-31,0,standards published and service-bus joining directed; no conformance testing or certification on record,
gov.standards--adoption-of-international-standards,,,,,,,,,2026-07-31,0,international electrotechnical adoptions on record; no ISO membership and no ICT standard shown,
gov.discourse--open-discussion-of-government-policy,2,TZA-gov.policy-election-period-internet-shutdowns,,,,,,,2026-07-31,0,election-period shutdowns in 2025 on third-party monitoring,
finance.budget--sustainable-domestic-financing-of-digital-transformation,3,TZA-finance.budget-domestic-state-appropriation-digital,,,,,,,2026-07-31,0,recurring ministry vote in the read budget; no dedicated fund or levy on these rows,
finance.new--mobilisation-of-non-state-finance,2,,0.03809,per cent of GDP,2026,outputs/non-state-finance/TZA-nonstate.csv@2026-09-01,,,2026-07-31,0,"7 private commitment(s) starting 2024–2026, over GDP 2025 (WDI)",
infra.connect--mobile-penetration,4,,82.5,% of people 10+,2022,ref:itu-sdg-5b1-mobile-ownership-10plus@2026-06-30,,,2026-07-31,0,survey figure; no primary in the base,
infra.connect--internet-usage,2,,31.2,% of population,2024,ref:itu-sdg-17-8-1-internet-use@2026-06-30,,,2026-07-31,0,modelled estimate; no survey figure in the 5 years to the as-at,
infra.connect--mobile-affordability,2,,4.79,% of monthly GNI per capita,2025,ref:itu-price-basket-5gb-gni@2025-12-10,,,2026-07-31,0,published tariffs; no primary in the base,
infra.connect--national-fibre-backbone,3,TZA-infra.connect-ict-broadband-backbone|TZA-infra.connect-kenya-border-terrestrial-fibre,,,,,,,2026-07-31,0,all mainland regions and cross-border links; no open-access or wholesale terms published,
infra.connect--international-internet-bandwidth,3,TZA-infra.store-international-submarine-cables-landing,3,routes,2025,2026-04-10-communications-sector-surges-400pc,,,2026-07-31,0,regulator counts three cables; independence of landing stations not established,
infra.connect--internet-exchange-points,3,TZA-infra.connect-internet-exchange-points,,,,,,,2026-07-31,0,six exchanges on the association's account; no member count or traffic published,
infra.connect--satellite-broadband-licensing-and-availability,3,TZA-infra.connect-satellite-broadband-service,,,,,,,2026-07-31,0,service live via reseller arrangements; no licence terms on record,
infra.store--local-data-centre-capacity-all-providers,2,,0,facilities,2026,outputs/datasets/data-centres/data-centres.csv@2026-04-30,,,2026-07-31,0,0 of 3 multi-tenant facilities in service at Tier III or above,
infra.store--local-data-centre-capacity-national-providers,1,,0,per cent of facilities,2026,outputs/datasets/data-centres/data-centres.csv@2026-04-30,,,2026-07-31,0,0 of 2 multi-tenant facilities of known ownership nationally owned,
infra.store--off-site-backup-capacity,,,,,,,,,2026-07-31,0,2017 standard requires off-site backup; no government recovery site or contract in service on record,
infra.energy--grid-reliability,4,,0.7398,outages per month,2023,ref:enterprise-surveys-outages@2026-09-24,,,2026-07-31,0,survey figure; no primary in the base,
infra.energy--rural-electrification,2,,33.7,% of rural population,2024,ref:wdi-elc-accs-rural@2026-07-13,,,2026-07-31,0,survey figure; no primary in the base,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2,TZA-infra.capacity-cyber-skills-partnership-with|TZA-infra.capacity-practical-backbone-training-with,,,,,,,2026-07-31,0,training partnerships announced; no in-house maintenance of systems on these rows,
infra.cybersec--national-cybersecurity-readiness,,,,,,,,,2026-07-31,0,"rows are an index, a forum and a memorandum; the cybercrimes act sits on the legislation rows",
dpi.exchange--national-data-exchange-system,3,TZA-dpi.exchange-government-enterprise-service-bus,,,,,,,2026-07-31,0,"service bus in use; no member, service or transaction counts published",
dpi.exchange--use-of-digital-id-in-other-systems,4,TZA-dpi.id-database-integrations-electronic-identity,,,,,,,2026-07-31,0,147 institutions across banking insurance and social security; no query volumes published,
dpi.exchange--interoperability-of-health-systems,2,TZA-dpi.exchange-health-information-exchange,,,,,,,2026-07-31,0,45 systems linked on the minister's account; no adopted HIE policy or architecture on record,
dpi.exchange--interoperability-of-education-systems,2,TZA-dpi.mis-education-esmis,,,,,,,2026-07-31,0,integration directed; no exchange in service on record,
dpi.exchange--interoperability-of-social-protection-systems,2,TZA-dpi.exchange-social-safety-net-registry,,,,,,,2026-07-31,0,financing approved for registry links; no exchange figure on record,
dpi.id--robustness-of-system,3,TZA-dpi.id-centralised-identity-card-printing|TZA-dpi.id-toll-free-identity-status,,,,,,,2026-07-31,0,system issuing cards; no assurance level audit or certification published,
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,2026-07-31,0,rows give coverage counts only; nothing on who builds operates or maintains the platform,
dpi.id--authentication,3,TZA-dpi.id-authentication-regulations|TZA-dpi.id-database-integrations-electronic-identity,,,,,,,2026-07-31,0,register verification in service to linked institutions; no PKI or mobile authentication on record,
dpi.id--digital-id-from-birth,2,TZA-dpi.id-registration-from-birth,,,,,,,2026-07-31,0,registration from birth piloted; enabling bill not tabled,
dpi.id--interoperability-of-birth-registration-and-digital-id,2,TZA-dpi.id-birth-registration-interoperability-act|TZA-dpi.id-registration-from-birth,,,,,,,2026-07-31,0,sharing provided in law and linkage piloted; no exchange in service on record,
dpi.id--use-by-other-systems,,,,,,,,,2026-07-31,0,only row is civil registration throughput; no register keyed on the national ID shown,
dpi.pay--governance-role-of-central-bank,3,TZA-dpi.pay-fintech-regulatory-sandbox|TZA-dpi.pay-tanqr,,,,,,,2026-07-31,0,central bank authorises and runs the QR standard; consumer function not on these rows,
dpi.pay--revenue-collection,,,,,,,,,2026-07-31,0,electronic payment mandated for nine transaction classes; no tax or fee e-payment named on the row,
dpi.pay--b2b-and-b2g-functionality,3,TZA-dpi.pay-participating-financial-service-providers|TZA-dpi.pay-merchants-accepting-digital-payments,,,,,,,2026-07-31,0,interbank participation and merchant acceptance on record; no e-procurement on these rows,
dpi.pay--p2p-p2g-and-p2b-functionality,3,TZA-dpi.pay-instant-payment-system-throughput|TZA-dpi.pay-mobile-money-core-platform,,,,,,,2026-07-31,0,instant payment switch and merchant payments in service; government payments and agents not on these rows,
