indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
data.statistics--censuses-and-surveys,Data,National statistics,data.statistics,Censuses and surveys,1
data.statistics--national-strategy-for-development-of-statistics,Data,National statistics,data.statistics,National strategy for development of statistics,1
data.statistics--statistics-from-administrative-data,Data,National statistics,data.statistics,Statistics from administrative data,1
data.open--use-of-open-data,Data,Open data,data.open,Use of open data,1
data.satellite--agricultural-use-of-satellite-data,Data,Use of satellite data,data.satellite,Agricultural use of satellite data,1
geopol.usa--usa-hyperscaler-mous-engagements-and-commitments,Geopolitics,US / hyperscaler activities,geopol.usa,"USA / hyperscaler MoUs, engagements and commitments",0
geopol.china--chinese-mous-engagements-and-commitments,Geopolitics,China activities,geopol.china,"Chinese MoUs, engagements and commitments",1
geopol.eu--eu-mous-engagements-and-commitments,Geopolitics,EU activities,geopol.eu,"EU MoUs, engagements and commitments",0
geopol.gulf--gulf-mous-engagements-and-commitments,Geopolitics,Gulf/UAE activities,geopol.gulf,"Gulf MoUs, engagements and commitments",1
geopol.india--india-mous-engagements-and-commitments,Geopolitics,India activities,geopol.india,"India MoUs, engagements and commitments",1
