indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,2,LBY-gov.policy-government-digital-transformation-strategy,,,,,,,2026-07-31,0,"approved by the Prime Minister 2025; no text or stated horizon held, so adopted-and-published not on record",
gov.policy--ict-strategy,3,LBY-gov.policy-telecomstrategy,,,,,,,2026-07-31,0,2023-2027 strategy in force; no implementation plan or reporting against it on record,
gov.policy--broadband-strategy,3,LBY-gov.policy-digital-agenda,,,,,,,2026-07-31,0,broadband rollout to 2027 set in the national digital agenda; no funding source on record,
gov.policy--data-storage-cloud-strategy,2,LBY-gov.policy-cloudpolicy,,,,,,,2026-07-31,0,cloud policy under consultation with ESCWA; final text unpublished,
gov.policy--data-interoperability-framework-roadmap,2,LBY-gov.standards-lygif,,,,,,,2026-07-31,0,regional commission roadmap proposed December 2025; no framework adopted,
gov.policy--ai-strategy,3,LBY-tech.ai-strategy,,,,,,,2026-07-31,0,strategy adopted and published; no AI council or funded implementation on record,
gov.policy--data-localisation-policies,2,LBY-gov.policy-banking-data-localisation,,,,,,,2026-07-31,0,banking circular bars all transfer and requires in-country hosting; no data classification instrument on record,
gov.policy--data-governance-policy,3,LBY-gov.policy-datagov,,,,,,,2026-07-31,0,GIA's own account of policies applied as reference framework; adoption instrument not stated,
gov.policy--open-data-policy,2,LBY-data.open-opendata,,,,,,,2026-07-31,0,portal publishing datasets under a draft open-data policy; no adopted policy or licence,
gov.legislate--data-protection-legislation,1,LBY-gov.protect-dpa,,,,,,,2026-07-31,0,"none in force per the AI strategy, which targets a law for 2026; no bill on record",
gov.legislate--cybersecurity-legislation,2,LBY-gov.legislate-cyberlaw,,,,,,,2026-07-31,0,law in drafting with a parliamentary committee; nothing enacted,
gov.legislate--legislation-covering-digital-id,3,LBY-gov.legislate-national-number-law,,,,,,,2026-07-31,0,Law 8 of 2014 creates the national number; regulations and data-protection linkage not on record,
gov.legislate--digital-payments-legislation,,,,,,,,,2026-07-31,0,only a decree mandating e-payment for state revenue; no payment-systems law or e-money regulation on these rows,
gov.legislate--legislation-enabling-data-interoperability,3,LBY-gov.legislate-decision-130-2018,,,,,,,2026-07-31,0,Decision 130 of 2018 mandates GIA to interconnect state bodies; no implementing acts or standards,
gov.legislate--ai-legislation-regulations,3,LBY-tech.ai-ethicscharter,,,,,,,2026-07-31,0,AI Ethics Charter formally adopted by the Prime Minister; no enabling AI framework or regulator,
gov.legislate--e-commerce-legislation,3,LBY-gov.legislate-e-transactions-2022,,,,,,,2026-07-31,0,Law 6 of 2022 in force; no trust-service regulations or accredited providers on record,
gov.legislate--statistics-legislation,3,LBY-gov.legislate-statistics-law-1963,,,,,,,2026-07-31,0,Law 16 of 1963 still governs; Charter principles not written into it,
gov.legislate--access-to-information-legislation,2,LBY-gov.legislate-information-bill,,,,,,,2026-07-31,0,cabinet draft with request-and-appeal procedure; unenacted,
gov.protect--data-protection-authority,1,LBY-gov.protect-dpa,,,,,,,2026-07-31,0,"no data protection law in force per the AI strategy, so no authority provided for in law",
gov.regional--regional-policy-collaboration,2,LBY-gov.regional-itucouncil,,,,,,,2026-07-31,0,ATU participation and ITU Council candidacy; no contribution to a regional policy process on record,
