title,publisher,author,published,date_precision,places,topics,entities,ingested,url
Sierra Leone enhances child data protection in connected government systems,TechReviewAfrica,,2026-09-10,day,SLE,gov.protect; dpi.govtech; infra.cybersec,mocti-sierra-leone; unicef,2026-09-10,https://techreviewafrica.com/news/7144/sierra-leone-enhances-child-data-protection-in-connected-government-systems
UNDP's AA4DPI Programme Deepens South-South Cooperation on Digital Public Infrastructure,United Nations Development Programme (UNDP),,2026-09-08,day,ETH; MWI; RWA; SLE; ZMB; XAF,gov.policy; dpi.exchange; dpi.id; dpi.pay; infra.capacity,undp; african-union,2026-09-09,https://www.undp.org/africa/press-releases/undps-aa4dpi-programme-deepens-south-south-cooperation-digital-public-infrastructure
NASSIT Set to Launch New Mobile App for Pensioners,Sierra Loaded,,2026-09-07,day,SLE,dpi.pay; include.access; dpi.govtech,nassit-sierra-leone; orange-money; africell; qcell,2026-09-07,https://sierraloaded.sl/news/nassit-launch-mobile-app-pensioners/
Global Development Network kicks off deployment of its five-country DPI Inclusivity Survey,Global Development Network — Inclusive Digital Transformation Hub,,2026-09-07,day,XGL; SLE; GHA,include.access; dpi.id; dpi.pay; include.divides,global-development-network; co-develop; university-of-ghana,2026-09-08,https://www.linkedin.com/feed/update/urn:li:activity:7502720462666321920/
Ministry of Communication strengthens partnership with UN on digital transformation,Sierra Loaded,,2026-09-05,day,SLE,gov.policy; dpi.exchange; infra.cybersec,ministry-of-communication-technology-and-innovation-sierra-leone; undp; unfpa; united-nations,2026-09-07,https://sierraloaded.sl/news/communication-strengthens-partnership/
Audit Service Sierra Leone Advances Digital Transformation with SierraSeat Post-Configuration Training,AFROSAI-E,,2026-09-03,day,SLE,dpi.govtech; capacity.training; finance.new,audit-service-sierra-leone; afrosai-e; world-bank,2026-09-07,https://afrosai-e.org.za/articles/audit-service-sierra-leone-advances-digital-transformation-with-sierraseat-post-configuration-training/
"CDPI on its session at the Africa Accelerator for Digital Public Infrastructure, 2–3 September 2026",Centre for Digital Public Infrastructure (CDPI),,2026-09-03,day,ETH; MWI; RWA; SLE; ZMB,dpi.govtech; dpi.exchange; infra.capacity; gov.regional,cdpi; undp; centre-for-open-societal-systems,2026-09-08,https://www.linkedin.com/posts/africa-accelerator-for-digital-public-infrastructure-share-7501243526484123648-U4ba
African Delegations Explore India's Digital Public Infrastructure During UNDP Learning Mission,Youth Village Zambia,,2026-09-02,day,ZMB; ETH; MWI; RWA; SLE,dpi.exchange; gov.regional; capacity.training; geopol.india,undp; uidai; npci,2026-09-04,https://youthvillagezm.com/2026/09/african-delegations-explore-indias-digital-public-infrastructure-during-undp-learning-mission/
"NRA Begins Nationwide Distribution of Smart GST Machines to 10,000 Businesses",The Calabash Newspaper,,2026-09-02,day,SLE,gov.policy; dpi.pay,national-revenue-authority-sierra-leone,2026-09-04,https://thecalabashnewspaper.com/archives/63975
"Karnataka Hosts African Union, Five African Nations For Digital Public Infrastructure Exposure Visit",The Bengaluru Live,,2026-09-01,day,ETH; MWI; RWA; SLE; ZMB,dpi.govtech; geopol.india; capacity.training,african-union; undp; government-of-karnataka; centre-for-e-governance-karnataka,2026-09-04,https://thebengalurulive.com/karnataka-hosts-african-union-five-african-nations-for-digital-public-infrastructure-exposure-visit/
