row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
CIV-infra.energy-electricity-load-of-data-centres-and-telecom,CIV,infra.energy,Infrastructure,Electricity load of data centres and telecom sites,"an operator disclosure or a utility connection agreement would settle it; probed 2026-08-05, the Grand-Bassam operator's environmental study discloses installed IT power at design, not measured load; no utility connection agreement published",2026-08-05,acquisition
CIV-infra.cybersec-national-cybercrime-report,CIV,infra.cybersec,Infrastructure,National cybercrime report,"an agency report for 2025 would settle it; probed 2026-08-05, the 2024 edition is published; no 2025 edition exists on the regulator's own reports page",2026-08-05,acquisition
CIV-dpi.exchange-count-of-services-live-on-the-interoperabili,CIV,dpi.exchange,Digital public infrastructure,Count of services live on the interoperability platform,"a ministry progress report against the 100-service target would settle it; probed 2026-08-05, the ministry's clarification note gives contract, phase and target but states no live-service count",2026-08-05,acquisition
CIV-gov.protect-regulator-annual-activity-report,CIV,gov.protect,Governance and regulation,Regulator annual activity report,"publication of the 2024 report would settle it, and is the only route to whether the data-protection function has a separable budget; probed 2026-08-05, the regulator's reports index refused an automated fetch, so publication cannot be ruled out from the site itself; acquisition attempted 2026-08-05 and failed, absence now stated dated on the place hub",2026-08-05,absence
CIV-gov.standards-migration-data-governance-strategy,CIV,gov.standards,Governance and regulation,Migration data governance strategy,"a reference number or adoption decree would settle it; probed 2026-08-05, referenced only in passing in reporting; no reference number, adoption decree or text located",2026-08-05,absence
CIV-gov.protect-regulator-position-on-mobile-money-agent-ide,CIV,gov.protect,Governance and regulation,Regulator position on mobile-money agent identity copies,"a regulator communique or decision would settle it; probed 2026-08-05, the question was put to the regulator in July 2026; no communique or decision in reply is published",2026-08-05,absence
CIV-gov.legislate-any-ivorian-artificial-intelligence-statute,CIV,gov.legislate,Governance and regulation,Any Ivorian artificial-intelligence statute,"a published bill, act or implementing decree would settle it; probed 2026-08-05, the national AI strategy itself records the absence of a dedicated legal framework and lists adoption of an AI law as a future action",2026-08-05,absence
CIV-tech.ai-ai-strategy-financing,CIV,tech.ai,Artificial intelligence and the technology sector,AI strategy financing,"an AI budget line, or a disbursement record for the acceleration programme, would settle it; probed 2026-08-05, a government platform reports the PADCI phase 1 ratification decree; the decree text, an AI budget line and any disbursement record are unpublished",2026-08-05,acquisition
CIV-finance.budget-published-accounts-of-the-universal-service,CIV,finance.budget,Finance,Published accounts of the universal service fund,"the agency publishes no annual report; the settlement law for 2025, due December 2026, would settle the outturn; probed 2026-08-05, ANSUT publishes no annual report or accounts; the state-portfolio directorate's company record and annual portfolio report are the nearest published financials",2026-08-05,acquisition
CIV-capacity.training-national-digital-skills-headcount,CIV,capacity.training,Inclusion and capacity,National digital-skills headcount,"each programme publishes its own cumulative claim and nothing reconciles them; probed 2026-08-05, the only cumulative national figure is a ministerial statement in media, with no document reconciling it against the separate programme counts",2026-08-05,absence
