title,publisher,author,published,date_precision,places,topics,entities,ingested,url
L'air du temps : Le reseau mobile : mauvaise qualite et desarroi des usagers,Le Sahel (ONEP),,2026-09-04,day,NER,infra.connect; include.divides,arcep-niger,2026-09-04,https://www.lesahel.org/lair-du-temps-le-reseau-mobile-mauvaise-qualite-et-desarroi-des-usagers/
"Rencontre entre le ministre charge de la Communication, le president de l''ONC et les promoteurs de medias : l''ONC devoile les conclusions d''un monitoring",Le Sahel (ONEP),,2026-09-03,day,NER,gov.discourse,observatoire-national-de-la-communication-niger,2026-09-04,https://www.lesahel.org/rencontre-entre-le-ministre-charge-de-la-communication-le-president-de-lonc-et-les-promoteurs-de-medias-lonc-devoile-les-conclusions-dun-monitoring-realise-a-la-suit/
Diffa : Le Niger Digital Day renforce les competences numeriques des jeunes,Agence Nigerienne de Presse (ANP),,2026-09-03,day,NER,include.access; gov.discourse,niger-digital-day; universite-de-diffa,2026-09-04,https://anp.ne/diffa-le-niger-digital-day-renforce-les-competences-numeriques-des-jeunes/
Diffa : lancement de la tournee nationale de sensibilisation sur la modernisation de l''etat civil et l''identification,Agence Nigerienne de Presse (ANP),,2026-09-03,day,NER,dpi.id; gov.legislate,anei-niger; world-bank; wuri-programme,2026-09-04,https://anp.ne/diffa-lancement-de-la-tournee-nationale-de-sensibilisation-sur-la-modernisation-de-letat-civil-et-lidentification/
Medias : Ameliorer l''ecosysteme de l''information et de la communication en temps de crise au centre d''une rencontre a Niamey,Agence Nigerienne de Presse (ANP),,2026-09-02,day,NER,gov.discourse; gov.policy,observatoire-national-de-la-communication-niger; ministere-communication-nouvelles-technologies-niger,2026-09-04,https://anp.ne/medias-ameliorer-lecosysteme-de-linformation-et-de-la-communication-en-temps-de-crise-au-centre-dune-rencontre-a-niamey/
Avec 500F bénéficiez de 3.5Go de 23H à 06H pour naviguer en toute sérénité,Moov Africa Niger,,2026-09-01,day,NER,infra.connect,moov-africa-niger,2026-09-06,https://fr.linkedin.com/posts/moovafricaniger_moovafricaniger-unmondenouveauvousappelle-activity-7500583380221136897-nfFf
ESCEP-Niger : L’école du numérique célèbre ses diplômés,Agence Nigérienne de Presse,,2026-08-31,day,NER,capacity.training; gov.discourse,ministere-communication-nouvelles-technologies-niger; escep-niger; adji-ali-salatou,2026-09-01,https://anp.ne/escep-niger-lecole-du-numerique-celebre-ses-diplomes/
Agadez : ouverture de la 4ème étape de la tournée nationale de sensibilisation sur les réformes en matière d'état civil et d'identification des personnes,"Ministère de l'Intérieur, de la Sécurité Publique et de l'Administration du Territoire (Niger)",,2026-08-29,day,NER,dpi.exchange; dpi.id,anei-niger; wuri-programme; ministere-de-linterieur-niger,2026-09-06,https://interieur.gouv.ne/agadez-ouverture-de-la-4eme-etape-de-la-tournee-nationale-de-sensibilisation-sur-les-reformes-en-matiere-detat-civil-et-didentification-des-personnes/
Airtel Africa Foundation Expands Financial Inclusion Support for Women,TechAfrica News,,2026-08-28,day,NER; NGA,dpi.pay; include.access; capacity.literacy,airtel-africa-foundation; airtel-africa,2026-08-28,https://techafricanews.com/2026/08/28/airtel-africa-foundation-expands-financial-inclusion-support-for-women/
Transformation digitale au Niger : Des startups émergentes à l'avant-garde de l'inclusion numérique,Le Sahel,,2026-08-28,day,NER,tech.innovate; include.divides; dpi.pay,qwiper; silsila-tech; ansi-niger,2026-08-29,https://www.lesahel.org/transformation-digitale-au-niger-des-startups-emergentes-a-lavant-garde-de-linclusion-numerique/
