row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
ZWE-infra.connect-5g-base-stations,ZWE,infra.connect,Infrastructure,measure,5G base stations,,2026-07-15,Q1 2026 sector data given at a post-Cabinet briefing,,Advanced,"319 (Q3 2025, derived from the regulator's stated increase in Q4)",379 (Q1 2026); 18.9% population coverage and 0.0% rural coverage (Q4 2025),2026-04-29-potraz-abridged-sector-performance-report-q4-2025|2026-07-15-internet-traffic-surges-57pc-q1-2026|2026-04-30-econet-5g-exceeds-netone-telecel-combined,,Rural coverage is the regulator's own figure
ZWE-infra.connect-broadband-mapping-programme,ZWE,infra.connect,Infrastructure,instrument,Broadband mapping programme,In development,2026-05-16,The minister told the National Assembly government is working with operators to identify poor-coverage areas,,Baseline not held,,"Under way with the three main operators; no map, coverage output or date published",2026-05-16-govt-defends-starlink-rollout,,
ZWE-infra.connect-cross-border-fibre-corridor-zambia,ZWE,infra.connect,Infrastructure,instrument,Cross-border fibre corridor to Zambia,"Implemented, phase 1 only",2026-07-06,Plumtree to Bulawayo carrying traffic,,Advanced,Public-private partnership signed June 2025; no route live,Phase 1 live at 800 Gbps equipped on equipment rated above 10 Tbps; phase 2 to Livingstone due September 2026; no investment amount disclosed by either party,"2026-07-03-powertel-paratus-digital-highway|2026-07-06 Powertel, Paratus Zimbabwe switch on new digital highway",,"An indefeasible right-of-use model, with the state operator retaining operational control"
ZWE-infra.connect-econet-infraco,ZWE,infra.connect,Infrastructure,instrument,Econet InfraCo,Implemented,2026-07-21,Listed by introduction on the foreign-currency exchange 2026-03-31,,Advanced,A wholly owned subsidiary holding the group's passive infrastructure; no carve-out on record at 2025-08,"Separately listed, 70.000% held by the parent, 2,992,163,203 shares issued; 90 base stations deployed in the quarter to May 2026",2025-12-24-econet-notice-completion-infrastructure-restructuring|2026-02-04-econet-wireless-zimbabwe-circular-and-econet-infraco-pre-listing-statement|2026-03-26-econet-infraco-supplementary-pre-listing-statement|2026-07-21-infraco-expands-ai-powered-towers,,The scheme of reconstruction completed 2025-12-24
ZWE-infra.connect-government-arrears-owed-state-fixed,ZWE,infra.connect,Infrastructure,measure,Government arrears owed to the state fixed operator,,2026-06-29,Stated by the chief executive at the annual general meeting,,Regressed,US$19.2m (prior financial year),"Close to US$42m, also given as ZiG1.2bn",2026-06-29-govt-debt-to-telone-doubles,,Operator-reported; the two currency figures are the company's own
ZWE-infra.connect-government-satellite-kit-donation-programme,ZWE,infra.connect,Infrastructure,instrument,Government satellite kit donation programme,"Implemented, activation unfunded",2026-07-17,The health minister told the National Assembly the kits are not activated,2025-07-24,"Advanced, activation stalled",250 kits handed to local authorities (2025-07-24),"More than 400 health facilities hold kits, unactivated for want of subscription payment, with 300 more planned; 8,000 kits separately reported donated to the education ministry",2025-07-24-govt-donates-250-starlink-kits-local-authorities|2026-07-17-starlink-kits-gather-dust-rural-hospitals|2026-05-06-zimbabwe-starlink-vsat-record-potraz,,No cumulative kit total is published by government
ZWE-infra.connect-internet-penetration-rate,ZWE,infra.connect,Infrastructure,measure,Internet penetration rate,,2026-07-17,Regulator's Q4 2025 sector report,,Advanced,82.87% (Q3 2025),"84.55% on 13,252,877 subscriptions (Q4 2025); the ICT minister stated 87% in July 2026",2026-04-29-potraz-abridged-sector-performance-report-q4-2025|2026-07-17-zimbabwe-digital-roadmap-msme-growth,,"Active subscriptions divided by population, not users; a private tracker measures 38.4% of individuals (October 2025)"
ZWE-infra.connect-fibre-backbone-length,ZWE,infra.connect,Infrastructure,measure,National fibre backbone length,,2026-07-15,Q1 2026 sector data given at a post-Cabinet briefing,,Baseline not held,,"More than 19,000 km (Q1 2026), up 33.83% on Q4 2025, against the regulator's 14,357 km at Q4 2025",2026-04-29-potraz-abridged-sector-performance-report-q4-2025|2026-07-15-internet-traffic-surges-57pc-q1-2026,,"Ministerial figures of more than 14,000 km in March and more than 17,000 km in July do not reconcile with each other or with the regulator's series"
ZWE-infra.connect-parent-company-s-stock-exchange,ZWE,infra.connect,Infrastructure,instrument,Parent company's stock exchange listing,"Discontinued, voluntary delisting",2026-03-26,Board resolved voluntary delisting 2025-12-15,,Closed,Listed on the domestic stock exchange,Left the exchange after 27 years; the group's listed vehicle is the infrastructure company on the foreign-currency exchange,2025-12-15-econet-wireless-zimbabwe-further-cautionary-announcement|2026-03-26-econet-infraco-supplementary-pre-listing-statement,,The board cited a valuation discount against African peers
ZWE-infra.connect-regulator-s-q1-2026-sector,ZWE,infra.connect,Infrastructure,instrument,Regulator's Q1 2026 sector performance report,Not held,,,,,,,,,
