indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
gov.policy--data-storage-cloud-strategy,Governance,"Strategies, plans and policies",gov.policy,Data storage / cloud strategy,5
gov.policy--data-interoperability-framework-roadmap,Governance,"Strategies, plans and policies",gov.policy,Data interoperability framework / roadmap,5
gov.policy--ai-strategy,Governance,"Strategies, plans and policies",gov.policy,AI strategy,5
gov.policy--data-localisation-policies,Governance,"Strategies, plans and policies",gov.policy,Data localisation policies,5
gov.policy--data-governance-policy,Governance,"Strategies, plans and policies",gov.policy,Data governance policy,5
gov.policy--open-data-policy,Governance,"Strategies, plans and policies",gov.policy,Open data policy,5
gov.legislate--cybersecurity-legislation,Governance,Legislation and regulation,gov.legislate,Cybersecurity legislation,10
gov.legislate--legislation-enabling-data-interoperability,Governance,Legislation and regulation,gov.legislate,Legislation enabling data interoperability,10
gov.legislate--ai-legislation-regulations,Governance,Legislation and regulation,gov.legislate,AI legislation / regulations,10
gov.legislate--statistics-legislation,Governance,Legislation and regulation,gov.legislate,Statistics legislation,10
gov.legislate--access-to-information-legislation,Governance,Legislation and regulation,gov.legislate,Access to information legislation,10
gov.protect--national-data-protection-readiness,Governance,Data protection,gov.protect,National data protection readiness,4
gov.standards--national-interoperability-standards,Governance,Standards,gov.standards,National interoperability standards,3
gov.standards--adoption-of-international-standards,Governance,Standards,gov.standards,Adoption of international standards,3
gov.discourse--non-governmental-contribution-to-national-policy,Governance,Public debate and participation in policymaking,gov.discourse,Non-governmental contribution to national policy,1
gov.discourse--open-discussion-of-government-policy,Governance,Public debate and participation in policymaking,gov.discourse,Open discussion of government policy,1
infra.connect--internet-usage,ICT Infrastructure,Connectivity,infra.connect,Internet usage,11
infra.connect--mobile-affordability,ICT Infrastructure,Connectivity,infra.connect,Mobile affordability,11
infra.connect--national-fibre-backbone,ICT Infrastructure,Connectivity,infra.connect,National fibre backbone,11
infra.connect--internet-exchange-points,ICT Infrastructure,Connectivity,infra.connect,Internet Exchange Points,11
infra.store--off-site-backup-capacity,ICT Infrastructure,Data Storage,infra.store,Off-site backup capacity,3
infra.energy--sufficient-energy-and-water-for-data-centres,ICT Infrastructure,Energy,infra.energy,Sufficient energy and water for data centres,1
infra.energy--grid-reliability,ICT Infrastructure,Energy,infra.energy,Grid reliability,1
infra.energy--rural-electrification,ICT Infrastructure,Energy,infra.energy,Rural electrification,1
infra.capacity--robustness-of-government-hardware-and-software,ICT Infrastructure,Technical Capacity,infra.capacity,Robustness of government hardware and software,0
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,ICT Infrastructure,Technical Capacity,infra.capacity,"Local capacity to maintain, manage and develop government systems",0
dpi.exchange--use-of-digital-id-in-other-systems,DPI,Data Exchange,dpi.exchange,Use of digital id in other systems,4
dpi.exchange--interoperability-of-health-systems,DPI,Data Exchange,dpi.exchange,Interoperability of health systems,4
dpi.exchange--interoperability-of-education-systems,DPI,Data Exchange,dpi.exchange,Interoperability of education systems,4
dpi.exchange--interoperability-of-social-protection-systems,DPI,Data Exchange,dpi.exchange,Interoperability of social protection systems,4
dpi.id--robustness-of-system,DPI,Digital Identity and CRVS,dpi.id,Robustness of system,4
dpi.id--national-maintenance-of-id-and-credentials-systems,DPI,Digital Identity and CRVS,dpi.id,National maintenance of id and credentials systems,4
dpi.id--authentication,DPI,Digital Identity and CRVS,dpi.id,Authentication,4
dpi.id--digital-id-from-birth,DPI,Digital Identity and CRVS,dpi.id,Digital id from birth,4
dpi.id--interoperability-of-birth-registration-and-digital-id,DPI,Digital Identity and CRVS,dpi.id,Interoperability of birth registration and digital id,4
dpi.id--use-by-other-systems,DPI,Digital Identity and CRVS,dpi.id,Use by other systems,4
dpi.pay--governance-role-of-central-bank,DPI,Digital Payments and Fintech,dpi.pay,Governance role of central bank,10
dpi.pay--revenue-collection,DPI,Digital Payments and Fintech,dpi.pay,Revenue collection,10
dpi.pay--b2b-and-b2g-functionality,DPI,Digital Payments and Fintech,dpi.pay,B2B and B2G functionality,10
dpi.registry--population-register,DPI,Registries,dpi.registry,Population register,7
dpi.registry--business-register,DPI,Registries,dpi.registry,Business register,7
dpi.registry--social-protection-register,DPI,Registries,dpi.registry,Social protection register,7
dpi.registry--tax-register,DPI,Registries,dpi.registry,Tax register,7
dpi.registry--land-register,DPI,Registries,dpi.registry,Land register,7
dpi.mis--health,DPI,Sectoral management information systems,dpi.mis,Health,6
dpi.mis--social-protection,DPI,Sectoral management information systems,dpi.mis,Social protection,6
dpi.mis--tax,DPI,Sectoral management information systems,dpi.mis,Tax,6
digital.localgov--ict-infrastructure-for-local-government,Digitalisation,Digitalisation of sub-national government,digital.localgov,ICT infrastructure for local government,2
digital.rural--digitalisation-of-rural-health-clinics,Digitalisation,Rural digital data capture,digital.rural,Digitalisation of rural health clinics,3
digital.rural--digitalisation-of-rural-primary-schools,Digitalisation,Rural digital data capture,digital.rural,Digitalisation of rural primary schools,3
digital.rural--digitalisation-of-rural-registry-offices,Digitalisation,Rural digital data capture,digital.rural,Digitalisation of rural registry offices,3
digital.rural--digitalisation-of-rural-police-stations,Digitalisation,Rural digital data capture,digital.rural,Digitalisation of rural police stations,3
tech.ai--use-of-ai-in-government-administration,Technology,AI,tech.ai,Use of AI in government administration,4
tech.ai--use-of-ai-in-sectoral-management-information-systems,Technology,AI,tech.ai,Use of AI in sectoral management information systems,4
tech.ai--control-of-ai-abuse,Technology,AI,tech.ai,Control of AI abuse,4
tech.innovate--technology-hubs,Technology,Innovation ecosystem,tech.innovate,Technology hubs,2
capacity.literacy--digital-literacy-civil-service,Capacity,Literacy,capacity.literacy,Digital literacy (civil service),3
capacity.training--dt-related-training-in-secondary-education,Capacity,Training and skills,capacity.training,DT-related training in secondary education,2
capacity.training--dt-related-university-facilities-and-qualifications,Capacity,Training and skills,capacity.training,DT-related university facilities and qualifications,2
include.access--citizen-feedback-portals,Inclusion,Access to services,include.access,Citizen feedback portals,4
include.access--citizen-participation-in-policy,Inclusion,Access to services,include.access,Citizen participation in policy,4
include.access--inclusion-of-persons-with-disabilities,Inclusion,Access to services,include.access,Inclusion of persons with disabilities,4
include.access--inclusion-of-refugees-and-idps,Inclusion,Access to services,include.access,Inclusion of refugees and IDPs,4
data.statistics--national-strategy-for-development-of-statistics,Data,National statistics,data.statistics,National strategy for development of statistics,1
data.statistics--censuses-and-surveys,Data,National statistics,data.statistics,Censuses and surveys,1
data.statistics--statistics-from-administrative-data,Data,National statistics,data.statistics,Statistics from administrative data,1
data.open--use-of-open-data,Data,Open data,data.open,Use of open data,1
data.satellite--agricultural-use-of-satellite-data,Data,Use of satellite data,data.satellite,Agricultural use of satellite data,1
geopol.usa--usa-hyperscaler-mous-engagements-and-commitments,Geopolitics,US / hyperscaler activities,geopol.usa,"USA / hyperscaler MoUs, engagements and commitments",0
geopol.china--chinese-mous-engagements-and-commitments,Geopolitics,China activities,geopol.china,"Chinese MoUs, engagements and commitments",1
geopol.eu--eu-mous-engagements-and-commitments,Geopolitics,EU activities,geopol.eu,"EU MoUs, engagements and commitments",0
geopol.gulf--gulf-mous-engagements-and-commitments,Geopolitics,Gulf/UAE activities,geopol.gulf,"Gulf MoUs, engagements and commitments",1
geopol.india--india-mous-engagements-and-commitments,Geopolitics,India activities,geopol.india,"India MoUs, engagements and commitments",1
