indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
dpi.exchange--use-of-digital-id-in-other-systems,dpi.exchange,2,14,4,1,1,2,0,,staged,6
dpi.exchange--interoperability-of-education-systems,dpi.exchange,2,13,2,1,1,9,2,already-seen,staged,6
dpi.id--registration-of-entire-population,dpi.id,2,12,3,1,2,7,2,already-seen,staged,6
dpi.id--national-maintenance-of-id-and-credentials-systems,dpi.id,2,13,2,1,1,10,1,already-seen,staged,6
dpi.id--authentication,dpi.id,2,10,2,1,1,9,1,headline-only-stub,staged,6
dpi.id--use-by-other-systems,dpi.id,2,11,3,1,2,7,1,already-seen,staged,6
dpi.pay--governance-role-of-central-bank,dpi.pay,2,15,3,0,2,7,4,already-seen|headline-only-stub,staged,3
dpi.pay--g2p-functionality,dpi.pay,2,11,3,1,2,6,2,already-seen,staged,3
dpi.pay--b2b-and-b2g-functionality,dpi.pay,2,16,4,1,1,11,2,already-seen,staged,3
dpi.pay--p2p-p2g-and-p2b-functionality,dpi.pay,2,14,3,1,2,9,1,already-seen,staged,3
dpi.pay--cross-border-functionality,dpi.pay,2,17,4,1,2,10,2,already-seen,staged,3
dpi.pay--consumer-protection,dpi.pay,2,16,5,1,2,12,1,fetch-blocked,staged,3
