indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,gov.policy,2,8,4,1,2,1,0,,staged,7
gov.policy--broadband-strategy,gov.policy,2,8,3,1,2,1,0,,staged,7
gov.policy--data-storage-cloud-strategy,gov.policy,2,8,2,1,2,1,0,,staged,7
gov.policy--data-interoperability-framework-roadmap,gov.policy,2,10,4,1,2,1,1,fetch-blocked,staged,7
gov.policy--data-localisation-policies,gov.policy,2,7,1,1,2,1,0,,staged,7
gov.policy--open-data-policy,gov.policy,2,8,3,1,2,0,0,,staged,7
gov.legislate--digital-payments-legislation,gov.legislate,2,10,2,0,1,0,3,already-seen|headline-only-stub,staged,5
gov.legislate--legislation-enabling-data-interoperability,gov.legislate,2,9,3,1,2,0,0,,staged,5
gov.legislate--access-to-information-legislation,gov.legislate,2,8,4,1,1,2,0,,staged,5
gov.legislate--statistics-legislation,gov.legislate,2,9,4,1,0,3,0,,staged,5
