indicator_id,url,title,publisher,published,brief,why_not
digital.localgov--ict-infrastructure-for-local-government,https://ami.mr/fr/archives/300915,Le ministre délégué auprès du ministre de l'Intérieur s'entretient avec une délégation allemande au sujet de la numérisation de la gestion administrative,Agence Mauritanienne d'Information,2026-08-13,2,already-seen: DUP-EXACT against raw/2026/2026-08-13-mauritania-diwan-khidmaty-digitalization-german-cooperation.md. The strongest on-indicator movement in the window and already held.
digital.localgov--ict-infrastructure-for-local-government,https://mtnima.gov.mr/wp-content/uploads/2026/03/PPM_WARDIP_13.03.2026.pdf,WARDIP-Mauritanie — Plan de passation des marchés 2026 (actualisation n°1),Ministère de la Transformation Numérique et de la Modernisation de l'Administration,2026-03-13,1,Fetched. Primary and in window but a procurement plan: launch and award dates for backbone works still to run. A completed step beats programming.
digital.localgov--ict-infrastructure-for-local-government,https://www.ami.mr/archives/258807,اكتمال المرحلة الأولى من مشروع الربط الثاني لموريتانيا بكابل بحري دولي للإنترنت,Agence Mauritanienne d'Information,2026-05-04,2,out-of-scope: international submarine connectivity is national backbone rather than local-government ICT.
digital.localgov--ict-infrastructure-for-local-government,https://documents.worldbank.org/curated/en/099062725084035551/pdf/P502279-04508ee8-cc50-4689-a658-d9aa34c3dd1a.pdf,Mauritania Digital Economy Country Assessment,World Bank,2025-06-27,1,Authoritative but national in scope; publishes no connection or equipment rate for communes or regional councils.
digital.localgov--ict-infrastructure-for-local-government,https://documents1.worldbank.org/curated/en/505861585879349315/pdf/Mauritania-Decentralization-and-Productive-Cities-Support-Project.pdf,Mauritania Decentralization and Productive Intermediate Cities Support Project (P169332),World Bank,2020-04-01,1,Local-government specific but a 2020 project document for an operation closing May 2025 and about financial systems rather than ICT infrastructure.
digital.localgov--ict-infrastructure-for-local-government,https://mtnima.gov.mr/wp-content/uploads/2025/04/Cahier-des-charges-Mise-en-place-du-CSIRT-national-et-du-SOC-RIAD.pdf,Cahier des charges pour la mise en place du CSIRT national et du SOC RIAD,MTNIMA / WARDIP-Mauritanie,2025-04-01,1,Specification for securing RIAD rather than evidence of local-authority connection; superseded for this indicator by the RIAD programme page.
digital.localgov--ict-infrastructure-for-local-government,https://marchespublics.gov.mr/marchespublics/ppm/698e1a5781f80b990bb2c2e7,Portail National des Marchés Publics — PPM_WARDIP_2026,Portail National des Marchés Publics,2026-05-02,2,already-seen: same procurement plan as the ministry PDF above, in portal form.
digital.localgov--ict-infrastructure-for-local-government,http://www.dgct.mr/wp-content/uploads/2017/04/FR-Rapport-mdp-JAN-2017.pdf,Mesure de performance des communes mauritaniennes — évaluation de la capacité institutionnelle,DGCT / Ministère de l'Intérieur et de la Décentralisation,2017-01-01,1,Superseded by the 2022 MDP report and about institutional capacity rather than ICT infrastructure.
digital.localgov--digitalisation-of-local-government-records,https://ami.mr/fr/archives/301493,Le Conseil des ministres félicite le Président de la République pour la victoire du candidat mauritanien au poste de Secrétaire général de l'OCI,Agence Mauritanienne d'Information,2026-08-27,2,already-seen: the same Council of Ministers session adopting the ReCAD cadastral reference is already held in this queue under another AMI article. Also a projet de décret rather than an operative instrument.
digital.localgov--digitalisation-of-local-government-records,http://www.dgct.mr/wp-content/uploads/2017/04/Rapport-MDP-2018-Verssion-15072019FR-1.pdf,Rapport sur les capacités institutionnelles des communes mauritaniennes 2018,DGCT with GIZ support,2019-07-15,1,Superseded by the 2021 survey published in 2022; useful only as the earlier comparison point.
