indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.regional--cross-border-data-transfers,gov.regional,2,8,3,1,2,0,1,DUP-EXACT,staged,3
gov.regional--regional-legal-harmonisation,gov.regional,2,8,3,1,2,0,0,,staged,3
gov.standards--adoption-of-international-standards,gov.standards,2,6,2,1,1,0,0,,staged,1
gov.standards--national-interoperability-standards,gov.standards,2,6,1,1,2,0,1,DUP-EXACT,staged,1
finance.budget--sustainable-domestic-financing-of-digital-transformation,finance.budget,2,8,5,1,2,2,0,,staged,1
finance.mou--strategic-relationships,finance.mou,2,8,3,1,2,1,0,,staged,0
infra.energy--rural-electrification,infra.energy,2,8,3,1,2,0,1,FETCH-FAIL,staged,1
infra.energy--sufficient-energy-and-water-for-data-centres,infra.energy,2,8,4,1,2,1,1,DUP-EXACT,staged,1
infra.store--local-data-centre-capacity-national-providers,infra.store,2,7,1,1,2,0,1,DUP-EXACT,staged,3
infra.store--off-site-backup-capacity,infra.store,2,8,0,1,1,0,0,,staged,3
