indicator_id,url,title,publisher,published,brief,why_not
dpi.registry--civil-register,https://www.coursupreme.mr/docs/loi0032011.pdf,قانون رقم 2011 – 003 صادر بتاريخ 12 يناير 2011 المتضمن لمدونة الحالة المدنية,Cour supreme de Mauritanie,2011-01-12,1,"Selected and staged as the baseline, then withdrawn: two other slices had already staged the same URL concurrently. The document is held in the queue, twice."
dpi.registry--civil-register,http://anrpts.gov.mr/fr/regulatory-texts,ANRPTS — Textes reglementaires,ANRPTS,,1,Index page listing Decret n 150-2010 and Decret n 110-2011 rather than the texts themselves; the founding law covers the same ground.
dpi.registry--civil-register,https://open.unicef.org/download-pdf?country-name=Mauritania&year=2025,UNICEF Mauritania Annual Report 2025,UNICEF,2026-02-01,2,"Reports that a 2025 decree eased civil registration but gives it no number, title or date; not primary and weaker than the two selected events."
dpi.registry--civil-register,https://cridem.org/imprimable.php?article=771532,ANRPTS enrolment campaign figures at 2 January 2024,"Cridem, reprinting AMI",2024-01-01,1,Out of window and a mirror of an AMI article whose original could not be located; the June 2026 parliamentary figures supersede it.
dpi.registry--address-register,https://mtnima.gov.mr/wp-content/uploads/2025/03/DSI-adressage-20250310.pdf,Dossier de Selection Initiale — systeme d adressage geolocalise,MTNIMA / UGP WARDIP,2025-03-17,1,"Procurement pre-qualification file for the same project as the selected terms of reference; the same event, and the ToR carries the substance."
dpi.registry--address-register,https://cridem.org/imprimable.php?article=652306,Communaute Urbaine de Nouakchott — Adressage de Nouakchott,CUN via Cridem,,1,"Municipal street-naming deliberations 2008-2013, undated page, and a mirror; evidences toponymy, not an address register."
dpi.registry--address-register,https://civictech.africa/nouakchott-develops-a-street-addressing-system-to-improve-the-everyday-life-of-citizens/,Nouakchott develops a street addressing system,Civic Tech Innovation Network,2023-03-20,1,"Useful evidence that Nouakchott had no standardised addressing, but secondary and out of window."
dpi.registry--address-register,https://openknowledge.worldbank.org/bitstreams/290209ee-d02b-524e-bfb4-ac6cf8a31e94/download,Street Addressing and the Management of Cities,World Bank,2005-01-01,1,"Records the 1997 addressing of twelve Mauritanian towns; historical background, twenty years stale for the standing position."
dpi.registry--address-register,https://www.ami.mr/archives/267314,Conseil des ministres — ReCAD and NUP,AMI,2026-08-27,2,"Cadastral rather than addressing, and the same council report is already held in the queue; assigned to dpi.mis--land instead."
dpi.registry--business-register,https://www.ifc.org/en/stories/2026/mauritania-investment-code-2025,Mauritania Investment Code 2025: How Modern Legal Reform Boosts Private Sector Growth,International Finance Corporation,2026-04-02,2,"Funder commentary on the investment code reform, not a change to the business register; the decree itself is the better item."
dpi.registry--business-register,https://umef.mr/wp-content/uploads/2026/04/Decret-n%C2%B0-2021-033-relatif-au-Registre-du-Commerce-et-des-Suretes-mobilieres.pdf,Decret n 2021-033 relatif au Registre du Commerce et des Suretes Mobilieres,Journal Officiel via umef.mr,2021-03-11,1,"The implementing decree of the selected law; excluded by the one-baseline cap, and hosted on a third-party site rather than the Journal Officiel."
dpi.registry--business-register,https://ami.mr/fr/archives/268316,Lancement des services numeriques de l Agence de Promotion des Investissements en Mauritanie,AMI,2025-04-04,2,"Online company registration through Khidmaty with Houwiyeti authentication, and 4,116 enterprises created in 2024 — but 4 April 2025 is before the window opens."
dpi.registry--business-register,https://api.worldbank.org/v2/country/MRT/indicator/IC.BUS.NREG?format=json&per_page=100,"New businesses registered (number), Mauritania",World Bank Entrepreneurship Database,2026-07-13,1,"A flow series for new limited companies, not the stock of the RCSM; would misdescribe the register if staged as its size."
dpi.registry--social-protection-register,https://documents1.worldbank.org/curated/en/099033125121012030/txt/P171125-e7d2d9de-2891-420a-ac6a-0645e0ccb9c8.txt,Implementation Status & Results Report — Social Safety Net System Project II (P171125),World Bank,2025-03-31,1,"Selected as the baseline and staged, then withdrawn: another slice had already staged the same URL for dpi.exchange--interoperability-of-social-protection-systems."
dpi.registry--social-protection-register,https://www.ami.mr/archives/261586,"Registre social coordinator on the Aoun cash transfers and 352,000 households",AMI,2026-06-12,2,"Selected as a progress item and staged, then withdrawn: another slice had staged the same URL concurrently."
dpi.registry--social-protection-register,https://www.ami.mr/archives/237837,Taazour announces a new and fairer phase of the Registre Social,AMI,2025-09-04,2,"A real in-window movement, the registry overhaul from year-long national surveys, but ranked third and cut by the two-item cap."
dpi.registry--social-protection-register,https://www.rs.gov.mr/presentation/,Presentation - Registre Social,Programme du Registre Social / Taazour,,1,"The operator own description of the registry, but the page carries no date and its household figures are undated and historic."
dpi.registry--electoral-register,https://www.ifes.org/sites/default/files/2024-06/Election%20Snapshot%20Mauritania%20Presidential%20Elections%202024.pdf,"Election FAQs: Mauritania Presidential Elections June 29, 2024",IFES,2024-06-01,1,"Rich on the RAVEL and the exceptional revision, but secondary, and its 1,939,341 figure is superseded by the Conseil Constitutionnel proclamation."
dpi.registry--electoral-register,https://conseil-constitutionnel.mr/fr/?p=1551,Ordonnance n 91-027 du 7 octobre 1991 portant loi organique relative a l election du President de la Republique,Conseil Constitutionnel,1991-10-07,1,"Applies the 1987 rules on electors, lists and cards to presidential elections but does not itself establish or size the register."
dpi.registry--electoral-register,https://ceni.mr/nous,CENI — Comite directeur,CENI,,1,Undated institutional page; establishes the October 2022 five-year mandate but carries no register information.
dpi.registry--electoral-register,https://ami.mr/en/archives/17629,CENI announces the final provisional results of the 2024 presidential elections,AMI,,1,"Provisional results superseded by the constitutional proclamation, and its registered-voter figure differs."
dpi.registry--electoral-register,https://www.eces.eu/fr/posts/crmonie-de-lancement-du-projet-eurecs-mauritanie,Ceremonie de lancement du projet EURECS - Mauritanie,ECES,,2,"Implementer page for the same event as the selected AMI item; one event, one row."
dpi.registry--tax-register,https://finances.gov.mr/sites/default/files/2022-11/Loi%20n%C2%B02019-018%20du%2029%20avril%202019%20portant%20Code%20G%C3%A9n%C3%A9ral%20des%20Imp%C3%B4t-CGI-2020-francais.pdf,Loi n 2019-018 du 29 avril 2019 portant Code General des Impots,Ministere des Finances,2019-04-29,1,"The parent statute, but the registration obligation and the NIF assignment sit in the Livre des Procedures Fiscales, which was taken as the baseline."
dpi.registry--tax-register,https://www.procedures.gov.mr/fr/procedure/284,Immatriculation des contribuables,Portail des Procedures et Formalites Administratives,2023-08-11,1,Confirms the DGI holds the register and references an unnumbered ministerial arrete creating the NIF; a procedure sheet rather than the instrument.
dpi.registry--tax-register,https://www.elibrary.imf.org/view/journals/002/2024/369/article-A001-en.xml,Islamic Republic of Mauritania: Selected Issues,IMF,2024-12-20,1,"Its 34,757 DGI debtors in 2022 is a portfolio under management, not the size of the taxpayer register; would mislabel the indicator."
dpi.registry--tax-register,https://www.imf.org/en/publications/cr/issues/2026/02/05/islamic-republic-of-mauritania-fifth-reviews-under-the-arrangements-under-the-extended-573714,IMF landing page for Country Report 26/027,IMF,2026-02-05,2,"Fetched back as navigation chrome only, about 1,100 characters of Loading component placeholders; the source PDF was used instead. Drop code unfetchable."
dpi.registry--tax-register,https://impots.gov.mr/DGI/teleservices.html,Tele-services,Direction Generale des Impots,,1,Undated service page; confirms the STT and teleservices portals exist but adds nothing the strategic plan does not carry.
