row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
GIN-infra.connect-starlink,GIN,infra.connect,Infrastructure,Starlink market authorisation,"An ARPT licensing decision, a published authorisation register, or a ministerial statement on Starlink market entry.",2026-09-04,
GIN-gov.discourse-block,GIN,gov.discourse,Governance and regulation,Official explanation of the social-media restriction,"Any published legal basis, ARPT decision or ministerial statement acknowledging the restriction on Facebook, YouTube and TikTok.",2026-09-04,
GIN-dpi.registry-address-register,GIN,dpi.registry,Digital public infrastructure,Address register,"A national addressing instrument, a published address database or coverage figure, or the outcome of the digital addressing tender opened in November 2025.",2026-12-01,
GIN-tech.ai-administration-ai-absence,GIN,tech.ai,Artificial intelligence and the technology sector,Artificial intelligence in the administration,"Any instrument governing or authorising AI use inside the administration, or a named system in production in a ministry.",2026-12-01,
GIN-finance.sustain-fy2026-lines,GIN,finance.sustain,Finance,"FY2026 enacted budget, digital lines","The 2026 initial finance law (Loi L/2026/010/CNT, March 2026), held in the catalogue, read into the budget extract; FY2026 has no folder.",2026-09-25,acquisition
GIN-finance.sustain-digital-outturn,GIN,finance.sustain,Finance,Outturn against the digital appropriations,"The end-of-year budget execution report or the loi de règlement for 2024 or 2025, giving execution against the digital lines, read into the budget extract.",2026-09-25,acquisition
GIN-finance.sustain-fsn-decree,GIN,finance.sustain,Finance,Digital Compliance Fee and Digital Sovereignty Fund decree,"The text of the decree of 21 May 2026 creating the Digital Compliance Fee (RCN) and the Digital Sovereignty Fund (FSN), with the fund's governance and first-year receipts.",2026-09-25,acquisition
GIN-geopol.sovereignty-hosting-rule,GIN,geopol.sovereignty,Geopolitics,Rule on where state data is hosted,"Adoption of a public-data hosting or sovereign-cloud policy following the ANDE / Roland Berger study presented in May 2026, or the National Data Governance Strategy.",2026-09-25,absence
GIN-geopol.sovereignty-agreement-terms,GIN,geopol.sovereignty,Geopolitics,"Data jurisdiction, portability and exit terms of the Safe City and RNPP agreements","Publication of the Safe City loan and Huawei implementation contract terms and of the ONECI-NG Tech Innovation memorandum.",2026-09-25,absence
GIN-geopol.sovereignty-data-centre-operator,GIN,geopol.sovereignty,Geopolitics,Operator and operating terms of the national data centre,"A decision naming the operator of the Koloma national data centre and its management terms.",2026-09-25,absence
