row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
AGO-infra.cybersec-critical-national-infrastructure-designation,AGO,infra.cybersec,Infrastructure,Critical national infrastructure designation,"enactment of the cybersecurity law, or a standalone decree, would settle it; probed 2026-08-05, the December 2025 presidential decree vests the designation power in a new cybersecurity centre but publishes no designation list, and the National Assembly adopted the cybersecurity bill in its final vote on 2026-08-12, with no promulgation on file at 2026-09-17",2026-08-05,acquisition
AGO-infra.cybersec-cybersecurity-fund,AGO,infra.cybersec,Infrastructure,Cybersecurity fund,"a constitutive decree would settle it; probed 2026-08-05, no constitutive decree exists; the fund appears only as a named destination for 30% of the cybersecurity centre's revenue",2026-08-05,absence
AGO-dpi.govtech-count-of-public-services-available-online,AGO,dpi.govtech,Digital public infrastructure,Count of public services available online,"a published service catalogue or a completion report would settle it; probed 2026-08-05, the government's own eServices catalogue names seven services but is undated and the portal root is in maintenance",2026-08-05,acquisition
AGO-tech.ai-installed-ai-compute-capacity,AGO,tech.ai,Artificial intelligence and the technology sector,Installed AI compute capacity,"the readiness assessment's infrastructure case rests on fibre, one satellite and data centres; probed 2026-08-05, no document states installed capacity; the nearest published measures are regional aggregates in a July 2026 IMF paper",2026-08-05,absence
AGO-include.access-digital-inclusion-grants-component,AGO,include.access,Inclusion and capacity,Digital inclusion grants component,"a procurement or disbursement report would settle it; probed 2026-08-05, the World Bank implementation status report gives component costs and disbursement; the governing programme manual was still to be drafted",2026-08-05,acquisition
AGO-capacity.literacy-national-digital-literacy-programme,AGO,capacity.literacy,Inclusion and capacity,National digital-literacy programme,"a ministry or education programme document would settle it; probed 2026-08-05, no standalone programme document exists; the national digital skills strategy is recorded as still to be developed",2026-08-05,absence
AGO-finance.sustain-digital-financing-source,AGO,finance.sustain,Finance,Source of financing against the digital budget lines,A budget annex or PIP listing printing the source of financing (domestic or external) per project; the 2024 and 2025 laws print it only for the budget as a whole.,2026-09-25,absence
AGO-finance.sustain-digital-outturn,AGO,finance.sustain,Finance,Outturn against the digital appropriations,"Annexes 12, 13 and 16 of the fourth-quarter budget execution report (execution by budget unit and project) for FY2024 or FY2025, or the Conta Geral do Estado, read into the budget extract.",2026-09-25,acquisition
AGO-finance.sustain-fy2026-enacted,AGO,finance.sustain,Finance,"FY2026 enacted budget, digital lines","The enacted OGE 2026 volume (Dotação Orçamental por Órgão), read into the budget extract; FY2026 holds reporting-sourced rows only.",2026-09-25,acquisition
AGO-geopol.sovereignty-hosting-rule,AGO,geopol.sovereignty,Geopolitics,Rule on where state data is hosted,"Adoption of the Política Nacional de Gestão e Hospedagem de Dados Públicos and its regulation, procured under terms of reference of March 2026.",2026-09-25,absence
AGO-geopol.sovereignty-cloud-terms,AGO,geopol.sovereignty,Geopolitics,"Data jurisdiction, portability and exit terms of the government cloud agreements",Publication of the Presight and G42 contract terms or the operating agreement for the Camama government data centre and cloud.,2026-09-25,absence
AGO-geopol.sovereignty-pgibi-control,AGO,geopol.sovereignty,Geopolitics,"Source code, operating skills and exit for the PGIBI identity platform","A contract, audit or ministry statement on source-code ownership and exit terms for the CEIEC-coordinated identity platform.",2026-09-25,absence
