indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,Advanced,"The digital transition agenda [now counts 218 structuring projects across six objectives](2026-03-05-governo-aposta-reorganizacao-administracao-publica-governo-digital-2027), up from 214, coordinated by a modernisation institute under the presidency.","2026-03-05 — the agenda [was restated at 218 structuring projects across six objectives and seven axes, coordinated by a modernisation institute under the presidency](2026-03-05-governo-aposta-reorganizacao-administracao-publica-governo-digital-2027), against 214 when it [was presented abroad in March 2025](2025-03-19-agenda-de-transicao-digital-apresentada-nos-eua).

The project count is the only published progress metric. Nothing states how many of the projects are complete, what any of them cost or which public services they produce, so the agenda's movement over the window is an increase of four in its own inventory.",AGO-dpi.govtech-digital-transition-agenda
gov.policy--ai-strategy,"No change, the absence now documented rather than closed","A readiness assessment [names the absence of an artificial-intelligence strategy as the central gap](2026-06-30-unesco-ram-angola-28000km-fibra-prontidao-ia), with no adoption date, drafting body or timetable on record.","2026-06-30 — preliminary findings of a UNESCO readiness assessment [were presented to the ministry, identifying the absence of a dedicated artificial-intelligence instrument as the central gap and offering the assessment as the base for future policy](2026-06-30-unesco-ram-angola-28000km-fibra-prontidao-ia).

The same assessment [scores 50.9% of its indicators fully ready, 32.7% partially ready and 16% insufficient, with data governance at 47 out of 100 and science-workforce availability at about 12%](2026-06-30-unesco-ram-angola-28000km-fibra-prontidao-ia). The higher figure quoted elsewhere is the first two bands added together and is not a readiness score.

No adoption date, drafting body or timetable for a strategy is on record. What the country has instead is a draft artificial-intelligence law, reported under legislation, which is an instrument without a policy behind it.",AGO-gov.policy-national-artificial-intelligence-strategy|AGO-gov.standards-artificial-intelligence-readiness-score
gov.legislate--data-protection-legislation,"Mixed, a revision consultation closed while an amendment opening electoral data was rejected",The 2011 law [stands unamended](2011-06-17-angola-lei-22-11-proteccao-de-dados-pessoais); [a revision closed consultation](2026-06-17-nova-lei-de-proteccao-de-dados-proximo-ano-legislativo) while [an amendment opening electoral data was rejected](2026-06-25-parlamento-rejeita-proposta-proteccao-de-dados-pessoais).,"The standing instrument [has been in force since 17 June 2011, with consent and notification duties, sensitive-data limits and transfer approvals](2011-06-17-angola-lei-22-11-proteccao-de-dados-pessoais). Three of its provisions matter more than its fines: article 35(6) substitutes a statute or decree for the regulator's authorisation, article 24 does the same for database interconnection, and article 4(2)(a) puts processing under state-secrecy, state-security and judicial-secrecy rules outside the law altogether.

2026-06-17 — public consultation [closed on a revision adding a data-protection officer duty for high-volume processors, stronger oversight and sanction mechanisms, and fines redenominated into local currency](2026-06-17-nova-lei-de-proteccao-de-dados-proximo-ano-legislativo), due at the Council of Ministers and then the National Assembly. No draft text is held.

2026-06-25 — parliament [rejected in plenary an amendment that would have opened the citizen databases and the electoral registers to parties and citizens](2026-06-25-parlamento-rejeita-proposta-proteccao-de-dados-pessoais), after it [had cleared committee in April](2026-04-13-an-aprova-generalidade-alteracao-lei-proteccao-de-dados). The registers stay closed.",AGO-gov.protect-data-protection-law|AGO-gov.protect-data-protection-law-revision|AGO-gov.protect-amendment-opening-electoral-data
gov.legislate--cybersecurity-legislation,Advanced,"The National Assembly [adopted the cybersecurity bill on 12 August 2026 by 104 votes to 56](2026-08-12-angola-cybersecurity-law-approved-angop), with promulgation and entry into force not on file.","2026-08-12 — the National Assembly [adopted the bill in plenary by 104 votes to 56 on a presidential initiative, the governing party for and the main opposition against with no abstentions](2026-08-12-angola-cybersecurity-law-approved-angop), after [committee approval on 4 August](2026-08-04-angola-proposta-lei-ciberseguranca-especialidade) and [passage in generality in January 2026](2026-01-23-proposta-lei-ciberseguranca-aprovada-generalidade).

The text [sets graduated administrative fines as multiples of the national minimum wage, from 7 to 70 for individuals on minor infractions and up to 500 for individuals and 4,000 for legal persons on the most serious](2026-08-17-angola-loi-cybersecurite-parlement). It also [requires telecommunications operators to transmit any communication whose content is criminal or prejudicial to state security](2026-08-13-angola-cybersecurity-law-approved-pti), which the opposition and part of civil society object to as leaving unclear which content qualifies and on what terms subscribers' personal data reaches the authorities, a year before the presidential election.

No promulgation, gazette number or entry into force is on file. The vote followed a cyberattack on the incumbent operator and came days after the online-falsehoods law entered into force.",AGO-gov.legislate-cybersecurity-bill
gov.legislate--legislation-covering-digital-id,Advanced,"The Council of Ministers [approved a civil and criminal identification bill in April 2026](2026-04-29-bi-documento-unico-valido-identificacao), which would set the country's first dedicated identity-data regime.","2026-04-29 — the Council of Ministers [approved a bill making the identity card the only valid document for banking, telecoms, school enrolment, property registration and contracts, and establishing the country's first dedicated regime for processing identity data](2026-04-29-bi-documento-unico-valido-identificacao). Voter cards, driving licences and passports are currently accepted as substitutes.

No parliamentary stage has been recorded since. Two other instruments touch the same ground and neither is this one: [an electoral registration law replacing in-person enrolment with automatic enrolment from the civil identity database](2026-08-15-angola-intelwatch-biometric-surveillance-report), which reaches the base only through a secondary account with no gazette reference, and the data protection law reported above, which is the general regime the identity-specific one would sit beside.",AGO-dpi.id-civil-and-criminal-identification-bill
gov.legislate--ai-legislation-regulations,Advanced,"An 86-article artificial-intelligence bill [went to public consultation in September 2025](2025-09-01-angola-proposta-de-lei-inteligencia-artificial), with no tabling, committee stage or vote since.","The draft [runs to 86 articles in nine chapters](2025-09-01-angola-proposta-de-lei-inteligencia-artificial) and departs from the tiered risk pyramid used elsewhere: [a single critical-AI category carries registration, security-risk assessment and emergency-response duties, with extraterritorial reach over activity abroad affecting Angolan interests, a right to explanation and to refuse decisions made by artificial intelligence, and both criminal and strict civil liability](2025-12-29 Review of Angola's Proposed Law on Artificial Intelligence).

It repeals no existing legislation, defers military applications to a separate instrument and excludes scientific research and purely personal use. Its financial assessment is not costed.

No tabling, committee stage or vote is on record in the eleven months since consultation opened, and the policy the law would implement does not exist: the readiness assessment reported under strategy names its absence as the central gap.",AGO-gov.legislate-artificial-intelligence-bill
gov.protect--data-protection-authority,Advanced,"The authority [published a third fine in August 2026](2026-08-19-sapo-angola-apd-fine-hotel-diamante), reaching commercial controllers outside the technology sector, with [three of seven board seats filled](2026-06-26-apd-aplica-multas-milionarias-crescer-tech-fast-digital-center).","Enforcement is the movement. 2026-06-26 — [millionaire fines were applied to two technology firms](2026-06-26-apd-aplica-multas-milionarias-crescer-tech-fast-digital-center), and 2026-08-19 — [a US$115,000 penalty followed against a hotel](2026-08-19-sapo-angola-apd-fine-hotel-diamante), which is the first published sanction against an ordinary commercial controller outside the technology sector. These follow [a 2024 wave that included the incumbent telecoms operator](2024-08-10 Angola - Dados Pessoais e Ciber-seguranca (APD enforcement)). Deliberation texts and dates are not published and the newest penalty is reported in dollars rather than kwanza, so no running total can be stated in one currency.

Its constitution is the standing weakness. [Three of the seven board seats are filled](2019-09-06-angola-decreto-presidencial-277-19-nomeacao-conselho-administracao-apd) and the four the National Assembly and the judiciary elect are not established as ever having been filled; every member [is removable by presidential decree at any time and without stated grounds](2016-10-10-angola-decreto-presidencial-214-16-estatuto-organico-apd); and the body [retains 60% of the fines and fees it levies](2021-03-10-angola-decreto-presidencial-60-21-regulamento-taxas-apd), revenue onto which [a pay decree moved most of each board member's salary from May 2024](2021-05-25-angola-decreto-presidencial-126-21-estatuto-remuneratorio-apd).",AGO-gov.protect-data-protection-agency|AGO-gov.protect-published-data-protection-fines
gov.protect--national-data-protection-readiness,"No change, the gaps newly documented rather than closed","State surveillance [runs without judicial warrant at any stage](2020-04-23-angola-lei-11-20-vigilancia-electronica), and [no rule states when the intelligence service may obtain identity, biometric or mobility data](2026-08-15-angola-intelwatch-biometric-surveillance-report).","The surveillance regime [has been in force since April 2020: cellular location and electronic surveillance are authorised in writing by the public prosecutor, or by the head of the police body in urgent cases with notice within 72 hours, with no judicial warrant at any stage and execution running 90 days renewable](2020-04-23-angola-lei-11-20-vigilancia-electronica). Private persons and businesses must open their own video-surveillance systems to the criminal police, and the data-protection authority is given knowledge and monitoring of the resulting police database rather than authorisation over it.

Alongside it, [video-surveillance installations are licensed by the minister responsible for public security and recordings are erased at 30 days unless a criminal-police or judicial body has requested them](2021-12-21-angola-decreto-presidencial-308-21-regulamento-videovigilancia).

2026-08-15 — a civil-society report [documents what is missing: no rule for intelligence access to identity, biometric or mobility data, no independent review of such requests, and a border-control system budgeted at US$112m and awarded directly, where the one functional post has discontinued fingerprint capture](2026-08-15-angola-intelwatch-biometric-surveillance-report). The only evidence of use on file is [a forensic confirmation that an intelligence service acquired commercial spyware and infected a journalist's phone](2026-02-26-sinse-adquiriu-spyware-predator-para-espiar-jornalista).",AGO-gov.protect-judicial-oversight-regime-for-state-surveill|AGO-gov.protect-video-surveillance-licensing-regime|AGO-dpi.id-biometric-border-control-system
gov.regional--shared-regional-infrastructure,Advanced,"A neighbouring state operator [began proof-of-concept testing on the Angolan satellite](2026-08-25-tmcel-angosat2-satellite-trials-itweb), a first step toward selling national space capacity across the region.","2026-08-25 — Mozambique's state operator [began proof-of-concept testing of the Angolan satellite for telecommunications services in Mozambique, announced by the Angolan telecommunications ministry as a step towards a commercial agreement to distribute communication and broadcasting signals over Angolan space infrastructure](2026-08-25-tmcel-angosat2-satellite-trials-itweb).

It follows the Mozambican public broadcaster's own proof of concept transmitting its television signal via the satellite, implements a bilateral memorandum signed in June 2026, and runs in parallel with a commercial pilot agreement with a Namibian operator for satellite-driven backhaul. Both trials are framed as advancing the ICT priority of the regional infrastructure master plan.

No commercial terms are published, and neither trial has yet become a contract. This is the only case on the ledger of the country exporting digital infrastructure rather than importing it.",AGO-geopol.regional-satellite-capacity-exports
gov.discourse--open-discussion-of-government-policy,Regressed,"A false-information law [entered into force on 4 August 2026](2026-08-06-angola-lei-informacoes-falsas-diario-republica) carrying prison terms, and [journalists' bodies warn it will inhibit citizen journalism](2026-08-22-novojornal-jornalistas-advertem-lei-inibir-jornalismo-cidadania).","2026-08-06 — the law [was gazetted as Lei n. 6/26 and entered into force on 4 August 2026, after the National Assembly passed it 105 to 72 in May with only the main opposition against](2026-08-06-angola-lei-informacoes-falsas-diario-republica). It [carries fines of 200 to 400 minimum wages, one to three years for simple publication, three to eight where it incites hatred or damages reputation, and up to ten in the aggravated case](2026-08-06-angola-fake-news-law-enters-force), and [binds telecommunications operators, digital platforms and application providers, reaches content aimed at the domestic public from outside the country, and bans inauthentic accounts](2026-08-17-plmj-angola-lei-6-26-fake-news).

2026-08-22 — the journalists' union, the professional credential and ethics commission and the women journalists' forum [warned that the law will inhibit citizen journalism, arguing that its penalties are excessive and that whether something counts as a journalistic error will depend heavily on how the courts and the aggrieved party read it](2026-08-22-novojornal-jornalistas-advertem-lei-inibir-jornalismo-cidadania).

No enforcement action anywhere in the country is held, and [civil society had raised the same objections as it came into force](2026-08-10-angola-false-information-law-in-force-civil-society). The account of the text held is a law-firm note rather than the gazetted instrument.",AGO-gov.legislate-online-falsehoods-law|AGO-gov.legislate-false-information-law
