fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,appropriated,revised,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,record,programme_line
2024,,,,Autorité de Protection des Données à Caractère Personnel (APDP),,,,,,488277000,,,,,,appropriated,appropriated,whole,false,XOF,2023-12-20-ben-2024-apdp-014,Dotation pour l'Autorité de Protection des Données à Caractère Personnel
2024,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,9159477000,,,,,,appropriated,appropriated,partial,false,XOF,2023-12-20-ben-2024-medias-109,Médias
2024,,,,Ministère du Travail et de la Fonction Publique (M.T.F.P),,,,,,1745017000,,,,,,appropriated,appropriated,whole,false,XOF,2023-12-20-ben-2024-modernisation-administration-publique-044,Modernisation de l'administration publique
2024,,,,Ministère de l'Économie et des Finances (M.E.F) — compte d'affectation spéciale,,,,,,6000000000,,,,,,appropriated,appropriated,whole,false,XOF,2023-12-20-ben-2024-modernisation-regies-financieres-108,Modernisation des régies financières
2024,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,6656403000,,,,,,appropriated,appropriated,whole,false,XOF,2023-12-20-ben-2024-numerique-111,Numérique
2024,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,2495650000,,,,,,appropriated,appropriated,partial,false,XOF,2023-12-20-ben-2024-pilotage-mnd-100,Pilotage et soutien aux services du MND
2025,,,,Autorité de Protection des Données à Caractère Personnel (APDP),,,,,,638277000,,,,,,appropriated,appropriated,whole,false,XOF,2024-12-12-ben-2025-apdp-014,Dotation pour l'Autorité de Protection des Données à Caractère Personnel
2025,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,10203391000,,,,,,appropriated,appropriated,partial,false,XOF,2024-12-12-ben-2025-medias-109,Médias
2025,,,,Ministère du Travail et de la Fonction Publique (M.T.F.P),,,,,,1812438000,,,,,,appropriated,appropriated,whole,false,XOF,2024-12-12-ben-2025-modernisation-administration-publique-044,Modernisation de l'administration publique
2025,,,,Ministère de l'Économie et des Finances (M.E.F) — compte d'affectation spéciale,,,,,,6000000000,,,,,,appropriated,appropriated,whole,false,XOF,2024-12-12-ben-2025-modernisation-regies-financieres-108,Modernisation des régies financières
2025,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,6386858000,,,,,,appropriated,appropriated,whole,false,XOF,2024-12-12-ben-2025-numerique-111,Numérique
2025,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,2401717000,,,,,,appropriated,appropriated,partial,false,XOF,2024-12-12-ben-2025-pilotage-mnd-100,Pilotage et soutien aux services du MND
2026,,,,Autorité de Protection des Données à Caractère Personnel (APDP),,,,,,738277000,,184569250,,25.0,25.0,appropriated,actual,whole,false,XOF,2025-12-04-ben-2026-apdp-014,Dotation pour l'Autorité de Protection des Données à Caractère Personnel
2026,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,12681648973,,234446843,,1.8,1.8,appropriated,actual,partial,false,XOF,2025-12-04-ben-2026-medias-109,Médias
2026,,,,Ministère du Travail et de la Fonction Publique (M.T.F.P),,,,,,1779754024,,92244238,,5.2,5.2,appropriated,actual,whole,false,XOF,2025-12-04-ben-2026-modernisation-administration-publique-044,Modernisation de l'administration publique
2026,,,,Ministère de l'Économie et des Finances (M.E.F) — compte d'affectation spéciale,,,,,,6000000000,,957413666,,16.0,16.0,appropriated,actual,whole,false,XOF,2025-12-04-ben-2026-modernisation-regies-financieres-108,Modernisation des régies financières
2026,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,5872151413,,77247968,,1.3,1.3,appropriated,actual,whole,false,XOF,2025-12-04-ben-2026-numerique-111,Numérique
2026,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,2184235167,,439474918,,20.1,20.1,appropriated,actual,partial,false,XOF,2025-12-04-ben-2026-pilotage-mnd-100,Pilotage et soutien aux services du MND
2026,,,,Ministère de l'Intérieur et de la Sécurité Publique (M.I.S.P),,,,,,2331784417,,,,,,appropriated,appropriated,whole,false,XOF,2025-12-04-ben-2026-systeme-information-archivage-misp-080a4,Développement du système d'information et d'archivage
