fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,appropriated,revised,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,record,programme_line
2024,01.01.02,"OSOB - Assembleia Nacional, Orçamento Privativo",,Comissão Nacional de Protecção de Dados (CNPD),,OUTRAS DESP. CORRENTES - ORGÃOS EXTERNOS,,,Outras despesas correntes,35255451,,,,,,appropriated,appropriated,whole,false,CVE,2023-12-31-cpv-2024-cnpd,OUTRAS DESP. CORRENTES - ORGÃOS EXTERNOS
2024,,"Pilar Economia (classificação por programa, Mapa VII)",,Ministério da Economia Digital (vote 01.03.02) principally; the programme is cross-vote,,CABO VERDE PLATAFORMA DIGITAL E DA INOVAÇÃO,,,,568184541,568184541,368518763,,64.9,64.9,appropriated,actual,whole,false,CVE,2023-12-31-cpv-2024-cv-plataforma-digital-e-inovacao,CABO VERDE PLATAFORMA DIGITAL E DA INOVAÇÃO
2024,,"Receitas consignadas e respectivas contrapartidas em despesas (anexo informativo, LEO art. 36 h))",,Fundo de Serviço Universal e Desenvolvimento da Sociedade de Informação (FUSI),10,Fundo de Serviço Universal e Desenvolvimento da Sociedade de Informação (FUSI),,,,,,,,,,proposed,proposed,whole,true,CVE,2023-09-29-cpv-2024-fusi,Fundo de Serviço Universal e Desenvolvimento da Sociedade de Informação (FUSI)
2024,,"Pilar Soberania (classificação por programa, Mapa VII)",,Ministério da Modernização do Estado e da Administracao Publica (vote 01.03.10) principally; the programme is cross-vote,,MODERNIZAÇÃO DO ESTADO E DA ADMINISTRAÇÃO PÚBLICA,,,,501082068,441976813,370003967,,73.8,83.7,appropriated,actual,partial,false,CVE,2023-12-31-cpv-2024-modernizacao-estado-administracao-publica,MODERNIZAÇÃO DO ESTADO E DA ADMINISTRAÇÃO PÚBLICA
2024,,"NOSi, E.P.E. - Plano de Atividades e Orçamento 2024",,"NOSi, E.P.E. (Núcleo Operacional da Sociedade de Informação)",,Protocolos,,,,333345000,,455964000,,136.8,,appropriated,actual,whole,true,CVE,2024-01-01-cpv-2024-nosi-protocolos,Protocolos
2024,,"Pilar Economia (classificação por programa, Mapa VII)",,Instituto Nacional de Estatística and the national statistical system; the programme is cross-vote,,PROGRAMA SISTEMA DE INFORMAÇÃO PARA O DESENVOLVIMENTO SUSTENTÁVEL,,,,253112171,253112171,243405114,,96.2,96.2,appropriated,actual,partial,false,CVE,2023-12-31-cpv-2024-sistema-informacao-desenvolvimento-sustentavel,PROGRAMA SISTEMA DE INFORMAÇÃO PARA O DESENVOLVIMENTO SUSTENTÁVEL
2024,,"Receitas consignadas e respectivas contrapartidas em despesas (anexo informativo, LEO art. 36 h))",,Ministério da Justiça - Sistema Nacional de Identificação e Autenticação Civil (SNIAC),9,Sistema Nacional de Identificação Civil - SNIAC,9.2,Cartão Nacional de Identificação - CNI,,,,,,,,proposed,proposed,whole,false,CVE,2023-09-29-cpv-2024-sniac-cni,Sistema Nacional de Identificação Civil - SNIAC — Cartão Nacional de Identificação - CNI
2024,,"Receitas consignadas e respectivas contrapartidas em despesas (anexo informativo, LEO art. 36 h))",,Ministério da Justiça - Sistema Nacional de Identificação e Autenticação Civil (SNIAC),9,Sistema Nacional de Identificação Civil - SNIAC,9.4,Funcionamento do SNIAC,,,,,,,,proposed,proposed,whole,false,CVE,2023-09-29-cpv-2024-sniac-funcionamento,Sistema Nacional de Identificação Civil - SNIAC — Funcionamento do SNIAC
2024,,"Receitas consignadas e respectivas contrapartidas em despesas (anexo informativo, LEO art. 36 h))",,Ministério da Justiça - Sistema Nacional de Identificação e Autenticação Civil (SNIAC),9,Sistema Nacional de Identificação Civil - SNIAC,9.1,Passaporte Eletrónico - PEC,,,,,,,,proposed,proposed,whole,false,CVE,2023-09-29-cpv-2024-sniac-pec,Sistema Nacional de Identificação Civil - SNIAC — Passaporte Eletrónico - PEC
2024,,"Receitas consignadas e respectivas contrapartidas em despesas (anexo informativo, LEO art. 36 h))",,Ministério da Justiça - Sistema Nacional de Identificação e Autenticação Civil (SNIAC),9,Sistema Nacional de Identificação Civil - SNIAC,9.3,Título de Residência de Estrangeiros - TRE,,,,,,,,proposed,proposed,whole,false,CVE,2023-09-29-cpv-2024-sniac-tre,Sistema Nacional de Identificação Civil - SNIAC — Título de Residência de Estrangeiros - TRE
