fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,appropriated,revised,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,record,programme_line
2024,011,"011 - Ministry of Local Government, Decentralisation and Rural Development",011,"Ministry of Local Government, Decentralisation and Rural Development",01101,Management and Administration,01101004,Research; Statistics and Information Management,,80000,,,,,,appropriated,appropriated,partial,false,GHS,2024-01-01-gha-2024-011-01101-01101004,Management and Administration — Research; Statistics and Information Management
2024,011,"011 - Ministry of Local Government, Decentralisation and Rural Development",011,"Ministry of Local Government, Decentralisation and Rural Development",01109,Spatial Planning and Human Settlement,01109001,Human Settlements and Land Use Reaseach and Policy,,22443365,,,,,,appropriated,appropriated,partial,false,GHS,2024-01-01-gha-2024-011-01109-01109001,Spatial Planning and Human Settlement — Human Settlements and Land Use Reaseach and Policy
2026,009,Ministry of Foreign Affairs and Regional Integration,009,Ministry of Foreign Affairs and Regional Integration,00903,Passport Administration,,,,148820843,,,,,,appropriated,appropriated,partial,false,GHS,2026-01-01-gha-2026-009-00903,Passport Administration
2026,011,"011 - Ministry of Local Government, Chieftaincy and Religious Affairs",011,"Ministry of Local Government, Chieftaincy and Religious Affairs",01101,Management and Administration,01101004,"Research, Statistics and Information Management",Use of goods and services,500000,,,,,,appropriated,appropriated,partial,false,GHS,2026-01-01-gha-2026-011-01101-01101004,"Management and Administration — Research, Statistics and Information Management"
2026,011,"011 - Ministry of Local Government, Chieftaincy and Religious Affairs",011,Land Use and Spatial Planning Authority,01109,Spatial Planning and Human Settlement,01109004,Spatial Planning,,36454968,,,,,,appropriated,appropriated,partial,false,GHS,2026-01-01-gha-2026-011-01109-01109004,Spatial Planning and Human Settlement — Spatial Planning
2026,026,"Ministry of Communication, Digital Technology and Innovations",026,"Ministry of Communication, Digital Technology and Innovations",02602,ICT Capacity Development,,,,100000000,,,,,,appropriated,appropriated,whole,false,GHS,2026-01-01-gha-2026-026-02602,ICT Capacity Development
2026,026,"Ministry of Communication, Digital Technology and Innovations",026,National Information Technology Agency,02603,"ICT Infrastructure, Regulation and Capacity Building",02603001,ICT Infrastructure and Regulation,,536745448,,,,,,appropriated,appropriated,whole,false,GHS,2026-01-01-gha-2026-026-02603-02603001,"ICT Infrastructure, Regulation and Capacity Building — ICT Infrastructure and Regulation"
2026,026,"Ministry of Communication, Digital Technology and Innovations",026,Ghana-India Kofi Annan Centre of Excellence in ICT,02603,"ICT Infrastructure, Regulation and Capacity Building",02603002,ICT Capacity Development,,17308560,,,,,,appropriated,appropriated,whole,false,GHS,2026-01-01-gha-2026-026-02603-02603002,"ICT Infrastructure, Regulation and Capacity Building — ICT Capacity Development"
2026,026,"Ministry of Communication, Digital Technology and Innovations",026,Cyber Security Authority,02603,"ICT Infrastructure, Regulation and Capacity Building",02603003,Cyber Security and Regulations,,25346198,,,,,,appropriated,appropriated,whole,false,GHS,2026-01-01-gha-2026-026-02603-02603003,"ICT Infrastructure, Regulation and Capacity Building — Cyber Security and Regulations"
2026,026,"Ministry of Communication, Digital Technology and Innovations",026,Ghana Domain Name Registry,02603,"ICT Infrastructure, Regulation and Capacity Building",02603004,Domain Management and Regulation,Use of goods and services,2827244,,,,,,appropriated,appropriated,whole,false,GHS,2026-01-01-gha-2026-026-02603-02603004,"ICT Infrastructure, Regulation and Capacity Building — Domain Management and Regulation"
2026,026,"Ministry of Communication, Digital Technology and Innovations",026,Data Protection Commission,02603,"ICT Infrastructure, Regulation and Capacity Building",02603005,Data Management and Regulation,,9720400,,,,,,appropriated,appropriated,whole,false,GHS,2026-01-01-gha-2026-026-02603-02603005,"ICT Infrastructure, Regulation and Capacity Building — Data Management and Regulation"
2026,082,Right to Information Commission,082,Right to Information Commission,,whole vote (both programmes),,,,20413271,,,,,,appropriated,appropriated,whole,false,GHS,2026-01-01-gha-2026-082,whole vote (both programmes)
