title,publisher,author,published,date_precision,places,topics,entities,ingested,url
Paratus expands East Africa connectivity ahead of ITW Africa,TechTrendsKE,,2026-09-09,day,COD; RWA; UGA; KEN,infra.connect; infra.store,paratus; starlink,2026-09-09,https://techtrendske.co.ke/2026/09/09/paratus-expands-east-africa-connectivity-itw-africa/
"Emerging crimes, digital justice: What's ahead in new judicial year",The New Times,,2026-09-05,day,RWA,dpi.govtech; gov.policy; infra.cybersec,judiciary-of-rwanda; rwanda-bar-association,2026-09-08,https://www.newtimes.co.rw/article/38718/news/rwanda/emerging-crimes-digital-justice-whats-ahead-in-new-judicial-year
Empowering Parents in Rwanda Through Digital Literacy Training,Internet Society,,2026-09-04,day,RWA,capacity.literacy; include.divides; include.access,internet-society; internet-society-foundation; irembo,2026-09-07,https://www.internetsociety.org/blog/2026/09/empowering-parents-in-rwanda-through-digital-literacy-training/
"Zambia, Rwanda sign technical cooperation agreement to harmonise standards",Zambia Monitor,,2026-09-03,day,ZMB; RWA,gov.standards; gov.regional,zambia-bureau-of-standards; rwanda-standards-board; arso,2026-09-04,https://www.zambiamonitor.com/zambia-rwanda-sign-technical-cooperation-agreement-to-harmonise-standards/
Hackathon produces tech uplifting agricultural workers,Carnegie Mellon University Africa,,2026-09-03,day,RWA,tech.innovate; capacity.research; dpi.pay; digital.rural,carnegie-mellon-university-africa; ncst-rwanda,2026-09-05,https://www.africa.engineering.cmu.edu/news/2026/09/04-umuhinzi-hackathon.html
"CDPI on its session at the Africa Accelerator for Digital Public Infrastructure, 2–3 September 2026",Centre for Digital Public Infrastructure (CDPI),,2026-09-03,day,ETH; MWI; RWA; SLE; ZMB,dpi.govtech; dpi.exchange; infra.capacity; gov.regional,cdpi; undp; centre-for-open-societal-systems,2026-09-08,https://www.linkedin.com/posts/africa-accelerator-for-digital-public-infrastructure-share-7501243526484123648-U4ba
African Delegations Explore India's Digital Public Infrastructure During UNDP Learning Mission,Youth Village Zambia,,2026-09-02,day,ZMB; ETH; MWI; RWA; SLE,dpi.exchange; gov.regional; capacity.training; geopol.india,undp; uidai; npci,2026-09-04,https://youthvillagezm.com/2026/09/african-delegations-explore-indias-digital-public-infrastructure-during-undp-learning-mission/
"Rwanda’s New eKash Payment System Wins Praise, But Users Report Lingering Transfer Glitches",RADIOTV10,,2026-09-02,day,RWA,gov.discourse; dpi.pay; include.access,ekash; national-bank-of-rwanda,2026-09-04,https://radiotv10.rw/en/rwandas-new-ekash-payment-system-wins-praise-but-users-report-lingering-transfer-glitches/
Here Is Our AI Plan to Reach 2.5 Million Rwandan Farmers - KT PRESS,KT PRESS,,2026-09-02,day,RWA,finance.new; tech.ai,minict-rwanda,2026-09-04,https://www.ktpress.rw/2026/09/here-is-our-ai-plan-to-reach-2-5-million-rwandan-farmers/
"Karnataka Hosts African Union, Five African Nations For Digital Public Infrastructure Exposure Visit",The Bengaluru Live,,2026-09-01,day,ETH; MWI; RWA; SLE; ZMB,dpi.govtech; geopol.india; capacity.training,african-union; undp; government-of-karnataka; centre-for-e-governance-karnataka,2026-09-04,https://thebengalurulive.com/karnataka-hosts-african-union-five-african-nations-for-digital-public-infrastructure-exposure-visit/
"E-gouvernance : Gabon, Guinée, Liberia… le Rwanda attire les administrations africaines venues étudier son modèle numérique",Digital Business Africa,,2026-09-01,day,RWA; GAB; GIN; LBR,dpi.exchange; gov.regional; dpi.govtech,rwanda-cooperation; irembo; world-bank; undp,2026-09-04,https://www.digitalbusiness.africa/e-gouvernance-gabon-guinee-liberia-le-rwanda-attire-les-administrations-africaines-venues-etudier-son-modele-numerique/
Le Gabon s'inspire du modèle rwandais pour accélérer sa transformation numérique,wearetech.africa,,2026-08-31,day,GAB; RWA,dpi.govtech; gov.regional; dpi.id,irembo; rura-rwanda; ministere-de-l-interieur-gabon; rwanda-cooperation,2026-08-31,https://www.wearetech.africa/fr/fils/actualites/tech/le-gabon-s-inspire-du-modele-rwandais-pour-accelerer-sa-transformation-numerique
When intuition is not enough: How data transformed Whiz Upp,Cenfri,,2026-08-31,day,RWA,tech.innovate; capacity.training,cenfri; mastercard-foundation; ministry-ict-innovation-rwanda,2026-09-02,https://cenfri.org/articles/when-intuition-is-not-enough-how-data-transformed-whiz-upp/
Business Registration,Rwanda Development Board (Office of the Registrar General),,2026-08-30,day,RWA,dpi.registry,rwanda-development-board; rwanda-directorate-general-of-immigration-and-emigration,2026-08-30,https://org.rdb.rw/business-registration/
Digital Payment Fraud Cases Fall 30% as Electronic Transactions Rise,RADIOTV10,,2026-08-29,day,RWA,dpi.pay; gov.protect,national-bank-of-rwanda,2026-09-01,https://radiotv10.rw/en/digital-payment-fraud-cases-fall-30-as-electronic-transactions-rise/
Africa's instant payments hitting 'regulatory wall',The New Times,,2026-08-29,day,XAF; RWA,dpi.pay; gov.regional; dpi.id,africanenda; association-of-african-central-banks; national-bank-of-rwanda; african-union-commission,2026-09-01,https://www.newtimes.co.rw/article/38524/news/africas-instant-payments-hitting-regulatory-wall/amp
Rwanda and Tanzania advance cybersecurity framework for regional instant payments,techreviewafrica.com,,2026-08-29,day,RWA; TZA,infra.cybersec; dpi.pay; gov.regional,eac; rswitch-rwanda; national-bank-of-rwanda; minict-rwanda; deep-programme,2026-09-01,https://techreviewafrica.com/news/6973/rwanda-and-tanzania-advance-cybersecurity-framework-for-regional-instant-payments
Digital ID assessments highlight financial inclusion gains across Africa,Biometric Update,,2026-08-28,day,ETH; NGA; RWA; XAF,dpi.id; dpi.pay; dpi.exchange; gov.regional,nimc; ethiopia-national-id-program; world-bank; afcfta; papss,2026-08-29,https://www.biometricupdate.com/202608/digital-id-assessments-highlight-financial-inclusion-gains-across-africa
Rwanda CMA Concludes Dubai VARA Study Tour to Strengthen Virtual Asset Regulation,Tech Africa News,,2026-08-27,day,RWA,gov.policy; finance.new; geopol.gulf,cma-rwanda,2026-08-27,https://techafricanews.com/2026/08/27/rwanda-cma-dubai-vara-study-tour-virtual-asset-regulation/
Rwanda's next decade of decentralisation requires urgent focus on delivery,The New Times,,2026-08-27,day,RWA,digital.localgov; gov.discourse,irembo; minaloc-rwanda,2026-09-01,https://www.newtimes.co.rw/article/38460/opinions/rwandas-next-decade-of-decentralisation-requires-urgent-focus-on-delivery
Digital assets drive Rwanda-UAE deal,ITWeb Africa,,2026-08-27,day,RWA,gov.policy; finance.new; geopol.gulf,cma-rwanda,2026-08-27,https://www.itweb.africa/article/digital-assets-drive-rwanda-uae-deal/P3gQ2qGAzzE7nRD1
"En Afrique comme ailleurs, les Etats s'emparent de la protection des mineurs sur les reseaux sociaux",Agence Ecofin,,2026-08-27,day,XAF; GAB; NGA; RWA; ZWE,gov.legislate; gov.protect; gov.policy,african-union; meta,2026-08-27,https://www.agenceecofin.com/actualites/2708-141074-en-afrique-comme-ailleurs-les-etats-s-emparent-de-la-protection-des-mineurs-sur-les-reseaux-sociaux
Intron's new voice model can follow African speakers who switch languages mid-sentence,TechCabal,,2026-08-26,day,NGA; RWA,tech.ai; tech.industry; include.access,intron; branch-international,2026-08-26,https://techcabal.com/2026/08/26/intron-voice-ai/
Singapore Cooperation Enterprise Advances Digital Transformation Exchange with African Partners,Indiplomacy,,2026-08-26,day,XAF; RWA,gov.regional; dpi.exchange; dpi.id,smart-africa; rwanda-information-society-authority; irembo,2026-08-28,https://indiplomacy.com/2026/08/26/singapore-cooperation-enterprise-advances-digital-transformation-exchange-with-african-partners/
Four cloud startups to watch in 2026,Connecting Africa,,2026-08-26,day,XAF; RWA; NGA; ZAF,infra.store; tech.ai; tech.industry,,2026-08-26,https://www.connectingafrica.com/cloud-networking/four-cloud-startups-to-watch-in-2026
AI is not taking jobs. It is quietly closing the door on new ones,The New Times,,2026-08-25,day,RWA,tech.ai; gov.discourse,nisr; rwanda-institute-of-computing,2026-08-29,https://www.newtimes.co.rw/article/38401/opinions/ai-is-not-taking-jobs-it-is-quietly-closing-the-door-on-new-ones
Kagame Urges African Countries to Take Active Role in Shaping AI Future,Bantu Gazette,,2026-08-25,day,RWA; XAF,tech.ai; gov.discourse,paul-kagame,2026-08-25,https://bantugazette.com/kagame-urges-african-countries-to-take-active-role-in-shaping-ai-future/
Rwanda's next AI frontier: Empowering youth to strengthen home-grown democracy,The New Times,,2026-08-24,day,RWA,tech.ai; gov.discourse,centre-for-peace-democratic-governance-and-development; global-centre-for-rehumanising-democracy; rwanda-national-ai-agency,2026-08-27,https://www.newtimes.co.rw/article/38372/opinions/rwandas-next-ai-frontier-empowering-youth-to-strengthen-home-grown-democracy
Academic Security Operation Center meets growing cybersecurity needs,Carnegie Mellon University Africa,,2026-08-24,day,RWA,infra.cybersec; capacity.training; capacity.research,carnegie-mellon-university-africa; upanzi-network; university-of-rwanda,2026-08-25,https://www.africa.engineering.cmu.edu/news/2026/08/24-academic-security-operation-center.html
East African States Open Bank Account to Fund Joint Communications Satellite Study,ChimpReports,,2026-08-24,day,UGA; KEN; RWA; SSD; XEA,infra.connect; gov.regional; data.satellite,northern-corridor-integration-projects; standard-chartered-uganda; ministry-of-foreign-affairs-uganda,2026-08-25,https://chimpreports.com/east-african-states-open-bank-account-to-fund-joint-communications-satellite-study/
RSwitch Takes Digital Finance Campaign to Kigali Communities,Tech Africa News,,2026-08-21,day,RWA,dpi.pay; include.access; capacity.literacy,rswitch-rwanda; ekash; national-bank-of-rwanda,2026-08-21,https://techafricanews.com/2026/08/21/rswitch-takes-digital-finance-campaign-to-kigali-communities/
Ericsson and MTN Complete MoMo Cloud Migration Across Four African Markets,Tech Africa News,,2026-08-21,day,SWZ; GHA; RWA; UGA,dpi.pay; infra.store,ericsson; mtn-group-fintech,2026-08-21,https://techafricanews.com/2026/08/21/ericsson-mtn-complete-momo-cloud-migration-across-four-african-markets/
MPs approve two loans totalling Rwf279 billion to boost job creation,RADIOTV10,,2026-08-21,day,RWA,finance.new; infra.connect; dpi.mis,chamber-of-deputies-rwanda; world-bank,2026-08-23,https://radiotv10.rw/en/mps-approve-two-loans-totalling-rwf279-billion-to-boost-job-creation/
MPs approve Rwf279bn financing to boost job creation,The New Times,,2026-08-21,day,RWA,finance.new; infra.connect; dpi.mis,chamber-of-deputies-rwanda; minecofin-rwanda; miga,2026-08-23,https://www.newtimes.co.rw/article/38320/news/finance/mps-approve-rwf279bn-financing-to-boost-job-creation
"방통대, 원격교육 54년 비법 아프리카에 전수…'맞춤형 교육'",Yonhap News Agency,,2026-08-19,day,COD; ZWE; MOZ; RWA; UGA; EGY,capacity.training; include.divides,koica; unesco,2026-08-21,https://www.yna.co.kr/view/AKR20260819056400898
Omantel Otech signs MoU to build data center in Rwanda,Data Center Dynamics,,2026-08-19,day,RWA,finance.mou; infra.store; geopol.gulf,otech; omantel; broadband-systems-corporation,2026-08-23,https://www.datacenterdynamics.com/en/news/omantels-otech-signs-mou-to-build-data-center-in-rwanda/
"Avec Wekraft, le Rwandais Staphord Nkumbuye prépare les enfants aux métiers de demain",wearetech.africa,,2026-08-18,day,RWA,capacity.training; tech.innovate,wekraft; staphord-nkumbuye,2026-08-19,https://www.wearetech.africa/fr/fils/tech-stars/avec-wekraft-le-rwandais-staphord-nkumbuye-prepare-les-enfants-aux-metiers-de-demain
