indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,3,SEN-finance.new-technology-strategy-financing-envelope,,,,,,,2026-08-31,0,Strategy adopted with envelope; steering committee still not operating in August and no costed plan or M&E report,
gov.policy--ict-strategy,3,SEN-gov.policy-newdeal,,,,,,,2026-08-31,0,Sector covered by the adopted national technology strategy; no implementation reporting in listed sources,
gov.policy--broadband-strategy,,,,,,,,,2026-08-31,0,No broadband plan on record; August fibre-sharing consultation synthesis sets no plan or targets,
gov.policy--data-storage-cloud-strategy,2,SEN-infra.store-diamniadio-data-centre|SEN-infra.store-nationalcloud,,,,,,,2026-08-31,0,National data centre and cloud in service; no hosting or cloud policy instrument cited here,
gov.policy--data-interoperability-framework-roadmap,2,SEN-gov.policy-jokkoo,,,,,,,2026-08-31,0,Adopting decree still a draft; August account names government platforms as still siloed,
gov.policy--ai-strategy,3,SEN-gov.policy-ai-strategy-roadmap,,,,,,,2026-08-31,0,Adopted 2023 per press; ethics committee only planned and no governance body constituted,
gov.policy--data-localisation-policies,3,SEN-gov.policy-datalocalisation,,,,,,,2026-08-31,0,Presidential directive localises state data only; no application decisions or supervising body on record,
gov.policy--data-governance-policy,3,SEN-gov.policy-data-strategy,,,,,,,2026-08-31,0,Data strategy adopted; no institutional owner or implementing instruments on record,
gov.policy--open-data-policy,2,SEN-gov.policy-geoportail|SEN-data.open-open-government-data-policy,,,,,,,2026-08-31,0,Portals publishing with no adopted open-data instrument,
gov.legislate--data-protection-legislation,3,SEN-gov.protect-loi-n-2008-12,,,,,,,2026-08-31,0,Law in force since 2014; no regulations or enforcement act in these rows,
gov.legislate--cybersecurity-legislation,2,SEN-gov.legislate-critical-information-infrastructure-bill,,,,,,,2026-08-31,0,Adopted by the Assembly 2026-08-20; no promulgation or gazette or published text on record so not yet enacted and published,
