unit,indicator_id,as_of,stage,value,value_year,reassessed
AGO,capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,2026-07-31,2,,,0
AGO,capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,2026-08-31,2,,,0
AGO,capacity.training--dt-related-training-in-secondary-education,2026-07-31,1,16.7467,2016,0
AGO,capacity.training--dt-related-training-in-secondary-education,2026-08-31,1,16.7467,2016,0
AGO,capacity.training--graduates-entering-dt-ecosystem,2026-07-31,3,0.4353,2025,0
AGO,capacity.training--graduates-entering-dt-ecosystem,2026-08-31,3,0.4353,2025,0
AGO,data.open--use-of-open-data,2026-07-31,2,,,0
AGO,data.open--use-of-open-data,2026-08-31,2,,,0
AGO,data.satellite--agricultural-use-of-satellite-data,2026-07-31,2,,,0
AGO,data.satellite--agricultural-use-of-satellite-data,2026-08-31,2,,,0
AGO,data.satellite--meteorological-use-of-satellite-data,2026-07-31,2,,,0
AGO,data.satellite--meteorological-use-of-satellite-data,2026-08-31,2,,,0
AGO,data.statistics--censuses-and-surveys,2026-07-31,3,,,0
AGO,data.statistics--censuses-and-surveys,2026-08-31,3,,,0
AGO,data.statistics--national-strategy-for-development-of-statistics,2026-07-31,2,,,0
AGO,data.statistics--national-strategy-for-development-of-statistics,2026-08-31,2,,,0
AGO,data.statistics--statistics-from-administrative-data,2026-07-31,3,,,0
AGO,data.statistics--statistics-from-administrative-data,2026-08-31,3,,,0
AGO,digital.localgov--digitalisation-of-local-government-records,2026-07-31,2,,,0
AGO,digital.localgov--digitalisation-of-local-government-records,2026-08-31,2,,,0
AGO,digital.localgov--ict-infrastructure-for-local-government,2026-08-31,,,,0
AGO,digital.rural--digitalisation-of-rural-health-clinics,2026-07-31,2,,,0
AGO,digital.rural--digitalisation-of-rural-health-clinics,2026-08-31,2,,,0
AGO,digital.rural--digitalisation-of-rural-police-stations,2026-07-31,3,,,0
AGO,digital.rural--digitalisation-of-rural-police-stations,2026-08-31,3,,,0
AGO,digital.rural--digitalisation-of-rural-primary-schools,2026-07-31,3,,,0
AGO,digital.rural--digitalisation-of-rural-primary-schools,2026-08-31,3,,,0
AGO,digital.rural--digitalisation-of-rural-registry-offices,2026-07-31,2,,,0
AGO,digital.rural--digitalisation-of-rural-registry-offices,2026-08-31,2,,,0
