row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
MRT-gov.policy-agenda,MRT,gov.policy,Governance,instrument,National Digital Transformation Agenda 2022-2025,"Implemented, period expired",2023-11-27,Four axes set out by the digital minister; the period has since ended,,No change,"In force, in its final years",Its period has ended and no successor agenda is held,2023-11-27 Setting the agenda for digital transformation,,
MRT-gov.policy-ride-hailing-authorisation-compliance,MRT,gov.policy,Governance,instrument,Ride-hailing authorisation compliance deadline,Implemented,2026-08-24,Fifteen-day deadline set by communique of 21 August 2026,,Advanced,Did not exist,"The road transport regulator gave ride-hailing companies operating through digital applications 15 days to bring their authorisations into line with the law, in a communique reported as published on 21 August 2026 and warning that failure within the deadline could bring legal proceedings including suspension of the activity, with no further notice or warning required; the regulator set the warning against growing use of digital platforms for transport services",2026-08-24-mauritania-ride-hailing-apps-15-day-compliance-deadline,,no operator is named and no count of non-compliant authorisations is given
MRT-gov.legislate-aneta,MRT,gov.legislate,Governance,instrument,ANETA state digital agency proposal,Planned,2023-06-01,"Named 'Agence Numérique de l'État' (AN-État) and proposed as national interoperability operator in a June 2023 strategy, reviving a 2021 UNDP proposal",2021-07-31,,,"Proposed by UNDP (31 July 2021) as an EPA under the digital ministry with about 50 staff, EUR 220,000 to set up and EUR 1.4m a year to run, and a draft creation decree; a June 2023 open-data strategy proposes reviving that decree to name the same body national interoperability operator; no adoption, decree or launch is on record",2021-07-31-mauritania-aneta-digital-agency-proposal-undp|2023-06-01-mauritania-strategie-nationale-donnees-ouvertes-interoperables,,"whether the 2023 strategy's 'AN-État' is the same proposal as 2021's ANETA is not stated explicitly, but the acronym, mandate and sponsoring ministry match"
MRT-gov.legislate-startupact,MRT,gov.legislate,Governance,instrument,Startup Act,Enacted,2024-01-02,Loi n° 2024-002 P.R relative aux start-ups technologiques et innovantes promulgated 2 January 2024,,Advanced,"Draft bill in public consultation, targeting 300 labelled start-ups and 3,000 jobs over five years","Enacted 2 January 2024; the promulgated text is not held, but the ministry's pre-enactment deck sets out a merit-based label with a preferential public-procurement margin (Article 13), a state-backed start-up fund and guarantee fund with investor tax incentives (Article 21), payroll-cost relief and a technology-innovation hub, and IP and customs relief",2023-09-07-mauritania-startup-act-presentation-projet-de-loi|2024-01-02-mauritania-loi-de-startup-ministry-page,,the promulgated text of Loi n° 2024-002 itself is not held
MRT-gov.legislate-uaf,MRT,gov.legislate,Governance,instrument,Universal Service Access Fund governance,In development,2026-07-29,Council of Ministers approved a decree repealing Decree 2020-152,,Advanced,Governed by Decree 2020-152 of 19 November 2020,"A replacement decree approved on grounds that the fund's object, its resource mobilisation and allocation, and its integration into the state budgetary system were all unclear; the new terms are not published",2026-07-29-lequotidien-conseil-ministres-fonds-acces-universel,,neither the new decree nor the one it repeals is held; both national gazette hosts return NXDOMAIN
MRT-gov.protect-apd,MRT,gov.protect,Governance,instrument,Data protection authority,Implemented,2026-02-10,"Operating under a 2023-2026 plan, per a reference guide",,No change,"Established, with a 2023-2026 plan","Established; no decision, register, enforcement action or annual report is held",2026-02-10-digital-economy-country-commercial-guide-tradegov,,
MRT-gov.protect-dataprotectionlaw,MRT,gov.protect,Governance,instrument,Data protection law and enforcement record,Implemented,2026-05-06,Loi n° 2017-020 in force since 22 July 2017; the authority reports monthly meetings and sector sensitisation days through May 2026,2017-07-22,,,"In force since 22 July 2017, requiring APD-approved codes of conduct and free, unambiguous consent for personal-data processing, covering both manual and electronic processing; the authority runs monthly ordinary meetings and sensitisation days for ministries, telecom operators and financial institutions; no enforcement decision, register entry, sanction or annual report is published",2017-07-22-mauritania-loi-2017-020-protection-donnees-caractere-personnel|2026-05-06-mauritania-apd-site-institutionnel,,"the OCR extraction of the law cuts off mid-Article 2; later chapters covering processing conditions, the APD's powers and sanctions are not captured"
MRT-gov.regional-maghreb-union-treaty,MRT,gov.regional,Governance,instrument,Arab Maghreb Union treaty,"Implemented, dormant",1989-02-17,"Concluded at Marrakesh, 17 February 1989",,No change,"In force, dormant (2025-08)","In force since 1 July 1989 with a binding judicial organ, and no summit held since 1994 - a legal frame for regional harmonisation with no active machinery behind it",1989-02-17-uma-treaty-instituting-arab-maghreb-union,,
MRT-gov.regional-senegalmou,MRT,gov.regional,Governance,instrument,Senegal-Mauritania digital cooperation memorandum,Implemented,2025-01-16,Signed January 2025,,No change,Signed,"Signed; no deliverable, workstream or funding under it is on record",2025-01-16-senegal-mauritania-digital-mou,,
MRT-gov.standards-servicesframework,MRT,gov.standards,Governance,instrument,National framework for public digital service standards,In development,2026-03-27,Three-day standards and interoperability workshop run by the digital ministry,,Advanced,Did not exist,Under development with German support through GIZ and the Digital-Y project; no framework or standard has been published,2026-03-27-public-digital-services-standards-framework-techafricanews,,
MRT-gov.standards-ipv6strategy,MRT,gov.standards,Governance,instrument,National IPv6 transition strategy,Implemented,2024-05-01,"A 68-page strategy targeting 25% adoption by 2026, with a national committee",,No change,"In force, with a 25% by 2026 target and a national transition committee",In force; the target is unmet with the deadline approaching,2024-05-01-mauritanie-strategie-nationale-transition-ipv6,,the strategy carries no printed adoption date and its sector economic-impact figures are lifted from a consultancy report and cited rather than measured
