row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
COM-infra.cybersec-national-computer-emergency-response-team,COM,infra.cybersec,Infrastructure,National computer emergency response team,"Any decree, digital agency statement or regulator decision establishing an incident-response body, or a statement that none exists; the 2018 strategy costed a national cybersecurity apparatus at KMF 942,931,440 and nothing on file says what was built",2026-08-31,
COM-infra.energy-electricity-supply-to-digital-infrastructure,COM,infra.energy,Infrastructure,Electricity supply to digital infrastructure,"A national utility annual report, an inspectorate audit of it, or an operator statement on grid availability at telecom sites; the incumbent names consolidation of energy infrastructure as a 2025 priority without a figure, and the subject holds no Comorian source at all",2026-08-31,
COM-infra.store-data-centre-capacity-and-utilisation,COM,infra.store,Infrastructure,Data centre capacity and utilisation,"The digital agency's own statement or annual report, or the facility's tier certification record; the only market-level document is a commercial briefing whose figures are held and deliberately not absorbed",,
COM-data.statistics-national-open-data-or-statistical,COM,data.statistics,Digital public infrastructure,National open-data or statistical dissemination platform,The statistics institute's data-release practice or the national statistical development strategy invoked by name at the census launch and not held,,
COM-data.satellite-national-spatial-data-infrastructure-or,COM,data.satellite,Digital public infrastructure,National spatial data infrastructure or address register,The cartography unit's or the territorial development ministry's geospatial policy document; two training programmes are recorded and no institution or dataset,,
COM-digital.rural-universal-service-or-rural-digital,COM,digital.rural,Digital public infrastructure,Universal service or rural digital access fund,"The regulator's statutory annual activity report, which does not exist for any year; the electronic communications statute funds the regulator from a turnover levy and the base records no access fund",,
COM-digital.localgov-municipal-or-island-government-digital,COM,digital.localgov,Digital public infrastructure,Municipal or island-government digital services,"A communal or island-executive digital plan, or the decree organising the collectivities; mayors and prefects appear only as stakeholders in the civil-registry programme",,
COM-dpi.govtech-integrated-financial-management-information-system,COM,dpi.govtech,Digital public infrastructure,Integrated financial management information system,"The public finance programme's procedures manual, or a French development agency appraisal naming the expenditure-chain system; the tax system covers tax only",,
COM-gov.policy-conseil-national-sur-le-numerique,COM,gov.policy,Governance and regulation,Conseil National sur le Numerique,"The decree or order constituting the council, or a digital agency or government statement of the sector's steering arrangements; the 2018 strategy designs it as the sector's political steering organ and nothing since mentions it",,
COM-gov.standards-regulator-sanctions-licensing-decisions-and,COM,gov.standards,Governance and regulation,"Regulator sanctions, licensing decisions and spectrum awards","The regulator's decisions series, of which the base holds exactly one item, or the statutory annual activity report that would list them",,
COM-gov.policy-national-artificial-intelligence-strategy-or,COM,gov.policy,Governance and regulation,National artificial-intelligence strategy or policy,A published strategy or the ministry's or digital agency's own statement of one; the first national forum on the subject was held 2026-03-31 and discussed regulation as a structural challenge without producing an instrument,2026-08-31,
COM-tech.ai-deployed-or-piloted-artificial-intelligence,COM,tech.ai,Artificial intelligence and the technology sector,Deployed or piloted artificial-intelligence system,"Any named operational system in Comorian government or industry, or a ministry inventory of them; the base names artificial intelligence only as a forum theme, a training strand and a procurement line",,
COM-tech.innovate-start-up-statute-or-innovation,COM,tech.innovate,Artificial intelligence and the technology sector,Start-up statute or innovation-financing instrument,"A Comorian start-up law, an innovation fund decree, or the incubator's operating charter under the e-government project; no such instrument appears anywhere in the base",,
