indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,"Advanced, a blueprint with no budget trail behind it","An ICT roadmap to 2030 [targets 100,000 ICT jobs within five years and a double-digit sector share of output](2026-03-09-bwa-ict-roadmap-2030-digital-services-act-in-force); its priorities appear as projects in no estimates volume.","2026-03-09 — [a roadmap to 2030 was set out at a policy dialogue, targeting 100,000 ICT jobs within five years and a double-digit ICT share of national output](2026-03-09-bwa-ict-roadmap-2030-digital-services-act-in-force), [following ministerial priorities stated in November 2025](2025-11-26-botswana-digital-priorities-minister-tshere-wearetech). The base does not establish when it was adopted, the document is not held, and its named priorities appear as projects in no estimates volume.

The institution meant to carry it has not arrived. [A Digital Services Authority was announced in the ministry's plan for the year with no establishing instrument found](2026-03-18-botswana-1gov-1citizen-digital-services-act-techafricanews), and it was [publicly contested as duplicative a year earlier](2025-08-18-no-need-for-a-new-digital-services-agency). Nothing is on record being built.

An e-waste strategy is the one instrument that did land: [launched in July 2026 with an inter-agency memorandum, and no targets, budget, collection volumes or implementation dates published](2026-07-13-botswana-national-e-waste-management-strategy-techreviewafrica).",BWA-gov.policy-ict-roadmap-2030|BWA-gov.policy-digital-services-authority|BWA-gov.policy-e-waste-management-strategy
gov.policy--data-localisation-policies,Advanced,"The minister [stated an intention to compel businesses to store data in Botswana](2025-11-25-govt-moves-to-in-house-local-data); no bill, draft or date is on file.","2025-11-25 — [at the launch of the national data centre the minister announced an intention to amend the Data Protection Act to compel businesses to store data in Botswana](2025-11-25-govt-moves-to-in-house-local-data). No bill, draft or date has followed in the nine months since, and nothing of the kind was proposed before.

The Act as in force already permits transfer subject to approved-country limits and an in-country copy, so the announced amendment would replace a conditional regime with a compulsory one.

The capacity to absorb it now exists: a certified national data centre and a private facility are reported under data storage, and government migration into the first is under way. What is missing is the instrument.",BWA-infra.store-data-localisation-amendment-data
gov.legislate--data-protection-legislation,No change,"The 2024 Data Protection Act [has been in force since January 2025](2025-01-08 Understanding Botswana's New Data Protection Act 2024), repealing a 2018 Act that never commenced; what moved in the window is enforcement.","[The Act came into force on 14 January 2025, repealing a 2018 statute that was never commenced](2025-01-08 Understanding Botswana's New Data Protection Act 2024). It did not change in the window.

What changed is that it began to bite. [The commission that had three contract officers, no premises, no published address and no website in July 2025](2025-07-29-bwa-idpc-permanent-base-three-contract-officers) [issued a determination and enforcement notice against a government directorate in July 2026](2026-07-18-bwa-idpc-suspends-dpsm-epayslip-portal), reported under the authority below.

The one amendment in prospect is the localisation duty reported under policy, which has no draft. No implementing regulations, codes of practice or approved-country list appear on this ledger.",BWA-gov.protect-data-protection-act-no
gov.legislate--cybersecurity-legislation,"Advanced, made and gazetted but not in force","The Cybersecurity Act [was assented in November 2025 and gazetted, and was still not in force at the window's close](2025-11-05-bwa-cybersecurity-act-2025-act-21-of-2025), its stated April 2026 commencement having passed.","2025-11-05 — [the Act was assented and gazetted on 11 November 2025, with commencement on notice](2025-11-05-bwa-cybersecurity-act-2025-act-21-of-2025), against a Bill only at the start of the window. [Commencement was stated for April 2026](2026-02-25-bwa-digital-services-act-24-month-clock-cyber-act-april) and that date passed with no notice on file. Section 3(2) excludes classified information held by eight security and revenue bodies.

So [the 2018 cybercrime statute remains the operative law, its repeal enacted and not commenced](2025-11-05-bwa-cybersecurity-act-2025-act-21-of-2025).

The authority the Act creates is in the same position. [It exists in law with a board, a chief executive, a licensing power over cybersecurity providers, a power to approve software before market placement and a critical-infrastructure mandate, and it is not established, with no organisation or vote in the year's estimates](2026-05-25-botswana-cybersecurity-act-national-authority-wtisd-itweb) — an authority in law with no money at both the legal and the fiscal end.",BWA-gov.legislate-cybersecurity-act-2025|BWA-infra.cybersec-cybercrime-computer-related-crimes|BWA-gov.legislate-cybersecurity-authority
gov.legislate--digital-payments-legislation,Advanced,"Electronic payment regulations [were amended in April 2026, extending scope to value transfer services and reaching beneficial owners](2026-04-02-botswana-electronic-payment-services-amendment-regulations-2026), with unlicensed operation punishable by P1,000,000 and five years.","2026-04-02 — [amended regulations came into effect extending scope to money or value transfer services, taking fit-and-proper tests down to beneficial owners and 10% shareholders, and making unlicensed operation punishable by P1,000,000 and five years](2026-04-02-botswana-electronic-payment-services-amendment-regulations-2026), [with the central bank's implementation release in July](2026-07-17-bank-of-botswana-eps-amendment-regulations-2026-press-release). Float interest is ring-fenced and directed by the central bank, and financial-inclusion promotion was dropped from the permitted uses without being replaced by any customer entitlement — which is the change a wallet holder would notice if anyone told them.

The virtual-asset regime is unchanged and still criticised: [the Act is in force with crypto not legal tender](2025-07-16-crypto-finds-footing-but-far-from-legal-tender), and [a regional follow-up assessment in February 2026 still records provider-oversight shortcomings](2026-02-23-crypto-oversight-gaps-persist-in-botswana).",BWA-gov.legislate-electronic-payment-services-amendment|BWA-gov.legislate-virtual-asset-act-2022
gov.protect--data-protection-authority,Advanced,"The commission [suspended a government payslip portal by enforcement notice in July 2026](2026-07-18-bwa-idpc-suspends-dpsm-epayslip-portal), a year after operating with [three contract officers and no premises](2025-07-29-bwa-idpc-permanent-base-three-contract-officers).","The starting position was an authority that barely existed: [three contract officers, no premises, no published address, no website and no deputy commissioner in July 2025](2025-07-29-bwa-idpc-permanent-base-three-contract-officers).

2026-02-11 — [it began enforcing against non-bank financial institutions](2026-02-11-new-data-commission-tightens-compliance-oversight), and 2026-07-17 — [it issued a determination and enforcement notice against the public service management directorate, suspending the government payslip portal with compliance evidence due within a month](2026-07-18-bwa-idpc-suspends-dpsm-epayslip-portal). [The directorate published a privacy notice on 6 July, completed an impact assessment on 13 July and added multi-factor authentication and a disaster-recovery plan, with no reopening date](2026-07-28-mmegi-govt-e-payslip-fails-data-protection-compliance-test). The determination itself is not held; both accounts are press carries.

It is the first published enforcement against a government body on this ledger, and the regulator still has no budget organisation or line of its own.",BWA-gov.protect-information-data-protection-commission|BWA-gov.protect-determination-enforcement-notice-against
gov.regional--regional-policy-collaboration,Advanced,"Two bilateral memoranda [were signed in a fortnight](2026-08-19-mmegi-botswana-sa-cross-border-innovation-mou) — [one with Namibia on transformation, cybersecurity, connectivity and skills](2026-08-07-botswana-namibia-ict-cooperation-mou) — with no value or deliverable published for either.","2026-08-07 — [the two countries' ICT ministries signed at Kasane with their operators and regulators, covering digital transformation, cybersecurity, connectivity and skills development, with the accompanying disclosure costing the remaining corridor coverage gaps at about N$52 million across 13 new sites and recording the two national response teams deepening cooperation](2026-08-10-namibia-botswana-trans-kalahari-4g-mou), [announced two days before](2026-08-06-botswana-and-namibia-to-sign-ict-cooperation-agreement) and [confirmed on the day](2026-08-07-botswana-namibia-ict-cooperation-mou). No term, funding or data-governance provision is published and the signed instrument is not held.

2026-08-19 — [the two countries' innovation agencies signed on cross-border innovation and technology commercialisation, framed by both as advancing the region's industrialisation agenda](2026-08-19-mmegi-botswana-sa-cross-border-innovation-mou). No value, workstream, deliverable or duration is published.

Two memoranda in a fortnight, neither costed, is the shape of this section: the delivered regional work is the roaming agreement and the fibre interconnection reported elsewhere.",BWA-gov.regional-botswana-namibia-ict-memorandum|BWA-gov.regional-botswana-south-africa-innovation-mou
gov.regional--shared-regional-infrastructure,Advanced,"Regional roaming [was extended to six states with cuts of between 10% and 98.6%](2026-03-13-bocra-sadc-one-network-area-roaming-tariffs-techafricanews), and [a bid to host the regional internet exchange reached the final two](2025-11-27-botswana-bids-to-host-sadc-internet-exchange-itweb).","2026-03-13 — [the One Network Area was extended to five further states, making six, with roaming cuts of between 10% and 98.6%, data roaming to one neighbour down by up to 94% and incoming messages free across participants](2026-03-13-bocra-sadc-one-network-area-roaming-tariffs-techafricanews), against reduced rates with a single neighbour before. Engagement with one further state is stated as ongoing.

2025-11-27 — [a bid to host the regional internet exchange was shortlisted to the final two](2025-11-27-botswana-bids-to-host-sadc-internet-exchange-itweb), and no award decision is on record in the eight months since.

Roaming is the one regional instrument in this report that reaches a citizen's bill directly, and it is also the one with a published effect.",BWA-gov.regional-sadc-one-network-area|BWA-gov.regional-sadc-regional-internet-exchange
gov.regional--cross-border-data-transfers,Advanced,"Botswana [is one of sixteen states in a regional cross-border identity and know-your-customer framework](2025-08-26 SADC regional DPI initiative supports KYC, digital ID interoperability across 16 countries), with no national integration step, pilot or date held.","2025-08-26 — [a regional cross-border digital public infrastructure and federated know-your-customer framework was set out by the regional central bank committee, naming Botswana among sixteen participating states](2025-08-26 SADC regional DPI initiative supports KYC, digital ID interoperability across 16 countries). No Botswana-specific integration step, pilot or date is held, and the only prior real-time cross-border verification pilot named involves two other countries.

2026-06-15 — separately, [existing agricultural systems are being assessed for integration into a regional agricultural information system at a four-day national readiness workshop](2026-06-15-botswana-agricultural-data-integration-sadc-aims), with no integration date or committed systems held.

Both are readiness exercises. The domestic layer they would connect to is thin: there is no certificate-backed identity verification, reported under authentication, and no national data exchange appears anywhere on this ledger.",BWA-dpi.exchange-sadc-cross-border-dpi|BWA-dpi.exchange-sadc-agricultural-information-management
gov.standards--adoption-of-international-standards,Advanced,A candidature for the international radio regulations board [is being promoted with member-state lobbying](2026-06-15-botswana-itu-radio-regulations-board-seat-bid-techreviewafrica); the election has not been held.,"2026-05 — [a candidature for the international radio regulations board was promoted at a regional preparatory meeting, with member-state lobbying under way for the 2027-2030 term](2026-06-15-botswana-itu-radio-regulations-board-seat-bid-techreviewafrica). The election has not been held and no baseline was held before this.

It is the only standards-body engagement on this ledger. Domestically the picture is the opposite: no national address-protocol transition plan, target date or measured adoption figure exists, only a regulator training workshop, so a country seeking a seat on an international standards board has no published standards programme of its own.",BWA-gov.standards-itu-radio-regulations-board
