iso3,country,region,done,compiled,sections,sources,acquire,intersections,evidence_kb,hub_kb,dpi_rows,finance_rows,notes
NGA,Nigeria,XWA,yes,2026-08-19,37,248,42,14,348,329,462,72,run first; watch dpi-pay (55KB)
ZAF,South Africa,XSA,yes,2026-08-19,37,213,50,12,304,289,462,54,
KEN,Kenya,XEA,yes,2026-08-19,37,238,63,13,222,251,462,73,
AGO,Angola,XSA,yes,2026-08-20,37,215,46,12,219,124,462,10,
GHA,Ghana,XWA,yes,2026-08-19,37,192,62,13,208,179,462,20,
UGA,Uganda,XEA,yes,2026-08-17,37,206,57,12,170,114,462,18,
SEN,Senegal,XWA,yes,2026-08-17,37,184,50,11,123,94,462,33,
TZA,Tanzania,XEA,yes,2026-08-17,37,172,44,11,116,79,462,32,
CIV,Cote d'Ivoire,XWA,yes,2026-08-17,37,205,60,11,106,89,462,25,
MAR,Morocco,XNA,yes,2026-08-17,37,165,63,13,97,125,462,6,
EGY,Egypt,XNA,yes,2026-08-17,37,156,63,10,95,89,462,7,
MOZ,Mozambique,XSA,yes,2026-08-17,37,152,49,8,89,143,462,12,
ZWE,Zimbabwe,XSA,yes,2026-08-17,37,125,37,7,87,144,462,7,
BFA,Burkina Faso,XWA,yes,2026-08-17,37,137,61,7,85,93,462,9,
TCD,Chad,XCA,yes,2026-08-17,37,134,36,10,84,59,462,7,
ZMB,Zambia,XSA,yes,2026-08-17,37,143,50,7,78,113,462,13,
CPV,Cape Verde,XWA,yes,2026-08-17,37,172,54,7,76,67,462,14,
MWI,Malawi,XSA,yes,2026-08-17,37,154,44,8,75,76,462,18,
DZA,Algeria,XNA,yes,2026-08-17,37,189,59,11,74,66,462,2,
TGO,Togo,XWA,yes,2026-08-17,37,151,40,8,74,65,462,8,
RWA,Rwanda,XEA,yes,2026-08-17,37,163,51,8,68,110,462,32,
ETH,Ethiopia,XEA,yes,2026-08-17,37,154,67,7,61,94,462,37,
SSD,South Sudan,XEA,yes,2026-08-17,37,137,54,6,61,64,462,5,
SWZ,Eswatini,XSA,yes,2026-08-17,37,136,57,7,57,55,462,4,
MUS,Mauritius,XEA,yes,2026-08-17,37,108,33,7,53,50,462,2,
COD,DR Congo,XCA,yes,2026-08-19,37,165,49,6,52,80,462,15,
TUN,Tunisia,XNA,yes,2026-08-17,37,114,51,7,52,64,462,3,
BEN,Benin,XWA,yes,2026-08-20,37,146,40,7,50,71,462,12,
CMR,Cameroon,XCA,yes,2026-08-17,37,185,60,8,50,53,462,26,
GAB,Gabon,XCA,yes,2026-08-17,37,127,40,8,50,53,462,7,
LBY,Libya,XNA,yes,2026-08-20,37,122,54,7,50,47,462,1,
CAF,Central African Republic,XCA,,,,,,6,49,51,462,5,
NAM,Namibia,XSA,,,,,,6,48,107,462,2,
COG,Congo,XCA,,,,,,4,47,73,462,11,
SYC,Seychelles,XEA,,,,,,6,44,28,432,4,
LBR,Liberia,XWA,,,,,,5,40,67,462,9,
SOM,Somalia,XEA,,,,,,6,38,38,462,9,
SLE,Sierra Leone,XWA,,,,,,6,35,47,462,10,
DJI,Djibouti,XEA,,,,,,8,33,32,462,6,
COM,Comoros,XEA,,,,,,5,31,36,462,4,
MDG,Madagascar,XEA,,,,,,6,26,34,462,10,
BDI,Burundi,XEA,,,,,,5,25,52,462,4,
GIN,Guinea,XWA,,,,,,5,25,56,462,5,
SDN,Sudan,XEA,,,,,,4,25,58,439,0,
GMB,Gambia,XWA,,,,,,6,22,36,462,9,
GNQ,Equatorial Guinea,XCA,,,,,,6,22,41,462,2,
NER,Niger,XWA,,,,,,4,20,41,462,5,
BWA,Botswana,XSA,,,,,,4,19,51,462,2,
STP,Sao Tome and Principe,XWA,,,,,,5,19,14,462,2,
LSO,Lesotho,XSA,,,,,,3,17,39,462,2,
MLI,Mali,XWA,,,,,,4,16,57,462,4,
GNB,Guinea-Bissau,XWA,,,,,,4,15,23,462,3,
MRT,Mauritania,XWA,,,,,,2,8,55,462,8,
ERI,Eritrea,XEA,,,,,,0,0,9,439,1,regional intersection only
