iso3,published,publisher,title,url,sub_section,found,status,notes
AGO,2024,ANGOP (Agência Angola Press),PN reforça segurança com cinco novos centros de comando e controlo,https://angop.ao/noticias/sociedade/pn-reforca-seguranca-com-cinco-novos-centros-de-comando-e-controlo/,digital.localgov,2026-08-15,,
AGO,2024,Amazon Web Services,AWS regions reference,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,infra.store,2026-08-15,,
AGO,2024,Esri,Angola modernizes land administration with GIS cadastre management,https://www.esri.com/en-us/lg/industry/government/stories/angola-modernizes-land-administration-gis-cadastre-management,dpi.registry,2026-08-15,,
AGO,2024,Instituto Nacional de Estatistica / ICF (DHS Program),"Angola Inquerito de Indicadores Multiplos e de Saude 2023-24, summary report",https://dhsprogram.com/pubs/pdf/SR295/SR295.pdf,include.divides,2026-08-15,,
AGO,2024,International Telecommunication Union,Global Cybersecurity Index 2024,https://www.itu.int/pub/D-HDB-GCI.01-2024,infra.cybersec,2026-08-15,,
AGO,2024,Mo Ibrahim Foundation,2024 Ibrahim Index of African Governance: Angola country profile,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-ao.pdf,infra.connect,2026-08-15,,
AGO,2024,Open Data Watch,Open Data Inventory (ODIN),https://odin.opendatawatch.com/data,data.open,2026-08-15,,
AGO,2024,PLMJ,APD guidelines for reporting cybersecurity accidents and incidents,https://www.plmj.com/en/knowledge/informative-notes/APD-guidelines-for-reporting-Cybersecurity-accidents-and-incidents/33669/,gov.protect,2026-08-15,,
AGO,2024,Paradigm Initiative,Angola digital rights and governance policy brief,https://paradigmhq.org/?sdm_process_download=1&download_id=24773,dpi.exchange,2026-08-15,,
AGO,2024,United Nations Department of Economic and Social Affairs,UN E-Government Knowledge Base: compare countries,https://publicadministration.un.org/egovkb/en-us/Data/Compare-Countries,infra.capacity,2026-08-15,,
AGO,2024,"Universidade Agostinho Neto, Faculdade de Engenharia",Faculdade de Engenharia - sobre,https://fe.uan.ao/sobre/,capacity.training,2026-08-15,,
AGO,2024,World Bank,Angola social protection project appraisal document,https://documents1.worldbank.org/curated/en/099021524040036108/pdf/P17948519e34aa03518a4a13eea791cca3f.pdf,dpi.exchange,2026-08-15,,
AGO,2024,World Bank,Angola social protection project document,https://documents1.worldbank.org/curated/en/099082624122038109/txt/BOSIB-c1c0e73e-794c-4e83-9396-93a735f465eb.txt,dpi.mis,2026-08-15,,
AGO,2024,World Bank,Angola ID4D Diagnostic,https://openknowledge.worldbank.org/bitstreams/d1c06154-9015-4e69-9112-ccf5b7092b4a/download,infra.capacity,2026-08-15,,
AGO,2024,World Bank ESMAP,RISE country profile: Angola,https://rise.esmap.org/country/angola,infra.energy,2026-08-15,,
AGO,2024-01,BRITACOM / Administracao Geral Tributaria,Angola tax administration digitalisation presentation,https://www.britacom.org/news/4thOnlineMeeting/prens/202401/P020240117574912060745.pdf,dpi.mis,2026-08-15,,
AGO,2024-05,allAfrica,Angola - central bank and the national payment system,https://allafrica.com/stories/202405020031.html,dpi.pay,2026-08-15,,
AGO,2024-11-28,Presidencia da Republica de Angola,Decreto Presidencial n.o 267/24 de 28 de Novembro,https://lex.ao/docs/presidente-da-republica/2024/decreto-presidencial-n-o-267-24-de-28-de-novembro/,dpi.id,2026-08-15,,
AGO,2025,ANGOP,INEFOP apresenta nova plataforma de registo nominal de trabalhadores no Cuanza Norte,https://angop.ao/noticias/sociedade/inefop-apresenta-nova-plataforma-de-registo-nominal-de-trabalhadores-no-cuanza-norte/,dpi.registry,2026-08-15,,
AGO,2025,ANGOP,Kwenda beneficia pessoas com necessidades especiais,https://angop.ao/noticias/sociedade/kwenda-beneficia-mais-de-duas-pessoas-com-necessidades-especiais/,include.access,2026-08-15,,
AGO,2025,BMC Medical Informatics and Decision Making,Journal article on electronic medical record implementation in Angola,https://doi.org/10.1186/s12911-025-03270-7,dpi.mis,2026-08-15,,
AGO,2025,BTW Media,EMIS powers Angola's interoperable payment infrastructure,https://btw.media/all/company-stories/profiles/emis-powers-angolas-interoperable-payment-infrastructure/,dpi.pay,2026-08-15,,
AGO,2025,EMIS - Empresa Interbancaria de Servicos,EMIS,https://emis.ao,dpi.govtech,2026-08-15,,
AGO,2025,EU Digital for Development Hub,Data Centre Market Brief: Angola,https://cms.d4dhub.eu/assets/Initiatives/Data-Governance-in-Africa/Digital-Investment-Facility/2507_Country-Market-Briefs/Data-Center-Market-Brief-Angola.pdf,infra.store,2026-08-15,,
AGO,2025,International Development Group,Increasing financial inclusion in Angola: a partnership for progress,https://www.internationaldevelopmentgroup.com/about/news/increasing-financial-inclusion-in-angola-a-partnership-for-progress/,dpi.pay,2026-08-15,,
AGO,2025,Ministerio da Justica e dos Direitos Humanos,Formalizacao de negocios ganha novo impulso com a plataforma digital do GUE,https://minjusdh.gov.ao/web/noticias/formalizacao-de-negocios-ganha-novo-impulso-com-a-plataforma-digital-do-gue,dpi.govtech,2026-08-15,,
AGO,2025,Mitrelli Group,Angola national cadaster system,https://mitrelli.com/project/angola-national-cadaster-system/,dpi.registry,2026-08-15,,
AGO,2025,Srpski medicinski časopis Lekarske komore,Journal article on health information systems and digital health in Angola,https://doi.org/10.5937/smclk6-58193,dpi.mis,2026-08-15,,
AGO,2025,World Bank,Angola development policy operation programme document,https://documents1.worldbank.org/curated/en/099062425124033726/pdf/P166564-d9f6cb90-2c8e-400b-95b5-562e367be0a1.pdf,dpi.pay,2026-08-15,,
AGO,2025,World Bank,GovTech Maturity Index 2025 Update,https://www.worldbank.org/en/programs/govtech/gtmi-2025-update,infra.store,2026-08-15,,
AGO,2025,World Health Organization Regional Office for Africa,WHO Angola Annual Report 2024,https://www.afro.who.int/sites/default/files/2025-03/WHO%20Angola%20Annual%20Report%202024.pdf,dpi.mis,2026-08-15,,
AGO,2025-10-21,Presidencia da Republica de Angola,Decreto Presidencial n.o 194/25 de 21 de Outubro,https://lex.ao/docs/presidente-da-republica/2025/decreto-presidencial-n-o-194-25-de-21-de-outubro/,dpi.mis,2026-08-15,,
AGO,2026,ANGOP,"More than 50,000 taxpayers join electronic invoicing in Angola",https://angop.ao/en/noticias/economia/mais-de-50-mil-contribuintes-aderem-a-facturacao-electronica-em-angola/,dpi.mis,2026-08-15,,
AGO,2026,Administracao Geral Tributaria (AGT),Portal da Administracao Geral Tributaria,http://www.agt.minfin.gov.ao/,dpi.mis,2026-08-15,,
AGO,2026,Africa Private Equity News,Proparco invests in Angola's Anda,https://www.africaprivateequitynews.com/p/proparco-invests-in-angolas-anda,tech.innovate,2026-08-15,,
AGO,2026,Correio Kianda,Inteligencia artificial coloca incumpridores sob analise reforcada da AGT,https://correiokianda.info/inteligencia-artificial-coloca-incumpridores-sob-analise-reforcada-da-agt/,tech.ai,2026-08-15,,
AGO,2026,EMIS / Multicaixa,Multicaixa indicadores,https://multicaixa.ao/indicadores/,data.open,2026-08-15,,
AGO,2026,Estamos Juntos,Registadas 83 mil empresas em Angola,https://estamosjuntos.co.ao/registadas-83-mil-empresas-em-angola/,data.statistics,2026-08-15,,
AGO,2026,Forbes Africa Lusofona,AGT garante interoperabilidade da certidao tributaria nos orgaos do Estado angolano,https://forbesafricalusofona.com/agt-garante-interoperabilidade-da-certidao-tributaria-nos-orgaos-do-estado-angolano/,dpi.mis,2026-08-15,,
AGO,2026,Guiche Unico da Empresa,Guiche Unico da Empresa,https://gue.gov.ao/,dpi.registry,2026-08-15,,
AGO,2026,Instituto Nacional de Estatistica,Publicacao de estatisticas da educacao,https://www.ine.gov.ao/publicacoes/detalhes/MjMzMDA%3D,dpi.mis,2026-08-15,,
AGO,2026,PTI Angola,MINSA assina com a Huawei acordo para digitalizacao progressiva dos hospitais,https://pti.ao/minsa-assina-com-a-huawei-acordo-para-digitalizacao-progressiva-dos-hospitais-em-todo-o-pais/,geopol.china,2026-08-15,,
AGO,2026,Projecto de Desenvolvimento da Agricultura Comercial (PDAC),Seleccao de empresa de consultoria para desenvolver o sistema de Registo Nacional de Produtores Agropecuarios (RNPA),https://pdac.ao/ref-c-273-cs-cadp-22-seleccao-de-empresa-de-consultoria-para-desenvolver-um-sistema-informatico-de-registo-nacional-de-produtores-agropecuarios-e-parceiros-rnpa-e-do-seu-sistema-electronico-de-ge/,dpi.registry,2026-08-15,,
AGO,2026,UNDP Angola,Justica digital como base para o desenvolvimento inclusivo,https://www.undp.org/pt/angola/blog/justica-digital-como-base-para-o-desenvolvimento-inclusivo,digital.localgov,2026-08-15,,
AGO,2026,UNICEF,Using data to improve education in Angola,https://www.unicef.org/stories/using-data-improve-education-angola,dpi.mis,2026-08-15,,
AGO,2026-04,ANGOP,"Government data centre represents an assertion of Angola's digital sovereignty, says minister",https://angop.ao/en/noticias/tecnologia/centro-de-dados-do-governo-representa-afirmacao-da-soberania-digital-de-angola-ministro/,infra.store,2026-08-15,,
KEN,2024,AfriLabs,AfriLabs hubs in Kenya,https://www.afrilabs.com/hub_country/kenya/,tech.innovate,2026-08-15,,
KEN,2024,East African Community,Immigration and labour: migration management,https://www.eac.int/immigration/migration-management/90-sector/immigration-labour/immigration,gov.regional,2026-08-15,,
KEN,2024,ID4Africa / Government of Kenya,"Kenya country presentation, ID4Africa 2024",https://id4africa.com/2024/ps1/PS1-2-Kenya-Final.pdf,dpi.registry,2026-08-15,,
KEN,2024,Intelpoint,The 18-25 age group dominates the ID-less population in Kenya,https://intelpoint.co/insights/the-18-25-age-group-dominates-the-id-less-population-in-kenya-accounting-for-80-5-of-the-total-2-3-million-adults-without-an-id/,include.divides,2026-08-15,,
KEN,2024,International Telecommunication Union,ITU DataHub: Kenya,https://datahub.itu.int/data/?e=KEN,infra.connect,2026-08-15,,
KEN,2024,Kenyan Wall Street,Kenyan startups beat rest of Africa to raise US$638mn in 2024,https://kenyanwallstreet.com/kenyan-startups-beat-rest-of-africa-to-raise-us638-mn-in-2024,tech.innovate,2026-08-15,,
KEN,2024,Mo Ibrahim Foundation,2024 IIAG country profile: Kenya,https://assets.iiag.online/2024/profiles/2024-IIAG-profile-ke.pdf,infra.energy,2026-08-15,,
KEN,2024,Mt Kenya News,Government to issue title deeds for all by 2027,https://mtkenyanews.co.ke/government-to-issue-title-deeds-for-all-by-2027/,dpi.registry,2026-08-15,,
KEN,2024,Open Data Watch,Open Data Inventory (ODIN),https://odin.opendatawatch.com/data,data.open,2026-08-15,,
KEN,2024,State Department for Immigration and Citizen Services (Usajili),eCitizen MCDA onboarding,https://usajili.go.ke/ecitizen-mcda-onboarding,dpi.govtech,2026-08-15,,
KEN,2024,"Temple University Institute for Law, Innovation and Technology",A model governance framework analysis of Kenya's Maisha Namba,https://law.temple.edu/ilit/a-model-governance-framework-analysis-of-kenyas-maisha-namba/,infra.cybersec,2026-08-15,,
KEN,2024,Transform Health / Health Data Governance Principles,Kenya: the principles in action,https://healthdatagovernance.org/case-study/kenya-the-principles-in-action/,dpi.mis,2026-08-15,,
KEN,2024,World Intellectual Property Organization,Global Innovation Index 2024: Kenya,https://www.wipo.int/edocs/gii-ranking/2024/ke.pdf,tech.innovate,2026-08-15,,
KEN,2024-09,International Telecommunication Union,Global Cybersecurity Index 2024,https://www.itu.int/en/mediacentre/Pages/PR-2024-09-10-Global-Cybersecurity-Index.aspx,infra.cybersec,2026-08-15,,
KEN,2024-10,Afrobarometer,Kenyans applaud electricity provision but rural and poor lack access,https://www.afrobarometer.org/wp-content/uploads/2024/11/AD892-Kenyans-applaud-electricity-provision-but-rural-and-poor-lack-access-Afrobarometer-31oct24.pdf,infra.energy,2026-08-15,,
KEN,2024-11,GOGLA,Kenya country brief,https://gogla.org/wp-content/uploads/2024/11/Kenya-Country-Brief.pdf,infra.energy,2026-08-15,,
KEN,2025,African Exponent,Top 10 African countries with the largest numbers of software engineers,https://www.africanexponent.com/top-10-african-countries-with-the-largest-numbers-of-software-engineers/,infra.capacity,2026-08-15,,
KEN,2025,Bowmans,Kenya: a few insights on navigating data breaches under the Kenyan data protection law,https://bowmanslaw.com/insights/kenya-a-few-insights-on-navigating-data-breaches-in-kenya-under-the-kenyan-data-protection-law/,infra.cybersec,2026-08-15,,
KEN,2025,Business Daily Africa,"Treasury shifts salary, pension payments to new online system",https://www.businessdailyafrica.com/bd/economy/treasury-shifts-salary-pension-payments-to-new-online-system-5152690,dpi.pay,2026-08-15,,
KEN,2025,Cadmus Cyber Solutions,Kenyan businesses fined over KES 26 million for data privacy violations,https://www.cadmuscyber.com/public/insight/kenyan-businesses-fined-over-kes-26-million-for-data-privacy-violations,gov.protect,2026-08-15,,
KEN,2025,Communications Authority of Kenya,Mobile internet and tech services surge as Kenya digital shift accelerates,https://www.ca.go.ke/mobile-internet-and-tech-services-surge-kenya-digital-shift-accelerates,infra.connect,2026-08-15,,
KEN,2025,Cybernetica,Cybernetica piloted an interoperability platform to improve and optimise digital public services in Kenya,https://cyber.ee/resources/case-studies/cybernetica-piloted-an-interoperability-platform-to-improve-and-optimise-digital-public-services-in-kenya/,dpi.exchange,2026-08-15,,
KEN,2025,Digital ID Evaluation Framework (Aapti Institute / partners),Kenya case study,https://digitalid.design/evaluation-framework-case-studies/kenya.html,include.access,2026-08-15,,
KEN,2025,Digital Policy Alert,Kenya Cloud Policy 2025 entered into force,https://digitalpolicyalert.org/event/29668-kenya-cloud-policy-2025-entered-into-force-including-authorisation-of-cloud-computing-services,infra.store,2026-08-15,,
KEN,2025,"Energy and Petroleum Regulatory Authority, Kenya",Electricity tariff overview,https://www.epra.go.ke/electricity-tariff-overview,infra.energy,2026-08-15,,
KEN,2025,Executive Office of the President of Kenya,Government waives national identification card processing charges,https://www.president.go.ke/government-waives-national-identification-card-processing-charges/,dpi.id,2026-08-15,,
KEN,2025,GSMA,Connecting refugees in Kenya: overcoming policy barriers to accessing digital services,https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-for-development/gsma_resources/connecting-refugees-in-kenya-overcoming-policy-barriers-to-accessing-digital-services/,include.access,2026-08-15,,
