unit,row_id,section,subject,name,status,published,position_start,position_end,sources
XAF,XAF-capacity.training-leaps,Capacity and inclusion,capacity.training,Leadership Excellence in Africa's Public Sector (LEAPS) programme,Implemented,2026-09-03,,"Running, implemented by the African Capacity Building Foundation with Gates Foundation support and aimed at leadership and governance capacity for public financial management reform; the foundation's position is that reform in Africa stalls on leadership gaps, institutional fragmentation and resistance to change rather than on policy",2026-09-03-the-star-acbf-leaps-public-sector-leadership-gates
XAF,XAF-include.divides-women-digital-inclusion-accelerator,Capacity and inclusion,include.divides,Women and girls digital-inclusion accelerator,Implemented,2026-08-05,,"An industry-body accelerator backed by two private foundations opened its next call for digital-inclusion solutions for women and girls across India and sub-Saharan Africa, with a grant amount listed at INR 42,000,000",2026-08-05-gates-foundation-sheconnects-digital-accelerator
XAF,XAF-geopol.china-atu-caict-mou,Coordination and collaboration,geopol.china,ATU memorandum with the China Academy of Information and Communications Technology,Implemented,2026-08-24,Not held,"A memorandum signed in 2025 between the African Telecommunications Union and the China Academy of Information and Communications Technology on joint research, capacity development, technology transfer and next-generation networks, which the Union names as the foundation for its Secretary-General's participation in an Advanced Seminar on African Digital Development and Transformation that opened in Hangzhou on 24 August 2026, where he carried the priorities of its 52 member states",2026-08-24-atu-hangzhou-digital-development-seminar
XAF,XAF-geopol.china-ai-cooperation-centres,Coordination and collaboration,geopol.china,Chinese artificial-intelligence cooperation centres with the African Union,"Implemented, one centre of the announced programme",2026-08-29,,"The China-Africa Digital Technology Cooperation Center was formally inaugurated at Hangzhou on 28 August 2026 as a standing operational platform for results display, market-entry services, industry matchmaking, training and development research, four days after running its first high-level training programme; the opening drew officials, think tanks and executives from 18 African countries and the African Telecommunications Union, UNDP, UNICEF and the Smart Africa Alliance, and a same-day matchmaking session produced cooperation intentions in digital infrastructure, AI applications, cybersecurity and digital-skills training",2026-08-29-china-africa-digital-technology-cooperation-centre-inauguration-hangzhou|2026-08-25-china-africa-digital-technology-cooperation-centre-first-training|2026-08-16-global-times-us-ai-take-sides-pax-silica-africa
XAF,XAF-tech.innovate-innovation-support-mapping,Coordination and collaboration,tech.innovate,Multi-country mapping of innovation-support organisations,Planned,2026-08-07,,"A EUR120,000 procurement opened by a European development agency for a multi-country mapping of African entrepreneurship- and innovation-support organisations under a Europe-Africa digital innovation programme",2026-08-07-european-union-aedib-ecosystem-mapping-procurement
XAF,XAF-finance.new-afc-digital-bond,Finance,finance.new,Africa Finance Corporation digital bond,Implemented,2026-08-13,Baseline not held,"CHF 350m raised on a five-year digital bond listed, traded and settled on a regulated digital exchange — stated as the first by an African institution — priced at a 1.4925% coupon and arranged by two European banks; it is the issuer’s fourth and largest Swiss franc issuance",2026-08-13-africa-finance-corporation-breaks-new-ground-with-chf350m-digital-bond
XAF,XAF-finance.new-africa50-infrastructure-acceleration-fund,Finance,finance.new,Africa50 Infrastructure Acceleration Fund,Implemented,2026-08-10,,"Fourth close of about US$330m, joined by British International Investment's US$20m commitment alongside the African Development Bank, the International Finance Corporation and more than 20 African institutional investors; the fund, managed by Africa Infrastructure Investment Partners, directs capital to logistics, power, water and sanitation and social infrastructure as well as digital connectivity; the size and date of earlier closes are not established",2026-08-10-bii-africa50-infrastructure-acceleration-fund-20m|2026-08-10-bii-reg-013-africa50-infrastructure-acceleration-fund
XAF,XAF-finance.new-development-agency-africa-digital-portfolio,Finance,finance.new,African share of a European development group's digital portfolio,,2026-08-28,Baseline not held,"EUR 558m, 59% of the group's standing digital portfolio of about EUR 948m and its largest region by a wide margin, against EUR 293m newly committed group-wide across 47 projects in 2025 and 152 projects in execution in 57 countries and territories (2025, published 2026-08-28)",2026-08-28-afd-numerique-bilan-sectoriel-2025
XAF,XAF-finance.new-biashara-2063,Finance,finance.new,BIASHARA 2063 project (AU Commission institutional systems),Implemented,2026-07-27,,"A World Bank-financed programme building the Commission's own institutions and systems, procuring wireless infrastructure for its headquarters; no envelope, timetable or results framework held",2026-07-27-au-wireless-infrastructure-rfp
XAF,XAF-finance.new-google-accelerator-raises,Finance,finance.new,Capital raised by startups from a technology company's African accelerators,,2026-08-07,Baseline not held,"More than US$1bn raised cumulatively since 2017, with a stated survival rate above 90% against a 70-80% failure rate for the wider ecosystem (2026-08)",2026-08-07-google-backed-african-startups-1bn-funding-techeconomy
XAF,XAF-finance.new-bii-africa50-partnership,Finance,finance.new,Development-finance and infrastructure-fund partnership,Planned,2026-08-13,Baseline not held,"A British development finance institution and a continental infrastructure fund announced a strengthened partnership to scale infrastructure financing across Africa, connectivity among the named sectors; no commitment amount, fund vehicle, country allocation or timetable is published",2026-08-13-bii-and-africa50-strengthen-partnership-to-scale-infrastructure-financing-across|2026-08-13-bii-africa50-infrastructure-fund-itweb
XAF,XAF-finance.new-bluepeak-monty-mobile,Finance,finance.new,Growth-capital investment in a pan-African messaging infrastructure provider,Implemented,2026-08-11,Baseline not held,"US$12m into a provider of application-to-person messaging — one-time passwords, transaction alerts and delivery updates — operating across 35 African countries through 15 operator partnerships",2026-08-11-bluepeak-monty-mobile-bii-fund-investment|2026-08-11-bluepeak-monty-mobile-xaf-2026
XAF,XAF-finance.new-koica-youth-leadership-programme,Finance,finance.new,KOICA Youth Leadership Programme,Implemented,2026-08-04,,"US$34m stated by Korea for a programme coupling public governance and policy development with artificial-intelligence-driven digital government, hosted by the Ghana Institute of Management and Public Administration for 200 participants from Ghana, Nigeria, Cote d'Ivoire, Senegal and Cameroon, in three phases - online training, in-country sessions, and a funded 14-day study visit to Korea for the best performers",2026-08-04-koica-youth-leadership-programme-governance-ai-gimpa
XAF,XAF-finance.new-private-capital-fundraising,Finance,finance.new,Limited-partner commitments to African private-capital funds,,2026-08-18,Baseline not held,"64 commitments in the second quarter of 2026 against 53 a year earlier, with disclosed value of US$272m against US$847m in the same quarter of 2025 and US$1.18bn in the first quarter of 2026; no disclosed commitment above US$50m, and information technology appeared in 61% of commitments against 17% a year earlier",2026-08-18-africa-private-capital-tech-focused-bets
XAF,XAF-finance.new-lingua-africa,Finance,finance.new,LINGUA Africa language-model grants,Implemented,2026-08-14,Baseline not held,"26 projects covering more than 50 African languages, dialects and sign languages across 47 countries, each awardee eligible for up to US$250,000 in cash and US$400,000 in compute credits; health, agriculture and justice are the stated use cases",2026-08-14-lingua-africa-gates-foundation-language-ai-grants|2026-08-14-gates-foundation-xaf-2026-lingua-africa
XAF,XAF-finance.new-development-finance-portfolio-stage-mix,Finance,finance.new,Stage mix of a development financier's African portfolio,,2026-08-20,Not held,"79% of one development financier's African deals are at Series B or later, so it operates less like a venture fund than a later-stage investor",2026-08-20-bii-african-portfolio-fourteen-investments-examined
XAF,XAF-gov.regional-afigf,Institutions and mandates,gov.regional,Africa Internet Governance Forum,Implemented,2026-08-23,Baseline not held,"The fifteenth annual forum is scheduled for the Labadi Beach Hotel, Accra, from 2 to 5 November 2026, running a main forum alongside youth, parliamentarian and Day Zero tracks and the African School on Internet Governance; session times, venues and speakers were not published when the schedule was read",2026-08-23-afigf-2026-accra-event-schedule
XAF,XAF-gov.regional-afsc,Institutions and mandates,gov.regional,African Financial Stability Committee,Implemented,2026-08-03,,"Hosted by the Association of African Central Banks and running a Macroprudential Policy Development and Implementation Working Group and an African Financial Stability Report Working Group; the continental portal carrying its mandate, structure, member central banks, meeting calendar and working groups was built and launched by the Central Bank of Egypt rather than by the association's secretariat, executing a decision of the 47th Assembly of Governors of 2025-11-28",2026-08-03-cbe-aacb-afsc-digital-portal|2026-07-01-african-financial-stability-report-2024-2025
XAF,XAF-gov.regional-african-financial-stability-report,Institutions and mandates,gov.regional,African Financial Stability Report,Implemented,2026-08-03,,"Inaugural 2024-2025 edition endorsed for publication by the Association of African Central Banks' 47th Assembly of Governors at Yaounde on 2025-11-28 and released in July 2026, covering 46 countries on data as at December 2024 with analysis through 2025. Its payments chapter, built from 26 central banks' published data, records that about 67 per cent of the continent's payment infrastructures are national systems run by central banks and 56 per cent of established systems handle retail, and finds the landscape fragmented, interoperability still limited and the operationalisation of regional and pan-African systems facing continuing challenges",2026-07-01-african-financial-stability-report-2024-2025|2026-08-03-cbe-aacb-afsc-digital-portal
XAF,XAF-gov.regional-au-archives-repository,Institutions and mandates,gov.regional,African Union Archives and Repository Project,Planned,2026-09-07,Not previously held by this base,"A project to establish an African Union archives and repository, dormant and now under reinstatement: the AU Commission received a South African delegation at headquarters in Addis Ababa on 7 September 2026 for an introductory meeting at the Cabinet of the Chairperson, reviewing background and current status and setting out the issues for a working visit. No scope, budget, timetable or hosting arrangement is published.",2026-09-07-au-archives-repository-project-south-africa-delegation
XAF,XAF-gov.regional-aricea,Institutions and mandates,gov.regional,Association of Regulators of Information and Communications for Eastern and Southern Africa (ARICEA),Implemented,2026-09-09,Not previously held by this base,"A COMESA-linked association of communications regulators across Eastern and Southern Africa, holding its 14th annual general meeting in Livingstone, Zambia, on 9 September 2026, at which COMESA's assistant secretary-general for programmes called for stronger, more predictable and more agile regulatory frameworks to match digital expansion across the region. Membership, mandate and any harmonisation instrument the association issues are not published in this account.",2026-09-09-comesa-aricea-agile-digital-regulation
XAF,XAF-gov.regional-atu-work-programme,Institutions and mandates,gov.regional,ATU Strategic Plan 2027-2031,In development,2026-06-04,,"A draft Strategic Plan for 2027-2031 was circulated to member states for comment ahead of CPL-26; the draft is not published, and no adopted plan, budget or final acts of the conference are held",2026-06-04-atu-invitation-cpl-26-related-meetings
XAF,XAF-gov.regional-afcfta-state-parties,Institutions and mandates,gov.regional,State parties to the AfCFTA,,2026-08-20,Baseline not held,"49 of 54 signatories had deposited instruments of ratification as at July 2026, and Somalia is to become the 50th state party on depositing its instrument in September 2026, having agreed with the Secretariat a sequence running from ratification through domesticating the electronic tariff book and configuring preferential tariffs in its customs administration to a first shipment (2026-08)",2026-08-20-afcfta-secretary-general-mogadishu-somalia|2026-08-20-media-line-africa-free-trade-deal-hard-part
