unit,indicator_id,july,august,movement,moved_by,reassessed
AGO,gov.regional--shared-regional-infrastructure,,2,newly assessed,,0
AGO,dpi.mis--education,unplaced,2,placed,2026-08-19-adea-angola-education-skills-data-challenge,0
AGO,digital.localgov--ict-infrastructure-for-local-government,,unplaced,newly unplaced,,0
BDI,gov.legislate--access-to-information-legislation,,2,newly assessed,,0
BDI,infra.connect--internet-exchange-points,2,3,up,2026-08-01-burundi-ixp-tracker-bdixp-isoc-pulse,0
BDI,dpi.mis--education,,unplaced,newly unplaced,,0
BEN,gov.legislate--ai-legislation-regulations,,1,newly assessed,,0
BEN,gov.standards--adoption-of-international-standards,unplaced,2,placed,2026-08-28-iso-member-anm-benin,0
BEN,gov.discourse--non-governmental-contribution-to-national-policy,,unplaced,newly unplaced,,0
BFA,gov.policy--digital-transformation-strategy,,unplaced,newly unplaced,,0
BFA,gov.regional--cross-border-data-transfers,unplaced,2,placed,2026-08-03-burkina-faso-deputies-adopt-new-personal-data-protection-law,0
BFA,tech.ai--use-of-ai-in-government-administration,2,3,up,2026-08-01-burkina-e-verbalisation-1099-infractions-en-12-heures,0
BFA,tech.ai--control-of-ai-abuse,,unplaced,newly unplaced,,0
BFA,tech.innovate--tech-startup-ecosystem,unplaced,2,placed,2026-08-23-stic-26-des-burkinab-d-crochent-le-premier-prix-avec-leur-ia-agricole,0
BWA,gov.regional--regional-policy-collaboration,,unplaced,newly unplaced,,0
BWA,data.statistics--national-strategy-for-development-of-statistics,unplaced,3,placed,2026-08-12-botswana-bsds-statistics-strategy-launch,0
CAF,gov.protect--national-data-protection-readiness,,unplaced,newly unplaced,,0
CAF,dpi.pay--p2p-p2g-and-p2b-functionality,,3,newly assessed,,0
CAF,include.access--inclusion-of-refugees-and-idps,unplaced,3,placed,2026-08-19-unhcr-operational-update-q2-2026,0
CAF,data.statistics--statistics-from-administrative-data,,unplaced,newly unplaced,,0
CIV,gov.policy--broadband-strategy,,unplaced,newly unplaced,,0
CIV,gov.regional--cross-border-data-transfers,,unplaced,newly unplaced,,0
CIV,infra.connect--international-internet-bandwidth,,3,newly assessed,,0
CIV,dpi.id--interoperability-of-birth-registration-and-digital-id,,3,newly assessed,,0
CIV,dpi.mis--tax,,unplaced,newly unplaced,,0
CIV,tech.innovate--technology-hubs,,2,newly assessed,,0
CIV,data.satellite--meteorological-use-of-satellite-data,,3,newly assessed,,0
CMR,gov.policy--data-interoperability-framework-roadmap,,2,newly assessed,,0
CMR,gov.policy--data-governance-policy,,unplaced,newly unplaced,,0
CMR,gov.standards--national-interoperability-standards,,unplaced,newly unplaced,,0
CMR,dpi.exchange--use-of-digital-id-in-other-systems,,unplaced,newly unplaced,,0
CMR,dpi.exchange--interoperability-of-health-systems,,2,newly assessed,,0
CMR,dpi.pay--b2b-and-b2g-functionality,,unplaced,newly unplaced,,0
CMR,dpi.mis--health,unplaced,2,placed,2026-08-07-cameroon-scanform-smartphones-health-data,0
CMR,tech.ai--use-of-ai-in-sectoral-management-information-systems,unplaced,2,placed,2026-08-19-dba-minesec-simulation-ia-e-education,0
CMR,data.statistics--statistics-from-administrative-data,2,3,up,2026-08-07-ins-annuaire-statistique-adamaoua-2025,0
COD,gov.policy--broadband-strategy,,2,newly assessed,,0
COD,gov.legislate--statistics-legislation,,3,newly assessed,,0
COD,gov.regional--regional-policy-collaboration,,2,newly assessed,,0
COD,gov.discourse--non-governmental-contribution-to-national-policy,,2,newly assessed,,0
COD,infra.connect--internet-exchange-points,2,3,up,2026-08-20-drc-kinix-internet-exchange-relocates-to-raxio-drc,0
COD,infra.capacity--robustness-of-government-hardware-and-software,unplaced,2,placed,2026-08-19-laprosperite-coref-frap-marche-brondy,0
COD,dpi.id--use-by-other-systems,,unplaced,newly unplaced,,0
COD,dpi.registry--land-register,unplaced,2,placed,2026-08-11-apanews-land-registry-digitalisation-inaco,0
