Region,iso-3,acquire ingestr,Mapped,Filler Searched,Filler ingested,Rendered
XCA,CAF,25-Aug,27/08/2026,02/09/2026,,
XCA,CMR,25-Aug,27/08/2026,02/09/2026,,
XCA,COD,25-Aug,27/08/2026,02/09/2026,,
XCA,COG,25-Aug,27/08/2026,02/09/2026,,
XCA,GAB,25-Aug,27/08/2026,02/09/2026,,
XCA,GNQ,,27/08/2026,02/09/2026,,
XCA,TCD,25-Aug,27/08/2026,02/09/2026,,
XEA,BDI,,27/08/2026,28/08/2026,,
XEA,COM,,27/08/2026,31/08/2026,01/09/2026,01/09/2026
XEA,DJI,,27/08/2026,31/08/2026,,
XEA,ERI,,26/08/2026,31/08/2026,,
XEA,ETH,25-Aug,27/08/2026,28/08/2026,,
XEA,KEN,25-Aug,27/08/2026,28/08/2026,,
XEA,MDG,,27/08/2026,31/08/2026,,
XEA,MUS,25-Aug,27/08/2026,01/09/2026,,
XEA,RWA,25-Aug,27/08/2026,28/08/2026,,
XEA,SDN,,27/08/2026,29/08/2026,,
XEA,SOM,25-Aug,27/08/2026,29/08/2026,,
XEA,SSD,25-Aug,27/08/2026,29/08/2026,,
XEA,SYC,25-Aug,27/08/2026,01/09/2026,,
XEA,TZA,25-Aug,27/08/2026,28/08/2026,,
XEA,UGA,25-Aug,27/08/2026,29/08/2026,,
XNA,DZA,25-Aug,27/08/2026,03/09/2026,,
XNA,EGY,25-Aug,27/08/2026,03/09/2026,,
XNA,LBY,25-Aug,27/08/2026,03/09/2026,,
XNA,MAR,25-Aug,27/08/2026,03/09/2026,,
XNA,TUN,25-Aug,27/08/2026,03/09/2026,,
XSA,AGO,25-Aug,27/08/2026,27/08/2026,27/08/2026,
XSA,BWA,25-Aug,27/08/2026,28/08/2026,31-Aug,31-Aug
XSA,LSO,,27/08/2026,29/08/2026,31-Aug,31-Aug
XSA,MOZ,25-Aug,27/08/2026,28/08/2026,,
XSA,MWI,25-Aug,27/08/2026,29/08/2026,01/09/2026,01/09/2026
XSA,NAM,25-Aug,27/08/2026,29/08/2026,,
XSA,SWZ,25-Aug,27/08/2026,29/08/2026,,
XSA,ZAF,25-Aug,26/08/2026,26/08/2026,26/08/2026,26/08/2026
XSA,ZMB,25-Aug,27/08/2026,29/08/2026,,
XSA,ZWE,25-Aug,27/08/2026,29/08/2026,,
XWA,BEN,25-Aug,27/08/2026,28/08/2026,,
XWA,BFA,25-Aug,27/08/2026,28/08/2026,,
XWA,CIV,25-Aug,27/08/2026,03/09/2026,,
XWA,CPV,25-Aug,27/08/2026,03/09/2026,,
XWA,GHA,25-Aug,27/08/2026,29/08/2026,,
XWA,GIN,,27/08/2026,02/09/2026,,
XWA,GMB,,27/08/2026,03/09/2026,,
XWA,GNB,,27/08/2026,27/08/2026,,
XWA,LBR,,27/08/2026,03/09/2026,,
XWA,MLI,,27/08/2026,03/09/2026,,
XWA,MRT,,27/08/2026,03/09/2026,,
XWA,NER,,27/08/2026,03/09/2026,,
XWA,NGA,25-Aug,27/08/2026,28/08/2026,,
XWA,SEN,25-Aug,27/08/2026,03/09/2026,,
XWA,SLE,25-Aug,27/08/2026,04/09/2026,,
XWA,STP,,27/08/2026,04/09/2026,,
XWA,TGO,25-Aug,27/08/2026,,,
