origin,unit,subject_slug,subject,2017/18,2020/21,2021/22,2022/23,2023/24,2025/26,2026,excluded_lines,excluded_usd_m
non-state,US$m,infra.connect,Connectivity,,132,343,200,2,200,,,
non-state,US$m,dpi.govtech,Other GovTech and e-Gov,,,150,,,,,,
non-state,US$m,dpi.mis,"Sectoral management information systems (HMIS, EMIS, etc.)",,,,,,83,,,
non-state,US$m,gov.policy,"Strategies, plans and policies",,,,24,,,,,
non-state,US$m,dpi.id,Digital Identity and CRVS,15,,5,,,,,,
non-state,US$m,tech.industry,ICT Industry,,,,8,,,,,
domestic-state,US$m (IMF annual avg),dpi.govtech,Other GovTech and e-Gov,,,,,,,13,,
domestic-state,US$m (IMF annual avg),dpi.id,Digital Identity and CRVS,,,,,,,4,,
domestic-state,US$m (IMF annual avg),data.statistics,National statistics,,,,,,,3,,
domestic-state,US$m (IMF annual avg),infra.cybersec,Cybersecurity,,,,,,,1,,
excluded,,scope,partial- or unclear-scope,,,,,,,,1,2
