origin,unit,subject_slug,subject,2016/17,2019/20,2020/21,2021/22,2022/23,2024,2024/25,2025,2025/26,2026,excluded_lines,excluded_usd_m
non-state,US$m,infra.connect,Connectivity,,87,,,21,,150,,,,,
non-state,US$m,tech.industry,ICT Industry,,,91,,,,,,,,,
non-state,US$m,dpi.govtech,Other GovTech and e-Gov,30,,,,,,,,,,,
non-state,US$m,dpi.pay,Digital Payments and Fintech,,28,,,,,,,,,,
non-state,US$m,include.divides,Digital divides,,,,3,,,,,,,,
non-state,US$m,capacity.training,Training and skills,,,,2,,,,,,,,
non-state,US$m,tech.ai,AI,,,,,,,,,1,,,
domestic-state,US$m (IMF annual avg),dpi.govtech,Other GovTech and e-Gov,,,,,,6,,12,,6,,
domestic-state,US$m (IMF annual avg),dpi.id,Digital Identity and CRVS,,,,,,7,,9,,8,,
domestic-state,US$m (IMF annual avg),gov.protect,Data protection,,,,,,1,,1,,1,,
domestic-state,US$m (IMF annual avg),infra.cybersec,Cybersecurity,,,,,,1,,1,,1,,
excluded,,nobase,no enacted baseline (⚠ no appropriated figure — revised/outturn only),,,,,,,,,,,3,
