origin,unit,subject_slug,subject,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,2026/27,excluded_lines,excluded_usd_m
non-state,US$m,infra.connect,Connectivity,,,,,300,,,,44,,,
non-state,US$m,capacity.training,Training and skills,,,,,7,276,,9,,,,
non-state,US$m,dpi.govtech,Other GovTech and e-Gov,,26,9,,15,11,40,,,,,
non-state,US$m,tech.innovate,Innovation ecosystem,,,,,,79,,,,,,
non-state,US$m,tech.ai,AI,,,,,,,,,,50,,
non-state,US$m,tech.industry,ICT Industry,4,,2,2,1,3,14,8,1,,,
non-state,US$m,dpi.pay,Digital Payments and Fintech,,,,,6,18,,,,,,
non-state,US$m,gov.policy,"Strategies, plans and policies",8,,,,12,,,,,,,
non-state,US$m,capacity.literacy,Literacy,7,,,,,4,,,,,,
non-state,US$m,dpi.id,Digital Identity and CRVS,,,,,,,,2,,,,
domestic-state,US$m (IMF annual avg),capacity.literacy,Literacy,,,,,,,,8,17,20,,
domestic-state,US$m (IMF annual avg),dpi.govtech,Other GovTech and e-Gov,,,,,,,,7,4,3,,
domestic-state,US$m (IMF annual avg),infra.cybersec,Cybersecurity,,,,,,,,2,2,2,,
domestic-state,US$m (IMF annual avg),dpi.id,Digital Identity and CRVS,,,,,,,,2,2,2,,
domestic-state,US$m (IMF annual avg),data.statistics,National statistics,,,,,,,,2,1,1,,
domestic-state,US$m (IMF annual avg),data.satellite,Use of satellite data,,,,,,,,2,,,,
domestic-state,US$m (IMF annual avg),gov.protect,Data protection,,,,,,,,0,0,0,,
excluded,,scope,partial- or unclear-scope,,,,,,,,,,,3,2
