origin,unit,subject_slug,subject,2015/16,2016/17,2017/18,2018/19,2019/20,2021/22,2022/23,2023/24,2024,2024/25,2025,2025/26,2026/27,excluded_lines,excluded_usd_m
non-state,US$m,infra.connect,Connectivity,470,167,,,,100,,,,,,254,270,,
non-state,US$m,infra.energy,Energy,,,,,,,,,,376,,,,,
non-state,US$m,infra.cybersec,Cybersecurity,,,,42,,,,,,108,,66,1,,
non-state,US$m,tech.industry,ICT Industry,,,,88,47,,,,,,,,,,
non-state,US$m,dpi.govtech,Other GovTech and e-Gov,,,37,,,,,,,,,12,,,
non-state,US$m,gov.protect,Data protection,,,,46,,,,,,,,,,,
non-state,US$m,gov.policy,"Strategies, plans and policies",,,31,,,,,,,,,,,,
non-state,US$m,dpi.pay,Digital Payments and Fintech,,,,,,,16,,,,,,,,
non-state,US$m,infra.store,Data Storage,14,,,,,,,,,,,,,,
non-state,US$m,data.satellite,Use of satellite data,3,,,,,,,,,,,,,,
non-state,US$m,include.divides,Digital divides,,,,,,,,3,,,,,,,
domestic-state,US$m (IMF annual avg),infra.connect,Connectivity,,,,,,,,,16,,17,,,,
domestic-state,US$m (IMF annual avg),dpi.registry,"Registries (population, land, address, etc.). **At country level, registry material files under `--dpi-id`, not a separate `--dpi-registry` intersection** *(ruled 2026-08-10, token review task 7, housekeeping job 37)*: in practice registry and identity development has always been reported together, so no `{place}--dpi-registry` page is minted — a country's registry facts live in its `--dpi-id` page and `dpi.registry` itself stays a thematic page with `## By place` as index-plus-links, same as any other concept page's over-bar cells (`reference.md` §8).",,,,,,,,,2,,3,,,,
domestic-state,US$m (IMF annual avg),infra.cybersec,Cybersecurity,,,,,,,,,2,,2,,,,
excluded,,nobase,no enacted baseline (⚠ no appropriated figure — revised/outturn only),,,,,,,,,,,,,,2,
