origin,unit,subject_slug,subject,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,2026/27,excluded_lines,excluded_usd_m
non-state,US$m,infra.connect,Connectivity,,544,,25,14,,,,5,38,,,,
non-state,US$m,dpi.pay,Digital Payments and Fintech,34,53,36,94,27,52,44,42,33,112,73,24,,
non-state,US$m,gov.policy,"Strategies, plans and policies",,,11,1,,9,1,16,35,11,,,,
non-state,US$m,include.access,Access to services,,,,,,,,20,,,24,,,
non-state,US$m,dpi.mis,"Sectoral management information systems (HMIS, EMIS, etc.)",,6,,,,,12,,8,3,4,,,
non-state,US$m,tech.innovate,Innovation ecosystem,,,,,15,,,1,9,,4,,,
non-state,US$m,gov.regional,Regional collaboration,,,,,,,,,26,,,,,
non-state,US$m,tech.ai,AI,,,,,,3,,,1,,7,,,
non-state,US$m,infra.cybersec,Cybersecurity,,,,,1,1,3,,,3,2,,,
non-state,US$m,dpi.id,Digital Identity and CRVS,,,,5,4,,,,,,,,,
non-state,US$m,dpi.exchange,Data Exchange,,,,,,,,,5,,3,,,
non-state,US$m,data.satellite,Use of satellite data,,,,,,2,,6,,,,,,
non-state,US$m,include.divides,Digital divides,,,,,,,3,,1,,,,,
non-state,US$m,dpi.govtech,Other GovTech and e-Gov,,,,,,,2,2,,,,,,
non-state,US$m,gov.protect,Data protection,,,,,,1,,,,,2,,,
non-state,US$m,tech.industry,ICT Industry,,,,,,,,,2,,,,,
non-state,US$m,data.open,Open data,,,,2,,,,,,,,,,
non-state,US$m,gov.standards,Standards,1,,,,,,,,,,,,,
non-state,US$m,capacity.training,Training and skills,,,,,,,,,,,,1,,
