origin,unit,subject_slug,subject,2015/16,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024,2024/25,2025,2025/26,2026,2026/27,excluded_lines,excluded_usd_m
non-state,US$m,infra.connect,Connectivity,70,48,83,330,4,118,,,,2,,549,,635,,
non-state,US$m,dpi.pay,Digital Payments and Fintech,20,,,205,1,81,346,14,,110,,42,,5,,
non-state,US$m,tech.industry,ICT Industry,,,,,500,199,12,74,,,,17,,21,,
non-state,US$m,dpi.id,Digital Identity and CRVS,,,,,425,,100,,,,,,,,,
non-state,US$m,infra.store,Data Storage,,,1,,250,,,,,,,220,,,,
non-state,US$m,dpi.mis,"Sectoral management information systems (HMIS, EMIS, etc.)",,,,,,,,,,,,196,,,,
non-state,US$m,capacity.training,Training and skills,,,,,,,,,,115,,,,,,
non-state,US$m,gov.policy,"Strategies, plans and policies",,,,,,35,,,,,,,,,,
non-state,US$m,tech.innovate,Innovation ecosystem,,,3,3,8,,,6,,,,,,,,
non-state,US$m,dpi.govtech,Other GovTech and e-Gov,,,,,13,,,2,,,,,,,,
non-state,US$m,data.statistics,National statistics,,,,,,,2,,,,,,,,,
non-state,US$m,tech.ai,AI,,,,,,,,,,1,,,,,,
domestic-state,US$m (IMF annual avg),infra.cybersec,Cybersecurity,,,,,,,,,,,32,,25,,,
domestic-state,US$m (IMF annual avg),dpi.id,Digital Identity and CRVS,,,,,,,,,,,26,,23,,,
domestic-state,US$m (IMF annual avg),dpi.govtech,Other GovTech and e-Gov,,,,,,,,,3,,14,,10,,,
domestic-state,US$m (IMF annual avg),data.satellite,Use of satellite data,,,,,,,,,4,,8,,6,,,
domestic-state,US$m (IMF annual avg),data.statistics,National statistics,,,,,,,,,,,7,,7,,,
excluded,,nobase,no enacted baseline (⚠ no appropriated figure — revised/outturn only),,,,,,,,,,,,,,,3,
excluded,,scope,partial- or unclear-scope,,,,,,,,,,,,,,,2,73
