origin,unit,subject_slug,subject,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,excluded_lines,excluded_usd_m
non-state,US$m,gov.policy,"Strategies, plans and policies",,,,,16,16,31,,,,
non-state,US$m,dpi.pay,Digital Payments and Fintech,1,6,2,8,3,3,,3,3,,
non-state,US$m,dpi.id,Digital Identity and CRVS,,,5,,8,,,2,5,,
non-state,US$m,tech.innovate,Innovation ecosystem,,,,,,,,19,,,
non-state,US$m,infra.cybersec,Cybersecurity,,,,2,,,3,11,,,
non-state,US$m,tech.industry,ICT Industry,,,13,,,,,,,,
non-state,US$m,include.access,Access to services,,,,,,,7,,1,,
non-state,US$m,data.statistics,National statistics,,,,,,,3,,,,
non-state,US$m,tech.ai,AI,,,,,,,2,,,,
non-state,US$m,dpi.govtech,Other GovTech and e-Gov,,,,,,1,,,,,
non-state,US$m,gov.standards,Standards,,,,,,,,1,,,
non-state,US$m,data.open,Open data,,,,,,,,0,,,
