origin,unit,subject_slug,subject,2015/16,2016/17,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024,2024/25,2025/26,excluded_lines,excluded_usd_m
non-state,US$m,infra.connect,Connectivity,,,107,,26,,,150,,67,,,
non-state,US$m,tech.industry,ICT Industry,73,,173,,,8,6,,,5,,,
non-state,US$m,capacity.training,Training and skills,9,,,200,,,,,,,,,
non-state,US$m,dpi.govtech,Other GovTech and e-Gov,95,,33,,17,,57,,,,,,
non-state,US$m,dpi.pay,Digital Payments and Fintech,,,,,,,,,,0,169,,
non-state,US$m,infra.store,Data Storage,,,,,,148,,,,,,,
non-state,US$m,tech.innovate,Innovation ecosystem,,37,,,,,,,,,,,
non-state,US$m,dpi.registry,"Registries (population, land, address, etc.)",,,,,31,,,,,,,,
non-state,US$m,gov.policy,"Strategies, plans and policies",,,,,,,,4,,21,,,
non-state,US$m,dpi.id,Digital Identity and CRVS,,,,,,,,,,,10,,
non-state,US$m,include.access,Access to services,,,,,,6,,,,,,,
non-state,US$m,data.statistics,National statistics,,,,,,2,,,,,1,,
non-state,US$m,dpi.exchange,Data Exchange,,,,,,,,,,3,,,
non-state,US$m,dpi.mis,"Sectoral management information systems (HMIS, EMIS, etc.)",,,,,,1,,,,,,,
domestic-state,US$m (IMF annual avg),gov.policy,"Strategies, plans and policies",,,,,,,,,27,,,,
excluded,,nobase,no enacted baseline (⚠ no appropriated figure — revised/outturn only),,,,,,,,,,,,1,
