origin,unit,subject_slug,subject,2015/16,2017/18,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,excluded_lines,excluded_usd_m
non-state,US$m,infra.connect,Connectivity,75,,,,,,130,,2345,,
non-state,US$m,gov.regional,Regional collaboration,,,,,,,172,,,,
non-state,US$m,infra.store,Data Storage,,,,,,,,,60,,
non-state,US$m,capacity.training,Training and skills,,5,,,10,,,,5,,
non-state,US$m,tech.industry,ICT Industry,15,,,,,,,,,,
non-state,US$m,dpi.pay,Digital Payments and Fintech,,,1,1,,2,,1,3,,
non-state,US$m,dpi.govtech,Other GovTech and e-Gov,,,,,,3,,4,,,
non-state,US$m,dpi.id,Digital Identity and CRVS,,,,,,,,,6,,
non-state,US$m,dpi.mis,"Sectoral management information systems (HMIS, EMIS, etc.)",,,,,,,,,5,,
non-state,US$m,include.access,Access to services,,,,,,,,,4,,
non-state,US$m,dpi.exchange,Data Exchange,,,,,,3,,,,,
non-state,US$m,gov.standards,Standards,,,,,,,2,,,,
