origin,unit,subject_slug,subject,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024,2024/25,2025,2025/26,2026,2026/27,excluded_lines,excluded_usd_m
non-state,US$m,gov.protect,Data protection,,14,109,284,,,,,,,,,,,
non-state,US$m,dpi.govtech,Other GovTech and e-Gov,,168,14,,,,86,,22,,47,,,,
non-state,US$m,infra.store,Data Storage,,,,,,,,,,,66,,170,,
non-state,US$m,tech.innovate,Innovation ecosystem,,104,,,,86,,,2,,,,,,
non-state,US$m,infra.connect,Connectivity,,,,,,,,,,,150,,,,
non-state,US$m,dpi.mis,"Sectoral management information systems (HMIS, EMIS, etc.)",4,70,,,,,,,,,,,,,
non-state,US$m,capacity.training,Training and skills,,17,,,,20,,,,,,,,,
non-state,US$m,dpi.pay,Digital Payments and Fintech,,,,,2,1,1,,,,,,,,
non-state,US$m,tech.industry,ICT Industry,,,,,,4,,,,,,,,,
domestic-state,US$m (IMF annual avg),dpi.govtech,Other GovTech and e-Gov,,,,,,,,43,,52,,96,,,
domestic-state,US$m (IMF annual avg),infra.connect,Connectivity,,,,,,,,60,,59,,55,,,
domestic-state,US$m (IMF annual avg),dpi.id,Digital Identity and CRVS,,,,,,,,8,,15,,15,,,
domestic-state,US$m (IMF annual avg),gov.policy,"Strategies, plans and policies",,,,,,,,,,8,,4,,,
domestic-state,US$m (IMF annual avg),dpi.exchange,Data Exchange,,,,,,,,1,,2,,2,,,
domestic-state,US$m (IMF annual avg),infra.cybersec,Cybersecurity,,,,,,,,1,,1,,1,,,
domestic-state,US$m (IMF annual avg),dpi.registry,"Registries (population, land, address, etc.). **At country level, registry material files under `--dpi-id`, not a separate `--dpi-registry` intersection** *(ruled 2026-08-10, token review task 7, housekeeping job 37)*: in practice registry and identity development has always been reported together, so no `{place}--dpi-registry` page is minted — a country's registry facts live in its `--dpi-id` page and `dpi.registry` itself stays a thematic page with `## By place` as index-plus-links, same as any other concept page's over-bar cells (`reference.md` §8).",,,,,,,,1,,1,,1,,,
domestic-state,US$m (IMF annual avg),data.statistics,National statistics,,,,,,,,0,,0,,0,,,
