row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
SLE-gov.policy-fraud-strategy,SLE,gov.policy,Governance,instrument,Multi-agency response to mobile-money fraud,Implemented,2026-08-20,National roadmap validated at the close of an 18-19 August 2026 workshop,,Advanced,Did not exist,"Validated as a National Roadmap to Combat Mobile and Digital Fraud, on three pillars - public education, institutional strengthening and better data - with the text unpublished",2026-08-20-sierra-leone-validates-mobile-digital-fraud-roadmap|2026-08-19-sierra-leone-mobile-money-fraud-roadmap|2026-08-05-government-unveils-multi-agency-strategy-to-tackle-rising-cyber-fraud|2026-08-05-minister-salima-bah-intensifies-fight-against-mobile-money-fraud|2026-08-05-parliament-raises-red-alert-over-orange-money-scams,,"validated at the close of a workshop on 18-19 August 2026 convening the mobile operator, the communications and information ministry, the national telecommunications authority, the Bank of Sierra Leone and other regulators on SIM registration, KYC compliance and fraud-reporting mechanisms. The roadmap text, its costing and its timetable are not held, and the base's own record of the gap it addresses is unchanged: no liability rule, refund duty or reversal mechanism is proposed, so the consumer's position after a fraud is exactly where it was"
SLE-gov.policy-dp-policy,SLE,gov.policy,Governance,instrument,National Data Protection Policy,Implemented,2026-04-22,"Approved by Cabinet, 21 April 2026",,Advanced,Did not exist,"Approved, covering collection, processing, storage and sharing of personal data; the text itself is not published (2026-04)",2026-04-22-cabinet-data-protection-policy,,
SLE-gov.policy-data-strategy,SLE,gov.policy,Governance,instrument,National Data Strategy,Implemented,2025-01-01,Issued January 2023; updated over five months with donor support and aligned to the AU Data Policy Framework (2025),,No change,Updated and aligned to the African Union Data Policy Framework (2025),"The strategy document itself, dated January 2023 and issued by the information and communications ministry, is now held; no implementation report, institutional owner or review date has been published since (2026-08)",2023-01-01-sierra-leone-national-data-strategy|2025-01-01 Strengthening Sierra Leones national data strategy (DIAL),,the ministry's own index files the document as February 2023 and the formal launch was later again; January 2023 is the date on the document
SLE-gov.legislate-fraud-liability,SLE,gov.legislate,Governance,instrument,Allocation of loss for mobile-money fraud,Not held,2026-08-05,,,No change,No rule allocating loss (2025-07),"No liability rule, refund duty or reversal mechanism proposed; operators may freeze a wallet where a victim reports before withdrawal (2026-08)",2026-07-23-whatsapp-scam-emptying-orange-money-sierra-leone|2026-07-26-sylvia-blyden-kyc-enforcement-mobile-money-fraud|2026-08-05-government-unveils-multi-agency-strategy-to-tackle-rising-cyber-fraud,,Two published analyses disagree on whether the problem is absent law or unenforced law; unreconciled as at 2026-08-09.
SLE-gov.legislate-eta-2019,SLE,gov.legislate,Governance,instrument,Electronic Transactions Act 2019,"Implemented, not operationalised",2026-08-03,"Public-private dialogue convened to operationalise it, 27-28 July 2026",2019-12-05,Advanced,"In force since 5 December 2019 with no certification authorities, evidence procedures, dispute mechanisms or penalties established (2025-07)","A gap analysis, policy memorandum and implementation roadmap commissioned under the READY Salone project running to 2028; no adoption date for any of the three (2026-07)",2026-07-29-sierra-leone-implement-electronic-transactions-act|2026-08-03-koica-itc-sierra-leone-e-transactions-legal-framework|2019-12-05-sierralii-record-electronic-transactions-act-2019,,The Act as enacted and gazetted is not held; every automated route to the text failed as at 2026-08-06.
SLE-gov.legislate-nca-act-2022,SLE,gov.legislate,Governance,instrument,National Communications Authority Act 2022,Implemented,2026-07-23,"Tested against the mobile-money fraud wave in a published legal analysis, 23 July 2026",2022,No change,"In force, with enforcement powers addressed to licensees (2025-07)","In force and unamended; the analysis finds its powers bind licensees only, leaving foreign platforms outside the perimeter, and identifies s.194 as the route to close the gaps without new primary legislation (2026-07)",2026-07-23-whatsapp-scam-emptying-orange-money-sierra-leone,,
SLE-gov.legislate-public-financial-management-act-2026,SLE,gov.legislate,Governance,instrument,Public Financial Management Act 2026,In development,2026-08-18,Stakeholder consultation in Freetown 2026-08-18,,Advanced,Did not exist,"A draft act taken to stakeholder consultation as a replacement for the 2016 law, presented as tightening accountability, resource mobilisation and enforcement, and carrying digital payment reforms",2026-08-18-sierraloaded-sierra-leone-finance-law-digital-payments,,"a draft at consultation; no text, parliamentary stage or commencement date is published"
SLE-gov.legislate-subscribers-regs-2025,SLE,gov.legislate,Governance,instrument,Subscribers Regulations 2025 (SIM-NIN enforcement),"Implemented, transition running",2026-07-30,"Phase-out of unregistered SIMs announced, 30 July 2026",,Advanced,Did not exist; the 2020 Subscribers Identification and Registration Management Regulations were the instrument on file (2025-07),"Operators fined 25,000 new leones per unregistered or pre-activated SIM, with a staged disconnection ladder; the six-month transition clock is presented as running from the announcement, so the phase-out date is unestablished (2026-07)",2026-07-30-natca-phase-out-unregistered-sims-link-national-id,,The instrument's own text is not held and does not appear in NaTCA's public register.
SLE-gov.protect-dp-rti-bill,SLE,gov.protect,Governance,instrument,Data Protection and Right to Access Information Bill,In development,2026-04-22,"Cabinet approved the policy and authorised the Bill, 21 April 2026",,Advanced,No data-protection statute; a draft Bill in consultation (2025-07),"Cabinet approval given and the Bill to be finalised with the Attorney-General and tabled; not enacted, and no parliamentary date set (2026-04)",2026-04-22-cabinet-data-protection-policy|2025-11-09 Government Finalizes Sierra Leones Data Protection and Right to Access Information Bill,,Sierra Leone has had no data-protection law in force throughout the period.
SLE-gov.protect-data-protection-by-design-training,SLE,gov.protect,Governance,instrument,Data protection by design training for the state technical team,Implemented,2026-08-21,Training delivered 2026-08-21,,Advanced,Did not exist,"The communications ministry trained the science and technology directorate technical team on artificial intelligence and data protection by design, taking it through obligations under the cybersecurity statute, the civil registration act and the forthcoming data protection law",2026-08-21-techreviewafrica-sierra-leone-dsti-data-protection-by-design,,"no curriculum, attendance figure or follow-on compliance requirement is published"
