row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
KEN-infra.connect-africa-1-subsea-cable,KEN,infra.connect,Infrastructure,instrument,Africa-1 subsea cable,Planned,2026-08-05,Kenyan landing expected 2027 on TeleGeography's account,,Baseline not held,,"10,000km France to Middle East system routed through Africa, which TeleGeography expects to land in Kenya in 2027, taking Kenya from seven landings to nine",2026-08-05-kenya-to-get-two-new-undersea-fibre-optic-cables-in-ai-race,,"the expected landing is a research firm's forecast, not an operator or landing-party statement"
KEN-infra.connect-amazon-leo-gateway-licence,KEN,infra.connect,Infrastructure,instrument,Amazon Leo gateway licence application,In development,2026-08-20,Fifteen-year gateway licence applied for (2026-08),,Advanced,Did not exist,"Applied for: a fifteen-year international gateway operator licence covering a satellite earth station and network control centre, following an earlier network facilities provider application",2026-08-20-tan-satellite-internet-layer-africa,,"Amazon Kuiper Kenya Limited's application would give the constellation a Kenyan ground base connecting its satellites to terrestrial and international networks - the wholesale route into the market rather than the household one, and a different position from Starlink's, which reached 26 African markets and an estimated 300,000 subscribers by mid-2026 selling terminals direct. Neither the regulator's decision nor a determination date is held, and no investment value is stated"
KEN-infra.connect-ca-spectrum-interference-audit-direct-to-cel,KEN,infra.connect,Infrastructure,instrument,"CA spectrum-interference audit, direct-to-cell",Not held,2026-08-04,"Opened 2026-03-10, conclusion put at mid-2026",,Stalled,,"No finding, clearance or refusal on record as at 2026-08-04",2026-08-04-airtel-kenya-spacex-direct-to-cell-approval,,a published CA determination or gazette notice would settle it
KEN-infra.connect-communications-equipment-distributor-licence,KEN,infra.connect,Infrastructure,instrument,Communications Equipment Distributor licence,Implemented,2026-07-21,CA public notice 2026-07-21 under Gazette Notice 3335,,Advanced,Did not exist,Mandatory before equipment type approval and TradeNet clearance; KSh 1m or three years for non-compliance,2026-07-21-kenya-introduces-telecom-equipment-licence,,"fee, holding threshold and grandfathering unestablished; the gazette notice is not held"
KEN-infra.connect-digital-superhighway-fibre-and-hotspot-targe,KEN,infra.connect,Infrastructure,instrument,Digital Superhighway fibre and hotspot targets,In development,2026-07-01,Targets restated for 2026 by the ICT Authority,,Baseline not held,,"100,000km of fibre and 25,000 public Wi-Fi hotspots targeted; the regulator reports 2,193km deployed under phase one and 1,173 last-mile sites connected under phase two at 30 June 2025; FY2026/27 carries KSh 1.3bn for backbone maintenance and KSh 528m for last-mile county connectivity","2026-01-05 Kenya Targets 100,000 km Fiber Network, 25,000 Public WiFi Hotspots in 2026|2026-07-01-ca-kenya-annual-report-fy-2024-2025|2026-06-11-businessdaily-ict-allocation-fy2026-27",,the only delivered-kilometre figures published are for the universal-service-funded slice of the programme
KEN-infra.connect-kenya-tanzania-terrestrial-fibre-link,KEN,infra.connect,Infrastructure,instrument,Kenya-Tanzania Terrestrial Fibre Link,Implemented,2026-07-29,Launched at Lunga Lunga and Horohoro 2026-07-29,,Baseline not held,,"Cross-border link integrating Tanzania's NICTBB with the Mombasa submarine landings, delivered by the ICT Authority with Tanzania Telecommunications Corporation",2026-07-29-kenya-and-tanzania-launch-terrestrial-fiber-link-connection,,"no capacity, cost or route length stated in the held account"
KEN-infra.connect-linx-nairobi-internet-exchange,KEN,infra.connect,Infrastructure,instrument,LINX Nairobi internet exchange,Implemented,2026-07-10,"Angani joined the Nairobi hub, July 2026",,Advanced,Operating; peer count not held and combined traffic one-twentieth of current,"55-plus connected networks including TikTok and Starlink; combined Nairobi and Mombasa exchange traffic 330 Gbps, twentyfold in a year",2026-07-10-linx-kenya-peering-network-itweb,,"the baseline is inferred from the stated twentyfold growth, not separately published"
KEN-infra.connect-meta-daraja-subsea-cable,KEN,infra.connect,Infrastructure,instrument,Meta Daraja subsea cable,In development,2025-10-30,"Safaricom named landing and operating partner, October 2025",,Baseline not held,,"4,108km, 24 fibre pairs, Salalah to Mombasa, US$23m, ready for service 2026",2025-10-30-meta-safaricom-daraja-subsea-cable-telecomreviewafrica,,"nothing held records landing, testing or service readiness as at 2026-08-05"
KEN-infra.connect-nairobi-intelligent-transport-system,KEN,infra.connect,Infrastructure,instrument,Nairobi Intelligent Transport System Phase II,Planned,2026-08-11,Bid deadline extended to 2026-08-19,,Baseline not held,Not held,"Out to tender at Ksh10bn, about US$83.8m, for CCTV, e-police monitoring and vehicle-detection systems at 60 junctions under a 30-month design-build contract financed by a South Korean EDCF loan; the roads authority pushed the bid deadline back two weeks to 19 August 2026",2026-08-11-kenya-kura-nairobi-smart-traffic-edcf-loan,,"no data-protection authorisation, retention rule or oversight arrangement for the camera and vehicle-detection systems is reported, and no award has been made"
KEN-infra.connect-safaricom-25-year-unified-licence,KEN,infra.connect,Infrastructure,instrument,Safaricom 25-year unified licence,Implemented,2026-05-18,Granted 2026-05,,Advanced,"Temporary two-year unified permit, historic term ten years",25-year unified licence consolidating spectrum and authorisations; licence-related costs about US$126.7m in the year to March 2026,2026-05-18-safaricom-25-year-licence-itweb,,
