fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,2024/25,line,TRA Tax Modernization Project (Policy Analysis Division),021-2002-6255,dpi.mis,unclear,external-grant,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,5970354940,,"Volume IV development estimates 2024/25, as passed, Vote 021, Sub Vote 2002, project 6255, column 2024/2025 Estimates Forex, PDF p. 66",2024-08-26-tza-vol-iv-development-estimates-2024-25-as-passed-companion,2026-09-24,"Forex column; C/R/D G, donor code 0NR."
2024,2024/25,line,Tanzania Statistical Master Plan Project (Policy Analysis Division),021-2002-6573,data.statistics,partial,external-loan,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,31228953987,,"Volume IV development estimates 2024/25, as passed, Vote 021, Sub Vote 2002, project 6573, column 2024/2025 Estimates Forex, PDF p. 66",2024-08-26-tza-vol-iv-development-estimates-2024-25-as-passed-companion,2026-09-24,"Forex column; C/R/D L, donor code 0GT."
2024,2024/25,line,Citizen - Centric Judicial Modernization Project (Planning and Monitoring Division),040-1003-6215,dpi.govtech,partial,external,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,56348500000,,"Volume IV development estimates 2024/25, as passed, Vote 040, Sub Vote 1003, project 6215, column 2024/2025 Estimates Forex, PDF p. 138",2024-08-26-tza-vol-iv-development-estimates-2024-25-as-passed-companion,2026-09-24,"Forex column; C/R/D T, donor code 0WB. The row names no grant or loan, so the funder is recorded only as external."
2024,2024/25,line,National Land Data Infrustructure Project (Surveys and Mapping Department),048-2002-2329,dpi.registry,whole,external-loan,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,6054753000,,"Volume IV development estimates 2024/25, as passed, Vote 048, Sub Vote 2002, project 2329, column 2024/2025 Estimates Forex, PDF p. 191",2024-08-26-tza-vol-iv-development-estimates-2024-25-as-passed-companion,2026-09-24,"Forex column; C/R/D L, donor code 0KR."
2024,2024/25,line,Public Finance Management Reform Programme (PFMRP) (Financial Mgt. Inform. Systems Division),050-6001-6251,dpi.mis,partial,external-grant,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,841520000,,"Volume IV development estimates 2024/25, as passed, Vote 050, Sub Vote 6001, project 6251, column 2024/2025 Estimates Forex, PDF p. 204",2024-08-26-tza-vol-iv-development-estimates-2024-25-as-passed-companion,2026-09-24,"Forex column; C/R/D G, donor code 0BF."
2024,2024/25,line,National Identity Card (Administration and Human Resources Management Division),051-1001-6501,dpi.id,whole,external-loan,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,3832500000,,"Volume IV development estimates 2024/25, as passed, Vote 051, Sub Vote 1001, project 6501, column 2024/2025 Estimates Forex, PDF p. 207",2024-08-26-tza-vol-iv-development-estimates-2024-25-as-passed-companion,2026-09-24,"Forex column; C/R/D L, donor code 0KR."
2024,2024/25,line,Digital Tanzania (ICT Systems Development and Services Division),068-4002-4280,dpi.govtech,whole,external-loan,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,24850000000,,"Volume IV development estimates 2024/25, as passed, Vote 068, Sub Vote 4002, project 4280, column 2024/2025 Estimates Forex, PDF p. 292",2024-08-26-tza-vol-iv-development-estimates-2024-25-as-passed-companion,2026-09-24,"Forex column; C/R/D L, donor code 0WB."
2024,2024/25,line,The National ICT Backbone Infrastructur (ICT Infrastructure Unit),068-4004-4283,infra.connect,whole,external-grant,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,700000000,,"Volume IV development estimates 2024/25, as passed, Vote 068, Sub Vote 4004, project 4283, column 2024/2025 Estimates Forex, PDF p. 292",2024-08-26-tza-vol-iv-development-estimates-2024-25-as-passed-companion,2026-09-24,"Forex column; C/R/D G, donor code 0FR."
2025,2025/26,line,Public Finance Management Reform Programme (PFMRP) (Information and Communication Technology Division),007-1006-6251,dpi.mis,partial,external-grant,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,300000000,,"Volume IV development estimates 2025/26, as passed, Vote 007, Sub Vote 1006, project 6251, column 2025/2026 Estimates Forex, PDF p. 59",2025-07-31-tza-vol-iv-development-estimates-2025-26-as-passed-companion,2026-09-24,"Forex column; C/R/D G, donor code 0BF."
2025,2025/26,line,Tanzania Statistical Master Plan Project (Policy Analysis Division),021-2002-6573,data.statistics,partial,external-grant,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,1022779000,,"Volume IV development estimates 2025/26, as passed, Vote 021, Sub Vote 2002, project 6573, column 2025/2026 Estimates Forex, PDF p. 87",2025-07-31-tza-vol-iv-development-estimates-2025-26-as-passed-companion,2026-09-24,"Forex column; C/R/D G, donor code 0UP."
2025,2025/26,line,Tanzania Statistical Master Plan Project (Policy Analysis Division),021-2002-6573,data.statistics,partial,external-loan,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,57769600000,,"Volume IV development estimates 2025/26, as passed, Vote 021, Sub Vote 2002, project 6573, column 2025/2026 Estimates Forex, PDF p. 87",2025-07-31-tza-vol-iv-development-estimates-2025-26-as-passed-companion,2026-09-24,"Forex column; C/R/D L, donor code 0WB."
2025,2025/26,line,Citizen - Centric Judicial Modernization Project (Planning and Monitoring Division),040-1003-6215,dpi.govtech,partial,external-loan,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,43334000000,,"Volume IV development estimates 2025/26, as passed, Vote 040, Sub Vote 1003, project 6215, column 2025/2026 Estimates Forex, PDF p. 157",2025-07-31-tza-vol-iv-development-estimates-2025-26-as-passed-companion,2026-09-24,"Forex column; C/R/D L, donor code 0WB."
