row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
SDN-infra.energy-none,SDN,infra.energy,Infrastructure,National policy linking digital infrastructure to energy supply,"A national policy or programme document connecting grid rehabilitation or generation capacity to digital-infrastructure planning.",,
SDN-infra.capacity-none,SDN,infra.capacity,Infrastructure,Compute or high-performance computing capacity,"A data-centre, cloud or high-performance computing specification, or a hosting contract for a public system beyond the two named data centres.",,
SDN-data.satellite-none,SDN,data.satellite,Digital public infrastructure,Earth-observation or satellite-data programme,"A national earth-observation or geospatial-data programme document, or an agency mandate covering satellite data.",,
SDN-digital.rural-none,SDN,digital.rural,Digital public infrastructure,Dedicated rural digital-service programme,"A programme document or budget line for rural digital-service delivery, distinct from the 4G tower-expansion programme.",,
SDN-gov.standards-none,SDN,gov.standards,Governance and regulation,National technical standards or interoperability framework,"A national interoperability framework, technical standard or e-government architecture document.",,
SDN-data.open-none,SDN,data.open,Governance and regulation,Open government data portal,"A public-sector open-data portal or policy document.",,
SDN-geopol.eu-none,SDN,geopol.eu,Governance and regulation,European Union digital cooperation with Sudan,"Any EU or European Investment Bank digital financing, programme or memorandum covering Sudan.",,
SDN-tech.innovate-none,SDN,tech.innovate,Artificial intelligence and the technology sector,Start-up or innovation-sector support programme,"A start-up statute, incubator programme or innovation-fund document.",,
SDN-geopol.usa-none,SDN,geopol.usa,Artificial intelligence and the technology sector,United States digital-sector engagement with Sudan,"Any US government or agency digital-sector financing, programme or memorandum covering Sudan, distinct from the commercial Isali/National Workers Bank rail.",,
SDN-geopol.china-none,SDN,geopol.china,Artificial intelligence and the technology sector,Chinese digital investment in Sudan,"Any Chinese financing, contract or memorandum covering Sudanese digital infrastructure.",,
SDN-geopol.india-none,SDN,geopol.india,Artificial intelligence and the technology sector,Indian digital-sector engagement with Sudan,"Any Indian government or vendor financing, contract or memorandum covering Sudanese digital infrastructure.",,
SDN-capacity.literacy-none,SDN,capacity.literacy,Inclusion and capacity,Digital-literacy programme or measurement,"A digital-literacy programme document, or a published measurement of digital literacy.",,
SDN-capacity.research-none,SDN,capacity.research,Inclusion and capacity,Applied digital-research programme,"A university, agency or donor-funded applied digital-research programme document.",,
