row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
DJI-infra.connect-satellite-authorisation,DJI,infra.connect,Infrastructure,Satellite broadband market authorisation,"A licensing decision or authorisation register from the telecommunications regulator, or a ministerial statement on satellite market entry.",,not probed on this run; probe capped at eight across the three units
DJI-gov.protect-cndp,DJI,gov.protect,Governance and regulation,Commission nationale de protection des donnees (CNDP),"The decree constituting the CNDP, its membership, its public register of processing, or any published opinion or authorisation.",2026-08-09,probed 2026-08-09: no constituting decree found; the Digital Code's articles 106-113 on the Commission's composition and appointment are the only text on record
DJI-gov.protect-bodycam-instrument,DJI,gov.protect,Governance and regulation,Instrument governing police body-camera footage,"The arrete, protocol or CNDP authorisation governing body-camera recording, retention and access.",,not probed on this run; probe capped at eight across the three units
DJI-gov.legislate-startup-decrees,DJI,gov.legislate,Governance and regulation,Startup Act implementing decrees,"The implementing decrees under Loi n 179/AN/25, or the first arrete awarding the Startup label.",2026-08-09,"probed 2026-08-09: no implementing decree found; the law's own articles 3-5 defer the label, the college and the portal to decrees not yet made"
DJI-geopol.gulf-gulf,DJI,geopol.gulf,Artificial intelligence and the technology sector,Gulf-state digital investment or cooperation instrument,"A Gulf-state investment, financing or memorandum covering Djiboutian digital infrastructure.",,not probed on this run; probe capped at eight across the three units
DJI-gov.legislate-ati,DJI,gov.legislate,Governance,Access-to-information law,"A freedom-of-information or access-to-information act, or a bill before the National Assembly.",2026-04-01,probed 2026-04-01: no dedicated instrument found; the 1992 law on freedom of communication is the only instrument on the field
DJI-infra.connect-mobile-affordability,DJI,infra.connect,ICT Infrastructure,Mobile broadband affordability figure,"A national price for a data-only mobile broadband basket, from the regulator, the operator or the telecommunications union price database.",2025-11-17,probed 2025-11-17: the annual global reference publication carries the basket methodology and global medians only; no country figure in its own text
DJI-dpi.pay-consumer-protection,DJI,dpi.pay,DPI,Consumer-protection rules for digital payments,"A central-bank instruction or code provision on redress, disclosure, fee transparency or dispute resolution for electronic money and digital payments.",2025-09-18,probed 2025-09-18: no payment-specific consumer regime found in the Digital Code or the payment-system law
DJI-digital.rural-police-stations,DJI,digital.rural,Digitalisation,Digital records in rural police stations,"A deployment record, equipment list or connectivity figure for police stations outside the capital.",2024-06-30,probed 2024-06-30: the independent evaluation of the interoperable platform gives no evidence of station-level connection or digital record capture
DJI-capacity.research-research,DJI,capacity.research,Capacity,Public research programme in digital or data science,"A university research-centre mandate, a funded research programme or a published research output in digital or data science.",2026-01-30,probed 2026-01-30: the university strategy names research as a pillar without a digital or data-science programme in the text held
DJI-tech.ai-ai-governance,DJI,tech.ai,Technology,Instrument governing artificial-intelligence systems in public use,"An artificial-intelligence law, decree or procurement rule, or the adopted national strategy text.",2026-01-29,probed 2026-01-29: no artificial-intelligence provision in the Digital Code; the national strategy was still in draft
