row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
RWA-gov.policy-ict-sector-strategic-plan,RWA,gov.policy,Governance,instrument,ICT sector strategic plan,Implemented,2025-01-01,"Replaced the 2018 to 2024 plan, covering 2024/25 to 2028/29",2025-01-01,No change,"In force, aligned to the second national strategy for transformation","The same, with nine outcomes to 2029 including all government services online, and no progress report against them held",2025-01-01-minict-rwanda-ict-sector-strategic-plan-2024-2029,,the held body is a front-matter extract and the artefact is the record
RWA-gov.policy-legacy-network-retirement-plan,RWA,gov.policy,Governance,instrument,Legacy-network retirement plan,Planned,2026-07-30,The government approved a phased retirement plan,,Advanced,None published,"Third-generation service off nationwide from June 2027, with December 2028 the working date for the older network, expressly conditional, and operators running trial shutdowns during 2026",2026-07-28-rwanda-minict-3g-2g-network-sunset|2026-07-30-rwanda-3g-sunset-2027|2026-07-29-rwanda-june-2027-deadline-retire-3g,,in March 2026 the ministry had opened talks with device importers with no firm timeline
RWA-gov.policy-ict-procurement-instructions-2012,RWA,gov.policy,Governance,instrument,Ministerial instructions on ICT procurement,Implemented,2012-03-12,Issued 12 March 2012,2012-03-12,Baseline not held,No account held,"In force, requiring public institutions to host critical systems at the national data centre, and still cited by the current implementation guidelines",2012-03-12-rwanda-ict-procurement-ministerial-instructions-2012,,
RWA-gov.policy-national-ai-risk-assessment-and-harms-monito,RWA,gov.policy,Governance,instrument,National AI risk-assessment and harms-monitoring body,Not held,2026-07-06,Engagements run November 2025 to March 2026,,No change,None,"Participants reported that no dedicated national organisation conducts risk assessments, evaluations or active monitoring of errors and harms, while the technology is embedded in payments, judiciary filing, identity verification and service delivery",2026-07-06-undp-small-states-big-signals-ai-trust-safety|2026-01-01-world-bank-radu-global-landscape-national-ai-strategies,2026-09-03,"qualitative workshops, not a survey, and the report claims no representativeness"
RWA-gov.policy-national-artificial-intelligence-agency,RWA,gov.policy,Governance,instrument,National artificial intelligence agency,Planned,2026-08-17,Cabinet approval 2026-06-08; coordinating mandate for shared compute stated 2026-08-17,,Advanced,Did not exist,"Approved by cabinet to coordinate development, adoption, investment and governance, and now being asked by early-stage firms to solve infrastructure and market-access problems it has no published mandate or budget for",2026-08-17-newtimes-ai-agency-startups|2026-08-17-rwanda-startups-national-ai-agency-infrastructure-gaps|2026-06-08-ai-agency-cabinet-approves-ktpress|2026-06-10 Rwanda Launches Dedicated AI Agency to Drive Investment and Innovation,,"software developers and early-stage startups welcomed the agency in the national press and set out what they want from it - compute and infrastructure improvements, and expanded private-sector opportunity for commercialisation. That is a statement of the gaps the sector reports rather than of the agency's remit: no establishing instrument, budget, staffing or timetable is held, so the base cannot say whether any of it falls to the agency at all"
RWA-gov.policy-national-artificial-intelligence-policy,RWA,gov.policy,Governance,instrument,National artificial intelligence policy,Implemented,2026-07-30,Cabinet approval April 2023,2023-04,Advanced,"Adopted, roughly 70% skills-focused, with no dedicated implementing institution","The same policy, now with a cabinet-approved national agency to implement it and an independent baseline placing the country among two in the region with an adopted instrument",2026-06-08-ai-agency-cabinet-approves-ktpress|2026-07-30-cipit-east-african-ai-policy-outlook-report,,
RWA-gov.policy-national-data-sharing-policy-implementation,RWA,gov.policy,Governance,instrument,National data-sharing policy implementation,Implemented,2026-05-07,Cabinet approval 2025-05-26,2025-05-26,Advanced,"Approved and open by default, with no governance unit established and no platform","In implementation, with a data governance unit staffed under a seconded project lead building classification standards, quality standards, templates and cataloguing tools",2026-05-07 What will determine the success of Rwanda’s data governance push|2025-10-27 Introduction to the Rwanda National Data Sharing Policy,,the policy text and its seven annexes are not held
RWA-gov.policy-review-framework-for-commercial-ai-partnersh,RWA,gov.policy,Governance,instrument,Review framework for commercial AI partnerships,Not held,2026-03-17,A three-year vendor memorandum signed February 2026 without one,,No change,None,"No parliamentary, multilateral or civil-society review is triggered by a commercial partnership because none exists",2026-03-17 Anthropic is Becoming the Backbone of Rwanda's Government. But Who is Accountable|2026-02-17-anthropic-rwanda-mou-ai-health-education,2026-09-03,"external commentary, attributed not adopted"
RWA-gov.legislate-access-to-information-law-2013,RWA,gov.legislate,Governance,instrument,Access to information law (Law 04/2013),Under review,2026-03-10,"Revision confirmed ongoing, March 2026",2013-02-08,Advanced,"In force since 2013, with no revision announced","In force and under revision alongside the media law, on the government's own statement to an international review",2026-03-10-rwanda-upr-pre-session-statement-2026|2013-03-11-rwanda-law-04-2013-access-to-information,,
RWA-gov.legislate-application-software-security-directives,RWA,gov.legislate,Governance,instrument,Application software security directives,Implemented,2026-04-16,"First release, April 2026",,Advanced,Did not exist,"Issued, operationalising security by design across the software development lifecycle for internet and intranet-accessible applications in public and private institutions",2026-04-16-ncsa-application-software-security-directives-2026|2026-04-16-ncsa-application-software-security-directives,,
