indicator_id,kind,tier,instrument,adopting_body,adopted,status,provision,fixes,reference,url,vintage,notes
gov.policy--digital-transformation-strategy,instrument,AU,DTS,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"Enabling Environment pillar: ""Develop and implement national and sectorial digital strategies""; Digital Single Market by 2030",top,OECD Rec. on Digital Government Strategies (2014) for rungs,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,Smart Africa Manifesto principle 5 is a secondary continental anchor
gov.policy--ict-strategy,instrument,AU,DTS; Smart Africa Manifesto,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,Same DTS action; Manifesto principles 2 and 5,top,—,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,DTS treats an ICT strategy as subsumed in a digital transformation strategy; the rubric may make it a lower rung of the same ladder
gov.policy--broadband-strategy,instrument,AU,DTS,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"2030 target: universal access at ≥ 6 Mb/s, ≤ 1 US cent/MB, device ≤ USD 100",target,Broadband Commission Target 1: a funded National Broadband Plan by 2025 — supplies the *plan exists and is funded* rungs,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,Use the Commission target for the rungs and DTS for the outcome
gov.policy--data-storage-cloud-strategy,instrument,AU,DPF; DTS,Executive Council EX.CL/Dec.1144(XL) para 37,2–3 Feb 2022,adopted; non-binding,"DPF names cloud as foundational infrastructure; DTS: ""Establish a cloud computing infrastructure in Africa"", mission-critical data-centre hosting",top,"Smart Africa Data Center and Cloud Blueprint (2023, upd. 2026)",https://au.int/sites/default/files/documents/42078-doc-DATA-POLICY-FRAMEWORKS-2024-ENG-V2.pdf,2022,No AU instrument requires a *national* cloud strategy as such
gov.policy--data-interoperability-framework-roadmap,instrument,AU,DTS; DPF; AU Interop. Framework,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"DTS: ""Develop a framework with Implementing Acts for interoperability and levels of assurance""; DPF open data standards; Interop. Framework §3.1 open standards, no lock-in",top,OECD 2014 Rec.; ID4D Principle 4,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,The AU framework is ID-specific; a draft AU Data Categorisation and Data Sharing Framework was in validation Dec 2025 and may become the anchor
gov.policy--ai-strategy,instrument,AU,Continental AI Strategy,2nd Extraordinary STC-CICT,Jun 2024,adopted,"Member States ""must develop national AI strategies""; Phase 1 (2025–2026) national strategies and governance structures, Phase 2 from 2028",rungs,UNESCO AI Ethics Rec. (2021) and its Readiness Assessment Methodology,https://au.int/sites/default/files/documents/44004-doc-EN-_Continental_AI_Strategy_July_2024.pdf,2024,The two dated phases are the rungs
gov.policy--data-localisation-policies,instrument,AU,DPF; AfCFTA DTP,Executive Council EX.CL/Dec.1144(XL) para 37,2–3 Feb 2022,adopted; non-binding,"DPF: localisation ""for certain categories of data"" only, sovereignty ≠ localisation; DTP Art. 22: no requirement to locate computing facilities, subject to public-policy exceptions",top,—,https://au.int/sites/default/files/documents/42078-doc-DATA-POLICY-FRAMEWORKS-2024-ENG-V2.pdf,2022,The DTS (2020) is more restrictive than DPF (2022) and DTP (2024); anchor on the later instruments. DTP article numbering differs between drafts — confirm against the deposited text
gov.policy--data-governance-policy,instrument,AU,DPF,Executive Council EX.CL/Dec.1144(XL) para 37,2–3 Feb 2022,adopted; non-binding,"Six sections; ""multi-prong strategy""; an implementation figure of formulation → domestication → monitoring and evaluation, with progressive realisation (the research pass reported ""five implementation phases""; a read of the document on 2026-09-23 found none — §6)",rungs,—,https://au.int/sites/default/files/documents/42078-doc-DATA-POLICY-FRAMEWORKS-2024-ENG-V2.pdf,2022,"EAC data governance framework in drafting (Dec 2024), not adopted"
gov.policy--open-data-policy,instrument,AU,ACHPR Declaration 2019; DPF; DTS,"ACHPR 65th Ordinary Session, Banjul",10 Nov 2019,adopted; non-binding,"Principle 29: proactive publication ""including digital technologies""; Principle 26 access to information; DPF open government data",top,International Open Data Charter (2015) six principles for rungs,https://achpr.au.int/en/node/902,2019,AUC Continental Open Data Strategy in validation Dec 2025
gov.legislate--data-protection-legislation,instrument,AU,Malabo Convention,Assembly,27 Jun 2014,in force,"Art. 8(1) legal framework; Art. 13 principles; Arts 16–19 rights; DTS: laws ""in line with the Malabo Convention""",top,UNCTAD Cyberlaw Tracker; Convention 108+,https://au.int/sites/default/files/AFRICAN%20UNION%20CONVENTION%20ON%20CYBER%20SECURITY%20AND%20PERSONAL%20DATA%20PROTECTION%20%281%29.pdf,2014,"Rungs available from ECOWAS Supp. Act A/SA.1/01/10 (binding), SADC Model Law (2013), EAC cyberlaws (2010); ratification of Malabo is itself a rung"
