indicator_id,method,direction,cuts,provisional,cut_note,unit,value,record,band
finance.sustain--financial-sustainability-of-digital-systems,fixed,higher,20|40|60|80,1,provisional; Africa quintiles at fifteen read countries,per cent,"domestic-state share of the digital lines of the state's own budget document, latest read fiscal year — domestic-state ÷ (domestic-state + externally financed digital lines in the same document), at the first stage both sides carry. **Unit** per cent · **direction** higher.","`budgets/{ISO3}/{FY}.csv` with `external.csv`, computed by `budget_source.share()`; `value_source` is the country-year's `source_slug`. No reference dataset exists; the only source is Corpus's own.","provisional fixed cuts at 20 · 40 · 60 · 80 until fifteen countries hold a read country-year (five on 2026-09-23), then Africa quintiles. **Secondary**: execution against voted and recurrent coverage can lower the stage by one, never raise it (`indicator-financial-sustainability.md` §5)."
finance.new--mobilisation-of-non-state-finance,quintiles,higher,0.001|0.02|0.1|0.25,1,provisional,per cent of GDP,"non-state finance committed to private digital beneficiaries, as a share of GDP: commitments whose `start_year` is the as-at year or either of the two before, summed and divided by three. From `outputs/non-state-finance/{ISO3}-nonstate.csv`: rows whose `beneficiary_type` is Private Sector, Fund or PPP, any financier, `status` Active, Approved or Closed (Pipeline and Unknown excluded), `instrument` not MoU or Unknown. **Commitments to NGO, Multilateral, Research and Multi-stakeholder beneficiaries count in neither finance row** — they are neither private capital nor finance to the state. **Unit** per cent of GDP · **direction** higher.","the Corpus compile. GDP: World Bank WDI, current USD, latest year, named in the qualifier. **Reference**: none carries this measure.","Africa quintiles, with provisional cuts. Public-sector beneficiaries are `finance.new--development-partner-project-financing`'s evidence, never this row's, so no commitment is counted twice. **Zero is stage 1 whatever the quintile, and the quintiles are cut over the non-zero figures**: on 2026-09-24 more than half the units in the compile had no private digital commitment starting in 2024–26, so quintiles over all units would tie at zero."
finance.new--development-partner-project-financing,fixed,higher,20|40|60|85,1,provisional; Africa quintiles for stages 1–4 at fifteen read countries,per cent,"the on-budget share of development-partner digital finance to the state — partner-financed digital lines printed in the state's own budget document (`budgets/{ISO3}/external.csv`, matched to held deals by the origin gate) ÷ partner digital commitments to public-sector beneficiaries active in the same fiscal year (`outputs/non-state-finance/`, `beneficiary_type` Public Sector). **Unit** per cent · **direction** higher.","the two Corpus compiles; only read country-years qualify, so coverage follows the budget-extract queue. **Reference**: GPEDC's on-budget indicator (development co-operation on budgets subject to parliamentary scrutiny); the 85 % line is the Paris Declaration's indicator 3 target as GPEDC carries it, not verified in this session.","provisional fixed cuts at 20 · 40 · 60 · 85 until fifteen countries hold a read country-year, then Africa quintiles for stages 1–4."
infra.connect--mobile-penetration,quintiles,higher,50|65|80|95,1,provisional for stages 2–4,,"individuals aged 10 and over owning a mobile phone, per cent — ITU's definition (SDG 5.b.1), the series that exists for most of the continent. **Direction** higher. The UMC 2030 target is stated for people 15+; where a survey gives 15+, it goes in the qualifier.","a national household survey or census that cuts at 10+, over the ITU series; **reference** ITU DataHub mobile-phone ownership, SDG 5.b.1 (latest release; CC to record the year). A survey cut at 15+, SIM subscriptions per 100 and GSMA unique subscribers (total-population base) are different definitions and go in the qualifier only.","Africa quintiles for stages 1–4, with provisional cuts; stage 5 needs the DTS end state."
infra.connect--internet-usage,target,higher,27|53|80|95,0,,,"individuals using the internet in the last three months, per cent of the population (SDG 17.8.1). **Direction** higher.","a national household survey over the ITU estimate; **reference** ITU DataHub / WDI IT.NET.USER.ZS (latest release; CC to record the year). The regulator's ""internet subscriptions"" are a different definition.","target, T = 80. The STYIP's figure is population reached at ≥ 6 Mb/s; the row reads it as use, the one form measured country by country (note for the review)."
infra.connect--mobile-affordability,target,lower,6|4|2|1,0,,per cent of monthly GNI per capita,"the price of ITU's current data-only mobile broadband basket (5 GB since the 2025 edition: the cheapest 30-day plan of at least 5 GB from the operator with the largest market share) as a percentage of monthly GNI per capita, as ITU computes it. **Unit** per cent of monthly GNI per capita · **direction** lower. **Secondary**: the same basket's price per GB in US dollars, in the qualifier. A 2 GB basket figure from the 2021–24 editions is a different basket and goes in the qualifier.","the operator's or regulator's published tariff for a plan of at least 5 GB, dated, over GNI per capita from WDI; **reference** ITU ICT Price Baskets, 5 GB data-only, as a share of GNI per capita (latest release; CC to record the year).","target, T = 2 (the Broadband Commission's line, carried by the UMC 2030 targets), lower-is-better thirds as the preamble sets them. On the 2025 figures: 12 · 8 · 10 · 21 countries on stages 4 to 1 (CC, 2026-09-24)."
infra.connect--international-internet-bandwidth,fixed,higher,1|2|2,0,stage 4 needs two of the routes independent; stage 5 adds the bandwidth-per-user quintile,routes,"number of international fibre routes in service — submarine cable landings, or terrestrial links to distinct neighbouring networks — with independence as the stage-4 condition and international bandwidth per internet user (kbit/s) as the secondary figure. **Independent** means no shared landing station and, for a landlocked state, not all through one transit country. **Unit** routes · **direction** higher.","the regulator's, the operator's or the consortium's statement of routes in service; **reference** TeleGeography and ITU DataHub for bandwidth per user (latest release; CC to record the year).",fixed on the count; stage 5 adds the Africa top quintile of bandwidth per user.
infra.store--local-data-centre-capacity-all-providers,fixed,higher,0|1|2,0,stage 2 also needs a Tier I–II multi-tenant facility in service,facilities,"the number of multi-tenant data centres (colocation, carrier-neutral or hyperscale) in service at Tier III or above. **Unit** facilities · **direction** higher. **Tier** is Uptime Institute or TIA-942 certification, or the operator's own statement with the qualifier saying which. Installed IT capacity (MW per million population) moves to the stage-5 condition and the qualifier: it is blank for 434 of the 577 facilities in the Corpus dataset, so it could not be the banded value.","Corpus's own dataset, `outputs/datasets/data-centres/data-centres.csv` (`operational_status` Operational, `facility_type` Colocation/carrier-neutral or Hyperscale; Tier from `security_certifications`, or stated in `comments` and so marked), which covers all 54 countries — on 2026-09-24, 31 had at least one such facility and 22 had two or more. **Reference**: the Africa Data Centres Association and commercial directories, for the qualifier. Population, for the stage-5 condition: UN World Population Prospects.","the Blueprint's Tier rungs, counted; stage 5 adds the Africa top quintile of MW per million and the DTS hosting figure."
infra.store--local-data-centre-capacity-national-providers,quintiles,higher,0.1|25|50,1,provisional,per cent of facilities,"share of the in-country multi-tenant data centres in service (colocation, carrier-neutral or hyperscale) owned by nationally owned providers — the state, a state enterprise, a domestic company or a majority-domestic joint venture. **Unit** per cent of facilities · **direction** higher. By facilities, not MW, for the reason given on the all-providers row.","`outputs/datasets/data-centres/data-centres.csv` — `ownership_type` Government / SOE, Private domestic, Joint venture (majority domestic) or PPP counts as national; the dataset reads for 41 countries on 2026-09-24, so the quintiles can be cut at the baseline. No reference dataset exists.","Africa quintiles for stages 1–4, with provisional cuts; stage 5 needs the DPF condition. A share of 100 % from a single state facility reads stage 4 at most without the condition."
infra.energy--sufficient-energy-and-water-for-data-centres,fixed,lower,2.0|1.8|1.6,1,provisional; stage 5 is the Blueprint condition,,"annualised power usage effectiveness (PUE) of the country's multi-tenant data centres, capacity-weighted where more than one publishes it, with water usage effectiveness (WUE) as the secondary figure. **Direction** lower. The Blueprint names PUE as the metric and dual grid feeds with backup as the supply condition; no document at any tier sets a threshold, so every cut below stage 5 is Corpus's.",operators' published PUE and WUE; **reference** ISO/IEC 30134-2 and 30134-9 for the definitions only.,provisional fixed cuts until fifteen countries hold a figure (the register expects that to take years); stage 5 needs the Blueprint's supply condition.
