slug,display,basis,sources
21st-century-technologies,Century Technologies,partial,2
229-cadre-de-vie,Cadre de Vie,partial,2
24-hour-economy-secretariat-ghana,Hour Economy Secretariat,partial,1
2africa-cable-consortium,Africa Cable Consortium,partial,1
aaas-energy,AAAS Energy,full,2
aadhaar,Aadhaar,full,2
aaeca-net,AAECA-Net,full,1
aaic-investment,AAIC Investment,full,1
aapi-algeria,L’AAPI,full,1
aasa,Airlines Association of Southern Africa,acronym,2
aauca,AAUCA,full,1
abadaad,ABADAAD,full,1
abc-bank-group,ABC Bank,full,2
abc-journey,ABC Journey,full,1
abd-group,ABD Group,full,1
abdelkrim-bouzred,Abdelkrim Bouzred. Lors,full,1
abdelmadjid-tebboune,Abdelmadjid Tebboune,full,2
abdoulaye-serno,Abdoulaye Serno,full,1
abdoulkader-kamil-mohamed,M. Abdoulkader Kamil Mohamed,full,1
aber-burundi,ABER. Il,full,1
abia-state-government,Abia State Government,full,1
abiodun-adetona,Abiodun Adetona,full,1
abiy-ahmed,Abiy Ahmed,full,2
ablogui,ABLOGUI,full,3
abnorm-burkina-faso,ABNORM,full,1
abolia-taba-mopolo,Abolia Taba Mopolo,full,1
abou-laraki,Abou Laraki,full,1
aboubacar-nacanabo,Aboubacar Nacanabo,full,1
aboubakar-nacanabo,Aboubakar Nacanabo,full,1
abq-cloud,ABQ Cloud,full,1
abrema,ABREMA,full,2
absa,Absa Group,full,2
absa-bank-botswana,Absa Bank Botswana,full,2
absa-bank-ghana,Absa Bank Ghana,full,1
absa-bank-kenya,Absa Bank Kenya,full,2
absucep-benin,ABSUCEP,full,1
abu-dhabi-fund-for-development,Abu Dhabi Fund for Development,full,1
abu-dhabi-health-data-services,Abu Dhabi Health Data Services,full,1
abubakar-sadick-fuseini,Abubakar Sadick Fuseini,full,1
abuco,ABUCO,full,2
abuco-burundi,Abuco,full,1
abwaab,Abwaab,full,1
acacia-economics-pty-ltd,Acacia Economics,full,1
academic-city-university-ghana,Academic City University,full,3
accege-gnq,ACCEGE,full,1
access-bank-cameroun,Access Bank Cameroun,full,1
access-bank-tanzania,Access Bank Tanzania,full,1
access-caidp,ACCESS CAIDP,full,1
access-holdings,Access Holdings,full,2
access-now,Access Now,full,6
accion-digital-transformation-fund,Accion Digital Transformation Fund,full,1
accountability-lab-nigeria,Accountability Lab Nigeria,full,1
accountability-to-affected-people-network,Affected People Network,partial,1
accountant-general-gambia,Accountant General,full,1
ace-gabon,ACE-Gabon,full,1
acerwc,ACERWC,full,4
achpr,African Charter for Human and Peoples’ Rights,acronym,1
acin-icloud-solutions,ACIN-ICLOUD SOLUTIONS,full,1
acioe-associates-limited,ACIOE Associates Limited,full,1
acipol-mozambique,ACIPOL,full,1
acix,Hosting ACIX,full,1
acme-uganda,African Center for Media Excellence,acronym,1
aconoq,ACONOQ,full,1
aconoq-congo,ACONOQ,full,2
acpce-congo,ACPCE,full,1
acsa,Airports Company of South Africa,acronym,1
act-south-africa,Association of Communications and Technology,acronym,2
actic,Actic,full,1
actic-comoros,Actic,full,1
action-aid-togo,Action Aid Togo,full,1
action-sa,Action SA,full,1
actionaid-malawi,ActionAid Malawi,full,1
actis,Actis,full,3
acusensus,Acusensus. Cette,full,1
acv-auctions,ACV Auctions. Son,full,1
ada-lovelace-institute,Ada Lovelace Institute,full,1
adapt,ADAPT,full,2
adaptation-fund,Adaptation Fund,full,1
adct-burkina-faso,ADCT. Par,full,1
add-morocco,ADD-ESCWA,full,1
addis-ababa-city-administration,Addis Ababa City Administration,full,1
addis-ababa-city-government-revenues-bureau,Addis Ababa City Government Revenues Bureau,full,1
addis-ababa-othow,Dr. Addis Ababa Othow,full,1
addix,Addix,full,1
adea,ADEA and MINEDUC,full,1
adebissi-adedjouma,Adebissi Adedjouma,full,1
adedeji-innovations,Adedeji Innovations,full,1
adenia-partners,Adenia Partners,full,1
adetic,ADETIC,full,8
adi-foundation,ADI Foundation,full,2
adige,ADIGE,full,3
adijust,ADIJUST,full,1
adiresy,Adiresy,full,1
adji-ali-salatou,Ministre Adji Ali Salatou,full,1
adlegal-international,AdLegal International Limited,full,1
adli,Africa Data Leadership Initiative,acronym,2
admarc,Admarc,full,1
adn-djibouti,L'ADN,full,1
adnoc,Abu Dhabi National Oil Company,acronym,1
adolphe-nicaise-samafou,Adolphe Nicaise Samafou,full,2
adpme-benin,Adpme,full,2
advance-congo,Advance Congo,full,1
advisory-council-for-persons-with-disabilities-gambia,COUNCIL FOR PERSONS WITH DISABILITIES,partial,1
aeaa,AEAA President,full,1
aecid,AECID,full,1
aeonian-project,Aeonian Project,full,2
afapdp,AFAPDP,full,3
afc-holdings-zimbabwe,Agricultural Finance Corporation,acronym,1
afcfta,AfCFTA,full,10
afcfta-digital-trade-corridor,AfCFTA Digital Trade Corridor,full,2
afcfta-digital-trade-protocol,AfCFTA Digital Trade Protocol,full,3
afcfta-secretariat,AfCFTA Secretariat,full,1
afd,Agence Francaise de Developpement,acronym,1
afdb,AIIB and AFDB,full,1
afenet,AFENET,full,1
affessi-affessi,Le Dr Affessi,full,1
affirmative-finance-action-for-women-in-africa,Affirmative Finance Action for Women,full,1
afg-holding,AFG Holding,full,1
aficta,AFICTA,full,1
afjoc,AFJOC,full,3
afnic,AFNIC,full,1
afoomarket,Afoomarket,full,1
afor,L'AFOR,full,1
afp-fact-check,AFP Fact Check,full,1
afpif,AfPIF,full,4
afpub-2020-gen-006-draft03,AFPUB-2020-GEN-006-DRAFT03,full,1
afr-ix-telecom,AFR-IX Telecom,full,4
afraa,AFRAA,full,2
afretec,AFRETEC,full,1
afreximbank,Afreximbank,full,10
afri-sparc,AFRI-SPARC,full,1
africa-ai-governance-index,Africa AI Governance Index,full,2
africa-analysis,Africa Analysis,full,1
africa-broadband-maps,Africa Broadband Maps,full,1
africa-business-agency,Africa Business Agency,full,1
africa-cdc,Africa CDC,full,11
africa-center-for-digital-transformation,Africa Center for Digital Transformation,full,1
africa-centre-for-digital-transformation,Africa Centre for Digital Transformation,full,4
africa-ceo-forum,Africa CEO Forum,full,4
africa-club,Africa Club,full,1
africa-collective,Africa Collective,full,1
africa-cybersecurity-resource-center,Africa Cybersecurity Resource Center,full,1
africa-data-centres,Africa Data Centres,full,11
africa-data-centres-association,Africa Data Centres Association,full,2
africa-data-centres-south-africa,Africa Data Centres South Africa,full,2
africa-data-entry,Africa Data Entry,full,1
africa-data-leadership-initiative,Africa Data Leadership Initiative,full,1
africa-data-protection,Africa Data Protection,full,1
africa-deep-tech,Africa Deep Tech,full,1
africa-digital-compact,Global Digital Compact,full,1
africa-digital-innovation-summit,Africa Digital Innovation Summit,full,1
africa-dpi-private-sector-coalition,Africa DPI Private Sector Coalition,full,1
africa-finance-corporation,Africa Finance Corporation,full,10
africa-fintech-network,Africa Fintech Network,full,2
africa-frontline-first,Africa Frontline First,full,1
africa-investment-forum,Africa Investment Forum,full,1
africa-medical-supplies-platform,Africa Medical Supplies Platform,full,2
africa-mobile-network,Africa Mobile Network,full,1
