instrument,definition,source_value,review,note
Bond,Debt raised by issuing a tradeable security.,Bond,,
Buyer's Credit,"Finance extended to the buyer so it may pay the supplier, including export finance.",Buyer's credit,,
Buyer's Credit,"Finance extended to the buyer so it may pay the supplier, including export finance.",Export finance,ADDED,export finance to a buyer is the same instrument; split it out only if the register grows enough to need it.
Commercial Loan,"A loan on market terms — syndicated and senior debt, IBRD lending, development-policy loans to non-IDA borrowers.",Commercial loan,,
Commercial Loan,"A loan on market terms — syndicated and senior debt, IBRD lending, development-policy loans to non-IDA borrowers.","Commercial loan (LIBOR + 3%, 3-year grace, 15-year maturity)",,
Commercial Loan,"A loan on market terms — syndicated and senior debt, IBRD lending, development-policy loans to non-IDA borrowers.",Debt,,
Commercial Loan,"A loan on market terms — syndicated and senior debt, IBRD lending, development-policy loans to non-IDA borrowers.",Development Policy Loan (DPF),,
Commercial Loan,"A loan on market terms — syndicated and senior debt, IBRD lending, development-policy loans to non-IDA borrowers.","IBRD loan — not concessional *(corrected from the source's ""Concessional loan""; World Bank portal records the commitment as IBRD)*",,
Commercial Loan,"A loan on market terms — syndicated and senior debt, IBRD lending, development-policy loans to non-IDA borrowers.",Loan,,
Commercial Loan,"A loan on market terms — syndicated and senior debt, IBRD lending, development-policy loans to non-IDA borrowers.",Loan (EIB financial contract FI 91989),,
Commercial Loan,"A loan on market terms — syndicated and senior debt, IBRD lending, development-policy loans to non-IDA borrowers.",Loan (IATI finance-type 411),,
Commercial Loan,"A loan on market terms — syndicated and senior debt, IBRD lending, development-policy loans to non-IDA borrowers.","Loan (private debt), within a restructuring and expansion package",,
Commercial Loan,"A loan on market terms — syndicated and senior debt, IBRD lending, development-policy loans to non-IDA borrowers.",Loan (sovereign),,
Commercial Loan,"A loan on market terms — syndicated and senior debt, IBRD lending, development-policy loans to non-IDA borrowers.",Senior development-linked loan,,
Commercial Loan,"A loan on market terms — syndicated and senior debt, IBRD lending, development-policy loans to non-IDA borrowers.",Senior loan (A/B loan + local-currency facility),,
Commercial Loan,"A loan on market terms — syndicated and senior debt, IBRD lending, development-policy loans to non-IDA borrowers.","Syndicated financing (CBC as Lead Underwriter, Lead Arranger, Collateral Agent)",ADDED,matches the existing `Syndicated loan` mapping.
Commercial Loan,"A loan on market terms — syndicated and senior debt, IBRD lending, development-policy loans to non-IDA borrowers.",Syndicated loan,,
Concessional Loan,"A loan on terms softer than the market would give: below-market interest, long maturity, a grace period, or a service charge in place of interest. IDA credits belong here.",Concessional loan,,
Concessional Loan,"A loan on terms softer than the market would give: below-market interest, long maturity, a grace period, or a service charge in place of interest. IDA credits belong here.","Concessional loan *(source label, unverified — see Notes)*",,
Concessional Loan,"A loan on terms softer than the market would give: below-market interest, long maturity, a grace period, or a service charge in place of interest. IDA credits belong here.",Government concessional loan,,
