title,publisher,author,published,date_precision,places,topics,entities,ingested,url
Injini lance un programme pour soutenir 12 start-up en Afrique australe,wearetech.africa,,2026-09-09,day,ZAF; XSA,tech.innovate; capacity.training; tech.ai,injini,2026-09-09,https://www.wearetech.africa/fr/fils/breves/breves-simple/injini-lance-un-programme-pour-soutenir-12-start-up-en-afrique-australe
SADC positions Southern Africa as an Integrated Investment destination at AIM Congress 2026,Southern African Development Community (SADC),,2026-09-09,day,XSA,gov.regional; dpi.pay,sadc; committee-of-sadc-stock-exchanges,2026-09-10,https://sadc.int/latest-news/sadc-positions-southern-africa-integrated-investment-destination-aim-congress-2026
Five Southern African countries move to link customs data as trade corridors face pressure to cut delays,Southern African Times,,2026-09-02,day,ZMB; MWI; MOZ; ZAF; ZWE; XSA,dpi.exchange; gov.regional,sars; trademark-africa; sadc,2026-09-04,https://southernafricantimes.com/five-southern-african-countries-move-to-link-customs-data-as-trade-corridors-face-pressure-to-cut-delays/
"CRASA Committee for the 2026/27 Financial Year Meets in Gaborone, 2-4 September",Communications Regulators' Association of Southern Africa (CRASA),,2026-09-02,day,XSA,gov.regional,crasa,2026-09-07,https://events.crasa.org/events/
Universities should turn regional cooperation into action,University of the Witwatersrand,,2026-09-01,day,XSA; ZAF,gov.regional; capacity.research,sadc,2026-09-04,https://www.wits.ac.za/news/latest-news/general-news/2026/2026-09/universities-should-turn-regional-cooperation-into-action.html
"SADC must build its own knowledge to drive industrialisation, says Manamela",SAnews (South African Government News Agency),,2026-09-01,day,XSA; ZAF,gov.regional; capacity.research; tech.ai; infra.cybersec,sadc,2026-09-04,https://www.sanews.gov.za/south-africa/sadc-must-build-its-own-knowledge-drive-industrialisation-says-manamela
Information and Communication Technology governance and the sustainability of e-government initiatives in Southern African Development Community: A systematic literature review,South African Journal of Information Management (SAJIM),"Caleb Manjeese, Mampilo Phahlane",2026-09-01,day,XSA,dpi.govtech; gov.policy; gov.regional,sadc,2026-09-05,https://sajim.co.za/index.php/sajim/article/view/2205
Southern African customs administrations agree roadmap for faster digital trade - Farmers Review Africa,Farmers Review Africa,,2026-08-31,day,MWI; MOZ; ZAF; ZMB; ZWE; XSA,dpi.exchange; gov.regional,sars; trademark-africa; sadc,2026-09-01,https://farmersreviewafrica.com/southern-african-customs-administrations-agree-roadmap-for-faster-digital-trade/
Consultancy for the Development of COMESA Digital Information Knowledge & Collaboration Platform,COMESA,,2026-08-27,day,XEA; XSA,dpi.govtech; gov.regional,comesa,2026-08-28,https://www.comesa.int/consultancy-for-the-development-of-comesa-digital-information-knowledge-collaboration-platform/
"CRASA holds Finance, Risk and Audit Committee meeting in Lesotho",TechReviewAfrica,,2026-08-23,day,XSA,gov.regional,crasa; lesotho-communications-authority,2026-08-28,https://techreviewafrica.com/news/6868/crasa-holds-finance-risk-and-audit-committee-meeting-in-lesotho
UNESCO Supports Southern Africa to Harmonise Data Governance,UNESCO,,2026-08-20,day,COM; ZWE; BWA; SWZ; LSO; MDG; MUS; ZAF; XSA,gov.regional; gov.standards; dpi.exchange; tech.ai,unesco; smart-africa; ministry-of-ict-postal-and-courier-services-zimbabwe,2026-08-23,https://www.unesco.org/en/articles/unesco-supports-southern-africa-harmonise-data-governance
Governing the Blind Spot,Praefectus (CGF Research Institute),,2026-08-20,day,XSA,gov.regional; gov.discourse; dpi.pay,sadc,2026-08-23,https://www.praefectus.co.za/2026/08/20/governing-the-blind-spot-2026-08-20/
"Report of the Regional Roundtable, Artificial Intelligence in Electoral Processes: Threats and Opportunities for Election Management Bodies",International IDEA,,2026-08-19,day,XSA,tech.ai; gov.regional; gov.standards,international-idea; sadc,2026-08-23,https://www.idea.int/publications/catalogue/report-regional-roundtable-artificial-intelligence-electoral-processes
CRASA Human Resources Committee begins 2026/27 workplan implementation,TechReviewAfrica,,2026-08-18,day,XSA,gov.regional; capacity.training,crasa,2026-08-19,https://techreviewafrica.com/news/6799/crasa-human-resources-committee-begins-202627-workplan-implementation
"SADC seeks to turn borders into gateways for trade, travel and regional integration",SAnews,,2026-08-18,day,XSA; ZAF,dpi.exchange; gov.regional; dpi.id,sadc; cross-border-road-transport-agency-south-africa; home-affairs-south-africa,2026-08-19,https://www.sanews.gov.za/south-africa/sadc-seeks-turn-borders-gateways-trade-travel-and-regional-integration
President Cyril Ramaphosa assumes SADC Chairpersonship with a pledge to advance Regional Integration and Development,SADC Secretariat,,2026-08-18,day,XSA,gov.regional; gov.policy,sadc,2026-08-23,https://www.sadc.int/latest-news/president-cyril-ramaphosa-assumes-sadc-chairpersonship-pledge-advance-regional
"Welcome Address by His Excellency President Cyril Ramaphosa, at the 46th Ordinary Summit of SADC Heads of State and Government, Ethekwini, South Africa, Monday, 17 August 2026","Department of International Relations and Cooperation (DIRCO), South Africa",,2026-08-17,day,XSA,gov.regional; infra.connect; infra.cybersec,sadc; african-union; presidency-south-africa,2026-08-19,https://dirco.gov.za/welcome-address-by-his-excellency-president-cyril-ramaphosa-at-the-46th-ordinary-summit-of-sadc-heads-of-state-and-government-ethekwini-south-africa-monday-17-august-2026/
President Cyril Ramaphosa: 46th SADC Summit Lecture,South African Government (The Presidency),,2026-08-14,day,XSA,gov.regional; gov.discourse; tech.ai; infra.store,sadc; presidency-south-africa; university-of-kwazulu-natal,2026-08-19,https://www.gov.za/news/speeches/president-cyril-ramaphosa-46th-sadc-summit-lecture-14-aug-2026
SADC puts spotlight on AI data governance,ITWeb Africa,,2026-08-13,day,BWA; COM; EGY; KEN; MUS; RWA; SWZ; ZAF; ZWE; XSA,gov.regional; tech.ai,sadc; world-bank; smart-africa,2026-08-16,https://itweb.africa/article/sadc-puts-spotlight-on-ai-data-governance/JN1gP7OAw5wqjL6m
"Introductory Remarks by SADC Executive Secretary Elias M. Magosi at the Ordinary SADC Council of Ministers Meeting, Durban",SADC,,2026-08-12,day,XSA,gov.regional; infra.connect; capacity.research,sadc,2026-08-19,https://www.sadc.int/sites/default/files/2026-08/Remarks%20of%20the%20SADC%20Executive%20Secretary%20at%20the%20Council%20of%20Ministers%20meeting%20on%2012%20August%202026%20Durban%2C%20South%20Africa.pdf
Is there underinvestment in connectivity? Evidence from South Africa and the Southern African region,Research ICT Africa,,2026-08-12,day,ZAF; XSA,infra.connect; gov.policy,research-ict-africa,2026-08-16,https://researchictafrica.net/research/is-there-underinvestment-in-connectivity-evidence-from-south-africa-and-the-southern-african-region/
