fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,2024,line,Banque Mondiale (BIRD) - E-GABON,,dpi.govtech,whole,external-loan,XAF,full FCFA units as printed,5331210000,5293462654,"LFI 2024: Loi n°005/2023 (scan), article 57 table of drawings on financing, PDF p. 82 (printed p. 80); LFR 2024: Loi n°025/2024, article 36 restating article 57, PDF p. 53 (printed p. 51)",2024-10-28-gab-lfr-2024-loi-025-2024-jo-companion,2026-09-24,"World Bank loan drawing authorised by the finance law, a borrowing ceiling rather than a vote. The law names no programme for the drawing; in the initial 2024 law programme 10.416's investment titre (6,831,210,000) equals the E-Gabon and Gabon Digital drawings exactly, so the loans sit inside it and its titre 5 is not held on the domestic side."
2024,2024,line,Banque Mondiale (BIRD) - Gabon digital,,dpi.govtech,whole,external-loan,XAF,full FCFA units as printed,1500000000,1500000000,"LFI 2024: Loi n°005/2023 (scan), article 57 table of drawings on financing, PDF p. 82 (printed p. 80); LFR 2024: Loi n°025/2024, article 36 restating article 57, PDF p. 53 (printed p. 51)",2024-10-28-gab-lfr-2024-loi-025-2024-jo-companion,2026-09-24,"World Bank loan drawing authorised by the finance law; a new convention in the initial law. The law names no programme for the drawing; in the initial 2024 law programme 10.416's investment titre (6,831,210,000) equals the E-Gabon and Gabon Digital drawings exactly, so the loans sit inside it and its titre 5 is not held on the domestic side."
2024,2024,line,Banque Mondiale (BIRD) - Projet d'harmonisation et d'amélioration des statistiques en Afrique de l'Ouest et du Centre (HISWACA),,data.statistics,whole,external-loan,XAF,full FCFA units as printed,2000000000,2000000000,"LFI 2024: Loi n°005/2023 (scan), article 57 table of drawings on financing, PDF p. 82 (printed p. 80); LFR 2024: Loi n°025/2024, article 36 restating article 57, PDF p. 53 (printed p. 51)",2024-10-28-gab-lfr-2024-loi-025-2024-jo-companion,2026-09-24,World Bank loan drawing for the regional statistics programme; the law names no programme for it.
2025,2025,line,Banque Mondiale (BIRD) - E-Gabon,,dpi.govtech,whole,external-loan,XAF,full FCFA units as printed,10178170000,,"LF 2025: Loi n°033/2024, article 40 table of drawings on financing, PDF p. 61 (printed p. 59)",2025-01-20-gab-lf-2025-loi-033-2024-jo-companion,2026-09-24,"World Bank loan drawing authorised by the finance law. Programme 10.416's investment titre is 16,366,115,494, of which the law prints no split. The table is captioned in millions of FCFA but prints full units; its total 1,007,545,536,031 is article 40's figure in words."
2025,2025,line,Banque Mondiale (BIRD) - Gabon Digital,,dpi.govtech,whole,external-loan,XAF,full FCFA units as printed,5000000000,,"LF 2025: Loi n°033/2024, article 40 table of drawings on financing, PDF p. 61 (printed p. 59)",2025-01-20-gab-lf-2025-loi-033-2024-jo-companion,2026-09-24,"World Bank loan drawing authorised by the finance law. The table is captioned in millions of FCFA but prints full units; its total 1,007,545,536,031 is article 40's figure in words."
2025,2025,line,Banque Mondiale (BIRD) - Projet d'harmonisation et d'amélioration des statistiques en Afrique de l'Ouest et du Centre,,data.statistics,whole,external-loan,XAF,full FCFA units as printed,7787146671,,"LF 2025: Loi n°033/2024, article 40 table of drawings on financing, PDF p. 61 (printed p. 59)",2025-01-20-gab-lf-2025-loi-033-2024-jo-companion,2026-09-24,"World Bank loan drawing for the regional statistics programme. The table is captioned in millions of FCFA but prints full units; its total 1,007,545,536,031 is article 40's figure in words."
2026,2026,line,Banque Mondiale (BIRD) - Gabon Digital,,dpi.govtech,whole,external-loan,XAF,full FCFA units as printed,8000000000,5000000000,"LF 2026: Loi n°041/2025, article 71 table of drawings on financing, PDF p. 69-70 (printed p. 67-68); LFR 2026: Loi n°002/2026, article 94 table, PDF p. 84-85 (printed p. 83-84)",2026-07-17-gab-lfr-2026-loi-002-2026-jo-companion,2026-09-24,World Bank loan drawing authorised by the finance law and cut by the supplementary law.
2026,2026,line,Banque Mondiale (BIRD) - Projet d'harmonisation et d'amélioration des statistiques en Afrique de l'Ouest et du Centre (HISWACA),,data.statistics,whole,external-loan,XAF,full FCFA units as printed,7700000000,6500000000,"LF 2026: Loi n°041/2025, article 71 table of drawings on financing, PDF p. 69-70 (printed p. 67-68); LFR 2026: Loi n°002/2026, article 94 table, PDF p. 84-85 (printed p. 83-84)",2026-07-17-gab-lfr-2026-loi-002-2026-jo-companion,2026-09-24,World Bank loan drawing for the regional statistics programme.
2026,2026,line,Banque Mondiale (BIRD) - E-Gabon,,dpi.govtech,whole,external-loan,XAF,full FCFA units as printed,,2751077623,"LF 2026: Loi n°041/2025, article 71 table of drawings on financing, PDF p. 69-70 (printed p. 67-68); LFR 2026: Loi n°002/2026, article 94 table, PDF p. 84-85 (printed p. 83-84)",2026-07-17-gab-lfr-2026-loi-002-2026-jo-companion,2026-09-24,"Listed only in the supplementary law, among new project-loan conventions; absent from the initial 2026 law."
2026,2026,line,Standard Chartered / Citi Bank - Construction d'un centre national de données et mise en œuvre d'autres travaux numériques,,infra.store,whole,external-loan,XAF,full FCFA units as printed,,6000000000,"LF 2026: Loi n°041/2025, article 71 table of drawings on financing, PDF p. 69-70 (printed p. 67-68); LFR 2026: Loi n°002/2026, article 94 table, PDF p. 84-85 (printed p. 83-84)",2026-07-17-gab-lfr-2026-loi-002-2026-jo-companion,2026-09-24,"Commercial bank loan for a national data centre and other digital works, added by the supplementary law. New conventions (b) = 5,000,000,000 + 2,751,077,623 + 6,500,000,000 + 6,000,000,000 = 20,251,077,623, as printed."
